PDB	Labels	Predictions
4ypw	5.50	4.31
4ypx	4.60	3.97
4ypy	3.80	4.45
4ypz	3.50	5.24
4yq0	4.40	4.54
4yq1	8.30	7.36
4yq2	8.30	7.13
4yq3	6.80	6.67
4yq4	5.70	4.80
4yq5	5.40	4.81
4yq6	6.10	5.42
4yq7	5.20	5.38
4yq8	5.10	6.53
4yq9	6.70	6.72
4yqa	6.30	6.49
4yqb	5.90	4.98
4yqc	6.70	6.95
4yqd	5.10	6.87
4yqg	5.70	4.54
4yqi	4.80	4.22
4yqj	6.20	6.86
4yqk	4.70	4.65
4yql	4.80	7.00
4yqn	5.80	6.37
4yqo	6.30	6.21
4yqp	5.70	4.45
4yqq	6.10	6.64
4yqr	4.00	5.85
4yqs	5.60	5.07
4yqt	6.10	5.82
4yjo	7.90	7.87
4yjp	8.46	8.57
4yjq	7.95	7.79
4yjr	7.69	7.85
4yjs	9.39	8.69
4yjt	8.79	7.63
4yju	7.94	7.58
4yjv	8.55	7.56
4ykr	7.53	6.35
4ykq	7.61	6.27
4ykt	8.28	8.45
4ykw	7.02	5.39
4ykx	5.56	4.94
4ykz	5.06	4.90
4yky	4.30	4.41
4yku	5.12	5.00
