PDB	Labels	Predictions
1gm8	SOX	4.80	5.93
1gpk	HUP	5.37	6.97
1hnn	SKF	6.24	6.64
1hp0	AD3	6.70	4.53
1hq2	PH2	6.77	4.94
1hvy	D16	6.17	7.92
1hwi	115	7.55	8.01
1hww	SWA	7.70	4.91
1ia1	TQ3	7.47	5.38
1j3j	CP6	8.01	5.26
1jd0	AZM	8.24	7.67
1jje	BYS	8.43	4.88
1ke5	LS1	6.25	6.59
1kzk	JE2	10.40	9.77
1l2s	STC	4.59	4.83
1l7f	BCZ	9.10	7.07
1lpz	CMB	7.60	7.82
1lrh	NLA	6.82	5.61
1m2z	DEX	7.22	7.85
1mmv	3AR	7.24	4.39
1n1m	A3M	5.70	5.28
1n2v	BDI	4.08	4.34
1n46	PFA	10.52	8.48
1nav	IH5	7.60	7.87
1of1	SCT	4.82	6.19
1of6	DTY	6.05	4.87
1opk	P16	9.82	8.07
1oq5	CEL	7.68	8.77
1owe	675	6.20	7.11
1oyt	FSN	7.24	7.43
1p2y	NCT	5.00	4.72
1p62	GEO	4.66	5.02
1pmn	984	8.15	6.71
1q1g	MTI	8.57	8.90
1q41	IXM	7.66	7.35
1q4g	BFL	6.89	4.55
1r1h	BIR	8.92	7.35
1r55	097	6.80	7.14
1r58	AO5	6.96	7.20
1r9o	FLP	5.02	5.92
1s19	MC9	9.51	7.68
1s3v	TQD	7.42	7.17
1sg0	STL	7.47	5.10
1sj0	E4D	9.10	9.03
1sq5	PAU	4.39	4.82
1sqn	NDR	9.40	8.34
1t40	ID5	7.96	5.93
1t46	STI	6.38	6.55
1t9b	1CS	6.90	5.44
1tow	CRZ	6.24	5.67
1tt1	KAI	7.19	7.55
1u1c	BAU	5.37	5.56
1uml	FR4	7.52	7.67
1unl	RRC	6.70	7.13
1uou	CMU	7.70	5.23
1v0p	PVB	6.89	8.19
1v48	HA1	8.16	6.43
1v4s	MRK	6.44	7.02
1vcj	IBA	4.59	3.99
1w1p	GIO	2.30	2.56
1w2g	THM	4.57	4.06
1xm6	5RM	6.38	5.83
1xoq	ROF	9.17	9.22
1xoz	CIA	8.92	8.92
1y6b	AAX	7.42	7.62
1ygc	905	9.46	7.62
1yqy	915	7.62	5.73
1ywr	LI9	7.49	7.48
1z95	198	7.12	8.24
2bm2	PM2	7.82	6.99
2br1	PFP	5.14	5.63
2bsm	BSM	5.82	7.56
