PDB	Labels	Predictions
2are	MAN	3.28	3.45
2oag	DLI	8.47	8.02
2jbj	G88	9.70	7.66
2pwd	NOJ	4.40	5.30
2pwg	CTS	4.82	5.37
2oym	MNI	5.00	5.32
2hzy	DHJ	7.39	5.50
2ihj	CSF	4.59	5.72
2ojg	19A	5.64	7.61
2hzl	PYR	6.57	4.94
2ovv	PFH	7.92	8.07
2nta	521	4.80	6.67
2qu6	857	8.52	7.68
2pog	WST	9.54	8.61
2o4j	VD4	10.10	8.71
3b92	440	8.00	7.29
2p98	YE7	6.19	5.57
2z4b	DC8	9.36	8.65
2jj3	JJ3	9.55	8.48
2h15	B19	5.67	7.64
2pov	I7B	7.12	7.48
2pow	I7C	7.20	7.53
2nmx	M25	5.57	6.23
1vso	AT1	4.72	6.99
2p95	ME5	9.37	8.13
2p16	GG2	10.10	8.34
2flr	7NH	6.10	6.90
2pgz	COC	5.74	6.46
2bys	LOB	9.52	7.62
2gkl	PD2	5.35	5.28
2nsl	C2R	4.68	5.11
2nsj	C2R	4.79	5.11
2c92	TP6	5.68	6.29
2c94	TSF	6.82	6.54
2nnq	T4B	8.70	6.33
2psv	MUV	7.24	8.33
2cem	2AH	7.92	8.84
2cen	4AH	8.30	8.82
2q54	MU1	9.01	9.24
2b3f	GAL	6.03	4.75
2bbf	344	5.10	5.67
2e2r	2OH	8.26	6.95
2gz2	A2P	5.22	5.39
2hr6	DUD	4.92	4.77
2idz	ZID	9.40	6.62
2ihk	CSF	4.16	5.72
2jff	LK2	3.62	4.08
2oiq	STI	4.94	6.96
2otz	1MR	3.63	3.88
2ou0	MR3	3.23	3.50
2pjo	NMU	0.05	2.96
2pzv	IPH	3.87	4.93
2q88	4CS	5.80	5.93
2q89	6CS	6.30	6.37
2qeh	SRO	8.62	6.90
2qvu	FDP	6.44	5.74
2r3d	ACM	-0.15	2.91
2r5p	MK1	8.48	8.31
2rde	C2E	7.01	6.36
2v8q	AMP	4.61	5.47
3b50	SLB	7.55	7.13
3bgq	VX2	7.96	7.29
3bgz	VX3	6.26	5.40
2v8y	MGV	5.71	5.57
2jgb	MGT	5.61	5.53
1gja	135	5.42	4.62
1swk	BTN	12.00	8.78
1toi	HCI	4.05	3.59
1iup	ALQ	2.54	3.94
1tog	HCI	3.22	3.59
1uto	PEA	2.27	2.58
1ukb	BEZ	3.19	3.74
2cjp	VPR	3.10	3.54
1vot	HUP	6.60	6.34
2fx6	270	3.70	4.22
2c1q	BTN	13.00	9.65
2e2p	ADP	4.74	4.97
2epn	NGT	7.22	6.73
2i2c	DTA	4.70	4.76
2j4k	U5P	4.85	4.82
2jdu	MFU	6.72	5.35
2jdy	MMA	4.37	5.07
2jke	NOJ	4.23	5.32
2p3t	993	11.30	8.97
2p4y	C03	9.00	8.10
2p7g	2OH	6.53	6.95
2pqc	RC1	5.74	6.78
2q6m	P34	6.29	5.98
2q8z	NUP	5.68	5.78
2qbq	4B3	7.44	6.55
2qbr	910	6.33	6.36
2qdt	I38	5.19	4.57
2qhy	MZ1	7.48	8.86
2qhz	MZ2	7.28	9.37
2qi1	MZ4	7.30	9.54
2qi3	MZ5	10.20	8.72
2qi4	MZ6	10.44	9.74
2qi5	MZ7	10.85	9.16
2qi6	MZ8	10.57	9.77
2qmg	SC6	9.15	7.71
2qnq	QN3	6.11	7.10
2qrl	OGA	4.00	4.08
2qry	TPS	8.64	5.83
2r6w	LLB	9.36	8.81
2r75	01G	6.15	6.93
2reg	CHT	5.57	4.71
2rkd	3PP	2.72	4.22
2uwl	895	8.40	8.16
2uwp	894	6.81	8.21
2uy4	AZM	4.68	4.53
2v2c	PGA	3.41	4.44
2v77	PAY	5.06	4.89
2v7t	SAH	7.48	5.38
2v7u	SAM	5.90	5.06
2v7v	5FD	6.66	5.43
2vhw	NAI	5.09	5.13
2vkm	BSD	8.74	7.79
2vmd	MBG	3.02	3.26
2vpn	4CS	6.72	5.41
2vuk	P83	3.82	4.15
2vw5	BC6	8.52	6.01
2w26	RIV	9.40	8.29
2zmm	35B	7.60	6.16
2zn7	410	7.89	6.30
3b3c	PLU	3.98	5.27
3b7r	BIR	7.70	8.29
3bex	PAU	5.57	4.39
3bl0	BL0	6.92	7.82
3brn	SRO	8.70	5.75
3bu1	HSM	8.15	5.03
3bxe	13P	5.48	4.72
3c2f	PRP	2.00	5.42
3c2o	NTM	3.35	4.62
3c2r	PHT	3.11	4.32
3c7i	TVN	5.64	8.19
3ccw	4HI	7.87	7.71
3ccz	5HI	7.29	7.64
3cd7	882	7.84	7.82
3czv	AZM	7.80	7.39
3d2r	ADP	5.48	4.93
3d51	GOX	4.15	5.22
3d83	GK6	8.36	7.51
3ddg	GB7	6.00	4.17
3dp4	AMQ	7.37	6.08
3e92	G6A	8.00	8.00
3eko	PYU	6.70	4.20
3ekr	PY9	5.55	5.41
3ene	NPZ	6.24	5.63
3eqr	T74	8.70	7.78
3f8c	HT1	7.68	6.00
3fat	AMQ	7.64	5.85
