PDB	Labels	Predictions
4fud	6UP	6.35	4.00
4fue	7UP	7.23	5.93
4fu7	1UP	6.20	4.75
4fu8	2UP	5.23	4.07
4fu9	675	6.20	5.20
4fub	4UP	6.21	5.82
4fuc	239	7.40	5.23
4fsm	HK1	7.62	6.38
4fsw	HK6	4.76	5.90
4ft5	H2K	7.56	7.17
4fsn	A58	7.70	7.74
4fsz	HK8	6.97	5.36
4ft7	H3K	8.87	7.60
4ft0	HK9	7.11	5.64
4ft9	H4K	7.69	7.66
4fta	H5K	7.39	6.18
4ftc	H6K	7.63	7.61
4fsq	HK3	8.80	7.45
4fsr	HKC	7.94	7.66
4fst	HK4	8.28	7.91
4fw3	L52	7.23	10.42
4fw4	3P3	8.08	10.50
4fw5	L58	7.48	7.30
4fw6	L59	7.70	9.45
4fw7	L63	7.13	7.24
4fux	E75	6.00	7.28
4fuy	EK2	6.09	6.99
4fv0	EK3	5.59	7.08
4fv1	EK4	7.08	8.19
4fv2	EK5	7.68	7.19
4fv3	EK6	7.74	8.14
4ev4	MER	7.40	7.52
4fv5	EK9	7.70	7.33
4fv7	E94	7.57	7.46
4fv8	E63	7.82	8.73
4fv9	E71	6.72	7.65
4fx3	60K	8.07	6.64
4ek4	1CK	4.48	5.87
4ek5	03K	6.09	6.74
4fkg	4CK	4.67	6.48
4fki	09K	4.23	7.18
4ek6	10K	6.04	8.03
4fjk	DTP	6.55	4.39
4ek8	16K	7.11	7.94
3sw4	18K	6.02	7.01
3sw7	19K	6.64	7.30
4fko	20K	6.11	6.70
4fkp	LS5	6.54	6.24
4fkq	42K	6.28	7.56
4fkr	45K	6.64	7.40
4fks	46K	6.28	7.01
4fkt	48K	5.97	6.82
4fku	60K	7.01	6.64
4fkv	61K	6.60	6.73
4fkw	62K	7.33	7.13
