PDB	Labels	Predictions
4yjo	7.90	6.99
4yjp	8.46	7.22
4yjq	7.95	7.89
4yjr	7.69	7.18
4yjs	9.39	6.23
4yjt	8.79	6.82
4yju	7.94	7.50
4yjv	8.55	7.61
4ykq	7.61	5.25
4ykr	7.53	5.40
4ykt	8.28	7.41
4yku	5.12	5.58
4ykw	7.02	5.99
4ykx	5.56	4.34
4yky	4.30	4.11
4ykz	5.06	4.38
4ypw	5.50	5.96
4ypx	4.60	5.16
4ypy	3.80	4.40
4ypz	3.50	4.00
4yq0	4.40	5.48
4yq1	8.30	6.71
4yq2	8.30	5.84
4yq3	6.80	5.16
4yq4	5.70	5.21
4yq5	5.40	6.01
4yq6	6.10	4.50
4yq7	5.20	5.24
4yq8	5.10	5.60
4yq9	6.70	4.24
4yqa	6.30	4.85
4yqb	5.90	5.57
4yqc	6.70	4.86
4yqd	5.10	6.34
4yqg	5.70	4.81
4yqi	4.80	5.60
4yqj	6.20	5.32
4yqk	4.70	5.67
4yql	4.80	6.74
4yqn	5.80	5.56
4yqo	6.30	5.11
4yqp	5.70	5.46
4yqq	6.10	5.90
4yqr	4.00	4.46
4yqs	5.60	4.55
4yqt	6.10	5.02
