PDB	Labels	Predictions
10gs	6.40	6.24
1bcu	3.28	3.62
1e66	9.89	6.26
1f8b	5.40	4.98
1f8c	7.40	7.01
1f8d	3.40	5.84
1gpk	5.37	6.55
1h23	8.35	8.66
1hfs	8.70	9.89
1hnn	6.24	6.28
1lbk	3.18	4.25
1lol	6.39	4.47
1loq	3.70	4.07
1lor	11.06	5.71
1mq6	11.15	9.30
1n1m	5.70	6.47
1n2v	4.08	5.89
1nvq	8.25	8.19
1o3f	7.96	6.47
1o5b	5.77	4.79
1os0	6.03	6.39
1oyt	7.24	7.33
1p1q	4.89	6.21
1ps3	2.28	5.63
1r5y	6.46	5.58
1sqa	9.21	7.54
1u1b	7.80	6.78
1u33	4.60	3.69
1uto	2.27	2.81
1vso	4.72	6.53
1w4o	5.22	4.63
1xd0	7.12	3.77
1yc1	6.17	6.56
1z95	7.12	8.33
2brb	4.86	6.46
2cbj	8.27	9.14
2cet	8.02	9.17
2d1o	7.70	8.21
2fvd	8.52	7.72
2g70	7.77	7.24
2hb1	3.80	4.26
2iwx	6.68	5.79
2j62	11.34	10.45
2j78	6.42	5.36
2jdm	5.40	5.64
2jdu	6.72	5.89
2jdy	4.37	5.69
2obf	8.85	6.95
2ole	7.25	8.15
2p4y	9.00	7.69
2pq9	8.11	7.20
2qbp	8.40	5.47
2qbr	6.33	4.48
2qft	5.26	4.66
2v00	3.66	2.47
2v7a	8.30	7.22
2vl4	6.01	5.49
2vo5	4.89	7.86
2vot	7.14	7.41
2vvn	7.30	8.20
2vw5	8.52	6.07
2w66	4.05	5.83
2wbg	4.45	6.67
2wca	5.60	7.14
2weg	6.50	6.60
2wtv	8.74	8.09
2x00	11.33	7.48
2x0y	4.60	7.29
2x8z	7.96	6.35
2x97	5.66	7.42
2xb8	7.59	6.69
2xbv	8.43	7.39
2xdl	3.10	4.87
2xhm	6.80	6.84
2xnb	6.83	5.60
2xy9	9.19	8.77
2xys	7.42	7.58
2y5h	5.79	8.26
2yfe	6.63	6.53
2yge	5.06	6.04
2yki	9.46	6.67
2ymd	3.16	4.47
2zcq	8.82	5.91
2zcr	6.87	5.08
2zjw	7.70	7.32
2zwz	7.79	8.23
2zx6	10.60	10.85
2zxd	5.22	6.70
3acw	4.76	4.47
3ag9	8.05	4.89
3ao4	2.07	3.34
3b68	8.40	8.46
3bfu	6.27	4.67
3bkk	6.08	7.81
3cft	4.19	5.30
3coy	6.02	5.25
3cyx	8.00	7.84
3d4z	4.89	3.76
3dd0	9.00	8.77
3dxg	2.40	3.61
3e93	8.85	6.76
3ebp	5.91	5.42
3ehy	5.85	8.16
3ejr	8.57	7.56
3f17	8.63	7.66
3f3c	6.02	3.27
3f80	4.22	7.30
3fcq	2.77	4.53
3fk1	2.62	4.23
3fv1	9.30	9.10
3g0w	9.52	8.72
3g2n	4.09	4.64
3g2z	2.36	4.16
3gbb	6.90	7.84
3gcs	7.25	7.67
3ge7	8.70	6.70
3gy4	5.10	3.24
3huc	5.99	6.94
3i3b	2.23	3.79
3imc	2.96	3.05
3ivg	4.30	5.43
3jvs	6.54	6.13
3k5v	6.30	7.22
3kgp	2.57	2.42
3kv2	7.32	5.13
3kwa	4.08	6.11
3l3n	8.18	8.09
3l7b	2.40	4.06
3lka	2.82	7.06
3mfv	2.52	6.42
3mss	4.66	5.54
3muz	3.46	3.78
3myg	10.70	7.05
3n7a	3.70	5.34
3n86	5.64	6.70
3nox	8.66	7.32
3nq3	3.78	5.07
3nw9	9.00	6.68
3oe5	6.88	6.44
3owj	6.07	7.63
3ozt	4.13	5.75
3pe2	9.76	8.11
3pww	7.32	6.40
3pxf	4.43	5.49
3u9q	4.38	4.45
3udh	2.85	3.54
3ueu	5.24	6.34
3uex	6.92	7.56
3uo4	6.52	6.55
3utu	10.92	9.55
3vd4	4.82	3.66
3vh9	6.24	5.23
3zso	5.12	4.36
3zsx	3.28	3.86
4de1	5.96	4.63
4de2	4.12	4.58
4des	5.85	6.82
4dew	7.00	6.94
4djr	11.52	10.68
4djv	6.72	6.40
4g8m	7.89	6.55
4gid	10.77	8.07
4gqq	2.89	4.71
4tmn	10.17	7.04
