PDB	Labels	Predictions
13gs	4.62	5.62
188l	3.33	4.26
1a28	8.29	8.24
1a46	5.70	8.27
1a4h	5.92	6.69
1a5h	6.30	6.92
1a61	8.62	9.41
1a7t	1.64	4.54
1a86	4.00	5.49
1a8t	5.80	6.87
1a9u	7.32	6.71
1aaq	8.40	8.85
1acj	8.09	6.03
1add	6.74	7.36
1adl	5.36	6.06
1ado	6.00	5.31
1af2	3.10	4.22
1afl	6.28	4.35
1ag9	9.00	6.33
1agw	4.70	5.92
1aht	6.21	4.98
1ai4	2.50	4.47
1ai5	3.72	4.97
1ai6	3.97	4.53
1ai7	4.09	3.87
1aj6	5.92	7.62
1al7	7.80	5.89
1alw	6.52	4.08
1aqi	5.62	6.00
1aqj	6.47	5.91
1au0	7.66	8.43
1au2	7.89	8.34
1avd	15.00	9.97
1aw1	1.05	3.80
1awf	6.01	7.42
1ayv	8.00	8.80
1azm	6.10	6.40
1b2i	5.51	4.29
1b42	4.01	3.90
1b4d	4.81	4.31
1b57	8.00	6.33
1b9v	3.65	5.28
1bai	7.70	6.95
1bap	6.85	4.04
1bb0	8.36	8.19
1bcd	8.70	6.69
1bdl	5.85	8.68
1bil	9.30	8.39
1bim	8.92	8.67
1biw	6.98	6.94
1bl4	8.74	7.70
1bl7	7.72	7.09
1bma	4.59	6.44
1bmm	7.10	7.36
1bmn	8.44	8.87
1bmq	7.42	7.58
1bo5	3.60	5.09
1bp0	5.40	5.45
1bq3	5.40	5.39
1bqm	7.35	6.93
1bqn	6.22	7.17
1bra	1.82	3.86
1bsk	4.12	6.45
1bug	4.37	4.19
1bwn	7.06	5.21
1bxr	3.40	5.11
1bzf	8.30	5.72
1c2t	6.59	6.74
1c3i	5.80	6.89
1c3r	6.40	6.17
1c5p	4.68	3.71
1c5x	6.68	5.30
1c5y	4.20	4.97
1c83	4.85	4.41
1ca8	9.49	8.45
1cbx	6.35	7.36
1cea	4.96	5.44
1ci7	7.05	7.12
1cj1	8.80	6.94
1cny	7.85	8.12
1cp6	5.00	5.21
1cps	6.66	7.72
1cr6	8.51	6.95
1ctr	6.00	5.85
1ctt	4.52	4.93
1d1p	3.60	5.03
1d3q	6.54	7.21
1d3v	6.96	6.21
1d5j	9.15	6.88
1d5r	1.82	4.12
1d6n	4.50	4.49
1d8f	7.74	7.22
1d8m	8.51	7.77
1det	4.30	4.92
1dg9	2.74	4.84
1di9	5.30	5.67
1dmp	9.55	9.13
1doj	8.96	8.41
1dth	8.22	7.34
1dtq	8.22	7.73
1dud	4.82	4.76
1dwd	8.18	7.64
1dx6	6.19	6.02
1dzj	5.89	5.71
1e00	6.10	5.71
1e06	5.60	5.37
1e34	2.88	4.89
1e37	3.70	4.80
1e5a	7.64	6.13
1e8h	5.68	4.52
1eas	7.74	7.29
1ebg	10.82	9.38
1eed	4.79	6.11
1eei	3.15	4.34
1efi	1.92	3.62
1ejn	5.62	6.28
1ek2	8.20	7.41
1ela	6.36	6.53
1els	10.82	8.96
1epo	7.96	6.88
1epp	7.16	6.57
1ero	8.23	7.57
1erq	7.89	5.39
1err	8.11	7.95
1ett	5.89	6.88
1ew8	2.26	4.32
1ew9	3.22	4.09
1exw	3.90	5.09
1f0q	6.00	6.07
1f40	6.00	6.32
1f5k	3.74	3.99
1f5l	5.28	4.92
1f92	6.19	7.01
1fbm	6.22	6.29
1fgi	5.00	5.50
1fj4	4.59	4.97
1fkb	9.70	8.55
1fls	7.48	8.31
1fmb	10.00	8.13
1fq7	5.43	6.78
1fsw	6.49	7.19
1ft4	6.57	6.66
1ftk	4.84	5.79
1fv9	5.00	4.35
1fvv	8.00	7.02
1fzq	7.62	5.45
1g05	8.51	7.74
1g2m	7.40	7.96
1g42	3.01	4.29
1g50	6.28	7.27
1g5f	2.64	3.29
1g7g	6.60	5.92
1g85	5.48	5.33
1g9s	3.61	5.10
1ga9	7.08	6.64
1gca	6.70	4.40
1gfw	7.82	7.11
1gfz	4.00	4.25
1ggd	5.80	5.76
1gj4	4.07	6.03
1gj5	4.96	6.65
1gpy	4.70	3.89
1grp	3.72	4.11
1gsz	7.21	7.65
1gt1	6.00	5.85
1gt3	6.46	5.60
1gt4	6.52	5.91
1gt5	6.10	5.35
1gvw	6.96	6.63
1gz4	3.70	5.41
1gzg	3.05	3.56
1gzv	6.57	5.93
1h0a	5.44	4.82
1h0r	3.70	4.28
1h1b	9.80	9.21
1h1h	5.22	5.29
1h36	7.74	7.35
1h37	7.23	8.26
1h39	6.54	7.38
1h4n	4.92	4.89
1h6h	5.30	5.55
1h7a	4.72	6.05
1h8l	7.47	5.31
1hbv	6.37	8.84
1heg	7.74	8.08
1hge	2.27	4.19
1hgi	2.68	4.42
1hgj	1.66	4.30
1hi3	4.19	5.13
1hk1	5.64	6.71
1hk2	6.77	6.58
1hk3	6.59	6.50
1hk5	5.24	6.35
1hlk	5.00	5.16
1hn2	6.00	5.84
1hqf	5.00	5.67
1hqh	6.30	5.38
1hty	1.40	3.92
1hv5	8.30	7.47
1hxk	3.40	4.42
1i32	5.70	6.15
1i33	4.12	5.69
1i41	4.57	4.55
1i43	3.70	4.17
1i48	5.70	5.11
1i8j	4.41	4.52
1iew	4.59	5.85
1iiq	7.48	8.19
1ijr	5.44	6.08
1ikv	6.28	7.71
1ikw	8.60	7.89
1il3	2.55	4.60
1il4	2.85	4.86
1il5	2.66	3.65
1il9	3.40	4.10
1imx	3.52	5.44
1inc	9.34	5.94
1ivp	7.52	8.01
1j17	5.22	5.81
1j4r	7.72	7.98
1j5i	3.64	4.76
1jao	5.92	6.10
1jdj	2.30	4.06
1jh1	4.39	5.84
1jif	6.20	7.62
1jii	9.00	7.62
1jij	8.52	8.22
1jiz	8.70	7.68
1jjk	11.06	7.74
1jk7	8.52	8.22
1jlq	8.15	8.03
1jmi	6.06	5.52
1jn4	4.95	4.87
1jqe	6.44	8.05
1juj	6.96	6.07
1jut	7.32	7.19
1juy	7.66	6.10
1jys	3.52	4.43
1jzs	6.60	6.98
1k1n	6.82	7.02
1k1o	6.17	5.94
1k2i	3.11	4.18
1kak	4.59	5.15
1kav	5.82	5.96
1kdk	9.05	7.78
1kds	5.77	5.76
1kdw	5.54	6.40
1ke0	5.38	5.91
1ke3	6.70	6.47
1kll	5.20	6.17
1kv2	10.00	7.94
1kyn	5.39	5.40
1l6y	3.66	3.96
1lah	7.52	4.83
1lf3	7.00	6.59
1lhc	10.40	9.53
1lhd	9.62	8.64
1lhe	9.54	9.12
1lhf	8.09	8.91
1lhg	7.10	8.38
1li2	4.04	4.10
1li6	3.80	3.89
1lkx	5.15	4.96
1llb	6.05	6.40
1lqd	8.05	7.70
1lqf	8.30	7.24
1lrt	5.64	5.70
1lzo	4.54	4.18
1m6p	5.10	3.72
1m74	7.00	5.21
1mdl	3.09	4.05
1me3	7.19	7.25
1me4	6.84	6.95
1mkd	6.80	6.52
1ml1	4.28	3.23
1mmq	7.52	6.55
1mmr	5.40	6.62
1mn9	4.62	4.98
1mns	4.17	3.90
1mpl	3.77	5.19
1mrn	4.52	4.68
1mrx	7.26	8.81
1msn	9.09	8.35
1mto	6.96	5.05
1mtr	8.40	10.29
1mu6	8.38	7.93
1mu8	9.00	8.14
1mwt	1.88	5.32
1mxo	9.00	7.15
