PDB	Labels	Predictions
1gja	5.42	5.06
1iup	2.54	3.45
1swk	12.00	10.76
1tog	3.22	4.55
1toi	4.05	4.40
1ukb	3.19	3.56
1uto	2.27	3.52
1vot	6.60	5.62
1vso	4.72	6.68
2are	3.28	5.61
2b3f	6.03	5.28
2bbf	5.10	5.19
2bys	9.52	8.18
2c1q	13.00	10.70
2c92	5.68	5.66
2c94	6.82	5.93
2cem	7.92	8.93
2cen	8.30	8.96
2cjp	3.10	3.65
2e2p	4.74	6.10
2e2r	8.26	6.60
2epn	7.22	6.06
2flr	6.10	6.09
2fx6	3.70	4.32
2gkl	5.35	4.27
2gz2	5.22	5.74
2h15	5.67	7.11
2hr6	4.92	4.97
2hzl	6.57	3.47
2hzy	7.39	6.85
2i2c	4.70	6.57
2idz	9.40	7.11
2ihj	4.59	4.97
2ihk	4.16	4.47
2j4k	4.85	5.29
2jbj	9.70	7.91
2jdu	6.72	4.67
2jdy	4.37	4.67
2jff	3.62	5.11
2jgb	5.61	4.96
2jj3	9.55	7.57
2jke	4.23	4.88
2nmx	5.57	6.10
2nnq	8.70	7.07
2nsj	4.79	4.61
2nsl	4.68	4.78
2nta	4.80	4.29
2o4j	10.10	7.03
2oag	8.47	7.95
2oiq	4.94	7.26
2ojg	5.64	6.51
2otz	3.63	3.61
2ou0	3.23	3.44
2ovv	7.92	7.89
2oym	5.00	5.88
2p16	10.10	6.48
2p3t	11.30	8.31
2p4y	9.00	6.88
2p7g	6.53	6.33
2p95	9.37	6.99
2p98	6.19	5.80
2pgz	5.74	7.92
2pjo	0.05	2.93
2pog	9.54	8.54
2pov	7.12	6.20
2pow	7.20	7.35
2pqc	5.74	5.44
2psv	7.24	8.46
2pwd	4.40	4.25
2pwg	4.82	3.99
2pzv	3.87	4.77
2q54	9.01	9.93
2q6m	6.29	8.01
2q88	5.80	3.64
2q89	6.30	4.50
2q8z	5.68	5.99
2qbq	7.44	7.03
2qbr	6.33	5.68
2qdt	5.19	4.54
2qeh	8.62	5.76
2qhy	7.48	9.78
2qhz	7.28	9.70
2qi1	7.30	9.15
2qi3	10.20	10.46
2qi4	10.44	9.59
2qi5	10.85	10.57
2qi6	10.57	9.89
2qmg	9.15	8.23
2qnq	6.11	8.64
2qrl	4.00	4.53
2qry	8.64	6.01
2qu6	8.52	8.41
2qvu	6.44	4.92
2r3d	-0.15	2.23
2r5p	8.48	8.86
2r6w	9.36	7.64
2r75	6.15	4.94
2rde	7.01	5.61
2reg	5.57	3.86
2rkd	2.72	3.57
2uwl	8.40	7.55
2uwp	6.81	7.15
2uy4	4.68	4.20
2v2c	3.41	4.63
2v77	5.06	5.40
2v7t	7.48	6.22
2v7u	5.90	6.25
2v7v	6.66	5.31
2v8q	4.61	6.22
2v8y	5.71	5.51
2vhw	5.09	5.94
2vkm	8.74	7.31
2vmd	3.02	3.67
2vpn	6.72	4.46
2vuk	3.82	3.72
2vw5	8.52	6.50
2w26	9.40	6.56
2z4b	9.36	8.28
2zmm	7.60	5.96
2zn7	7.89	6.17
3b3c	3.98	5.98
3b50	7.55	5.46
3b7r	7.70	6.98
3b92	8.00	6.90
3bex	5.57	4.34
3bgq	7.96	7.80
3bgz	6.26	5.60
3bl0	6.92	7.30
3brn	8.70	3.42
3bu1	8.15	3.50
3bxe	5.48	5.37
3c2f	2.00	5.56
3c2o	3.35	4.14
3c2r	3.11	5.02
3c7i	5.64	6.00
3ccw	7.87	7.88
3ccz	7.29	8.26
3cd7	7.84	8.33
3czv	7.80	7.22
3d2r	5.48	5.73
3d51	4.15	4.90
3d83	8.36	6.99
3ddg	6.00	6.12
3dp4	7.37	6.47
3e92	8.00	8.62
3eko	6.70	4.52
3ekr	5.55	5.69
3ene	6.24	5.89
3eqr	8.70	8.16
3f8c	7.68	7.45
3fat	7.64	6.63
