PDB	Labels	Predictions
1gm8	4.80	6.51
1gpk	5.37	7.61
1hnn	6.24	4.21
1hp0	6.70	5.66
1hq2	6.77	5.08
1hvy	6.17	7.39
1hwi	7.55	7.42
1hww	7.70	3.47
1ia1	7.47	7.23
1j3j	8.01	4.86
1jd0	8.24	6.57
1jje	8.43	6.66
1ke5	6.25	6.84
1kzk	10.40	9.03
1l2s	4.59	4.69
1l7f	9.10	7.25
1lpz	7.60	8.59
1lrh	6.82	3.45
1m2z	7.22	7.71
1mmv	7.24	4.54
1n1m	5.70	6.10
1n2v	4.08	5.37
1n46	10.52	8.27
1nav	7.60	7.19
1of1	4.82	6.47
1of6	6.05	5.87
1opk	9.82	7.63
1oq5	7.68	7.81
1owe	6.20	6.19
1oyt	7.24	7.46
1p2y	5.00	3.37
1p62	4.66	4.90
1pmn	8.15	8.09
1q1g	8.57	6.36
1q41	7.66	6.74
1q4g	6.89	5.89
1r1h	8.92	9.26
1r55	6.80	5.52
1r58	6.96	6.98
1r9o	5.02	4.23
1s19	9.51	8.38
1s3v	7.42	7.12
1sg0	7.47	3.71
1sj0	9.10	8.27
1sq5	4.39	4.71
1sqn	9.40	7.27
1t40	7.96	6.87
1t46	6.38	8.21
1t9b	6.90	5.93
1tow	6.24	5.41
1tt1	7.19	6.83
1u1c	5.37	5.66
1uml	7.52	7.54
1unl	6.70	7.06
1uou	7.70	5.57
1v0p	6.89	7.79
1v48	8.16	6.98
1v4s	6.44	5.41
1vcj	4.59	6.07
1w1p	2.30	3.94
1w2g	4.57	4.18
1xm6	6.38	5.62
1xoq	9.17	7.86
1xoz	8.92	8.44
1y6b	7.42	7.04
1ygc	9.46	6.77
1yqy	7.62	6.24
1ywr	7.49	7.32
1z95	7.12	9.49
2bm2	7.82	8.11
2br1	5.14	6.86
2bsm	5.82	6.63
