PDB	Labels	Predictions
1a8i	5.52	5.93
1a99	5.70	5.08
1ax0	3.13	3.61
1b6l	8.30	8.12
1b6m	8.40	8.19
1duv	11.80	5.10
1dy4	4.36	6.24
1e2k	4.94	4.40
1fcx	7.12	6.54
1g2k	7.96	6.30
1gj8	6.96	6.37
1gjd	5.22	7.52
1gpk	5.37	5.98
1gyy	3.64	3.53
1h22	9.10	7.51
1h23	8.35	7.47
1h46	3.57	4.61
1hnn	6.24	6.34
1iy7	6.19	6.30
1kzk	10.39	10.16
1lrh	6.82	4.55
1nc1	6.12	7.75
1nc3	5.00	7.26
1nli	3.59	7.61
1nw5	5.21	6.15
1ow4	5.68	5.12
1p1n	6.80	5.99
1p1o	5.76	5.98
1ps3	2.28	4.24
1pxp	6.66	6.74
1r5y	6.46	5.01
1s38	5.15	5.19
1s39	7.70	4.69
1sr7	10.10	8.79
1sw1	7.30	7.25
1syh	6.41	5.77
1syi	5.48	5.77
1toj	3.39	3.90
1tok	2.47	4.07
1u1w	5.85	3.96
1ua4	4.22	5.85
1ui0	7.06	4.51
1utm	3.01	3.69
1uwu	5.98	6.11
1uz1	6.89	5.20
1uz4	3.40	4.89
1v1j	4.82	6.31
1w2g	4.57	4.41
1x8d	2.21	4.35
1xge	4.68	5.90
1y1m	1.82	6.05
1y1z	3.08	6.74
1y20	5.32	6.84
1yc1	6.17	7.20
1ydk	5.89	2.85
1z95	7.12	8.73
2aac	2.22	4.79
2afx	5.15	4.26
2ayr	9.29	7.17
2azr	3.64	5.31
2b07	6.43	6.80
2boh	8.52	8.86
2boj	5.77	5.87
2brb	4.86	6.36
2bvd	6.00	4.88
2byr	8.55	7.93
2cji	8.22	8.57
2fai	6.24	6.54
2fdp	7.59	6.49
2ff1	8.21	6.53
2fpz	3.96	6.00
2fqt	6.14	6.40
2fqw	6.68	5.42
2fqx	7.15	5.32
2fqy	6.57	5.13
2fvd	8.52	7.18
2fw6	2.92	3.12
2fxu	8.15	6.37
2h6b	5.39	5.87
2hb1	3.80	5.14
2hdq	1.40	2.92
2hdr	1.72	3.58
2i0a	11.40	11.82
2i0d	12.10	11.93
2il2	7.10	8.23
2iwx	6.68	6.40
2j2u	7.05	8.47
2j34	7.82	8.66
2j4i	9.00	9.05
2j78	6.42	5.99
1bcj	3.70	3.51
1bky	3.84	3.09
1d4i	8.85	8.44
1d4j	8.36	8.45
1eby	9.70	8.00
1ebz	9.40	8.69
1ec0	8.49	8.14
1ec1	8.92	8.73
1ec2	10.00	7.81
1enu	5.08	4.45
1f74	3.05	4.79
1gi9	5.96	5.08
1gww	4.28	4.56
1gx0	4.28	4.56
1o5a	6.42	6.59
1o5r	8.12	7.84
1q4w	6.46	5.01
1qkt	9.04	8.43
1qxl	7.96	7.66
1rdi	2.06	2.19
1rdn	1.84	2.61
1tr7	6.82	6.92
2a3c	4.37	4.13
2fv5	10.52	7.43
2h21	6.54	4.31
2hd6	7.80	7.55
1xl5	7.35	8.64
1y93	2.10	6.89
4ubp	5.59	6.84
1lhw	8.16	7.20
1s9t	6.60	5.52
1tt1	7.19	7.94
1uzv	5.18	6.57
2dm5	2.99	6.58
1xw6	5.62	5.26
2qrk	4.26	5.02
2nn1	5.82	6.26
2pou	7.42	7.19
3cd0	7.57	7.96
3cda	7.58	7.81
