PDB	Labels	Predictions
10gs	6.40	5.55
1bcu	3.28	3.31
1e66	9.89	7.63
1f8b	5.40	5.21
1f8c	7.40	6.77
1f8d	3.40	3.62
1gpk	5.37	7.74
1h23	8.35	6.74
1hfs	8.70	7.19
1hnn	6.24	7.52
1lbk	3.18	4.72
1lol	6.39	3.97
1loq	3.70	3.40
1lor	11.06	10.95
1mq6	11.15	8.47
1n1m	5.70	6.91
1n2v	4.08	6.26
1nvq	8.25	7.93
1o3f	7.96	6.38
1o5b	5.77	4.93
1os0	6.03	7.05
1oyt	7.24	7.47
1p1q	4.89	5.73
1ps3	2.28	3.91
1r5y	6.46	4.88
1sqa	9.21	5.84
1u1b	7.80	6.95
1u33	4.60	3.12
1uto	2.27	4.33
1vso	4.72	7.33
1w4o	5.22	4.57
1xd0	7.12	3.10
1yc1	6.17	7.69
1z95	7.12	7.47
2brb	4.86	6.30
2cbj	8.27	8.04
2cet	8.02	8.10
2d1o	7.70	7.49
2fvd	8.52	7.18
2g70	7.77	4.96
2hb1	3.80	4.34
2iwx	6.68	6.43
2j62	11.34	7.51
2j78	6.42	5.78
2jdm	5.40	5.58
2jdu	6.72	5.58
2jdy	4.37	5.09
2obf	8.85	7.03
2ole	7.25	8.29
2p4y	9.00	7.08
2pq9	8.11	7.09
2qbp	8.40	6.54
2qbr	6.33	5.57
2qft	5.26	4.14
2v00	3.66	3.85
2v7a	8.30	7.26
2vl4	6.01	4.29
2vo5	4.89	6.06
2vot	7.14	7.08
2vvn	7.30	7.57
2vw5	8.52	6.03
2w66	4.05	4.31
2wbg	4.45	5.85
2wca	5.60	6.23
2weg	6.50	5.79
2wtv	8.74	8.33
2x00	11.33	7.07
2x0y	4.60	5.41
2x8z	7.96	5.02
2x97	5.66	6.88
2xb8	7.59	7.02
2xbv	8.43	7.90
2xdl	3.10	4.10
2xhm	6.80	5.67
2xnb	6.83	6.36
2xy9	9.19	7.65
2xys	7.42	7.23
2y5h	5.79	8.59
2yfe	6.63	7.17
2yge	5.06	5.25
2yki	9.46	6.51
2ymd	3.16	5.46
2zcq	8.82	5.85
2zcr	6.87	6.56
2zjw	7.70	5.83
2zwz	7.79	7.93
2zx6	10.60	10.69
2zxd	5.22	5.96
3acw	4.76	5.97
3ag9	8.05	6.31
3ao4	2.07	2.61
3b68	8.40	7.28
3bfu	6.27	4.33
3bkk	6.08	5.97
3cft	4.19	5.73
3coy	6.02	6.81
3cyx	8.00	7.09
3d4z	4.89	5.75
3dd0	9.00	8.22
3dxg	2.40	3.62
3e93	8.85	7.86
3ebp	5.91	5.40
3ehy	5.85	7.11
3ejr	8.57	6.56
3f17	8.63	7.87
3f3c	6.02	4.12
3f80	4.22	5.88
3fcq	2.77	3.92
3fk1	2.62	3.92
3fv1	9.30	8.94
3g0w	9.52	8.24
3g2n	4.09	4.26
3g2z	2.36	3.68
3gbb	6.90	6.88
3gcs	7.25	8.52
3ge7	8.70	6.95
3gy4	5.10	3.55
3huc	5.99	7.24
3i3b	2.23	3.25
3imc	2.96	3.16
3ivg	4.30	6.02
3jvs	6.54	7.43
3k5v	6.30	7.31
3kgp	2.57	2.73
3kv2	7.32	3.71
3kwa	4.08	3.59
3l3n	8.18	5.75
3l7b	2.40	2.91
3lka	2.82	8.38
3mfv	2.52	6.22
3mss	4.66	6.50
3muz	3.46	3.68
3myg	10.70	7.93
3n7a	3.70	4.23
3n86	5.64	5.53
3nox	8.66	8.38
3nq3	3.78	6.43
3nw9	9.00	6.04
3oe5	6.88	5.56
3owj	6.07	7.33
3ozt	4.13	5.94
3pe2	9.76	8.05
3pww	7.32	5.35
3pxf	4.43	5.04
3u9q	4.38	6.10
3udh	2.85	3.89
3ueu	5.24	6.58
3uex	6.92	6.31
3uo4	6.52	7.32
3utu	10.92	8.34
3vd4	4.82	3.68
3vh9	6.24	3.80
3zso	5.12	5.24
3zsx	3.28	5.79
4de1	5.96	5.81
4de2	4.12	5.30
4des	5.85	6.21
4dew	7.00	6.23
4djr	11.52	10.45
4djv	6.72	6.17
4g8m	7.89	6.97
4gid	10.77	7.57
4gqq	2.89	3.16
4tmn	10.17	7.28
