PDB	Labels	Predictions
4ypw	5.50	4.90
4ypx	4.60	3.32
4ypy	3.80	3.94
4ypz	3.50	4.04
4yq0	4.40	5.57
4yq1	8.30	5.71
4yq2	8.30	5.74
4yq3	6.80	5.85
4yq4	5.70	3.98
4yq5	5.40	4.32
4yq6	6.10	4.46
4yq7	5.20	4.73
4yq8	5.10	5.84
4yq9	6.70	5.21
4yqa	6.30	4.94
4yqb	5.90	4.13
4yqc	6.70	4.75
4yqd	5.10	5.31
4yqg	5.70	4.51
4yqi	4.80	5.58
4yqj	6.20	4.23
4yqk	4.70	4.17
4yql	4.80	7.19
4yqn	5.80	3.96
4yqo	6.30	4.12
4yqp	5.70	3.92
4yqq	6.10	3.93
4yqr	4.00	5.00
4yqs	5.60	5.17
4yqt	6.10	4.85
4yjo	7.90	7.85
4yjp	8.46	7.61
4yjq	7.95	7.92
4yjr	7.69	7.89
4yjs	9.39	7.74
4yjt	8.79	7.70
4yju	7.94	7.33
4yjv	8.55	8.24
4ykr	7.53	6.89
4ykq	7.61	7.13
4ykt	8.28	8.11
4ykw	7.02	5.71
4ykx	5.56	5.62
4ykz	5.06	4.61
4yky	4.30	4.96
4yku	5.12	4.84
