PDB	Labels	Predictions
1gm8	4.80	6.25
1gpk	5.37	7.25
1hnn	6.24	7.81
1hp0	6.70	5.64
1hq2	6.77	5.64
1hvy	6.17	6.95
1hwi	7.55	7.21
1hww	7.70	4.79
1ia1	7.47	4.99
1j3j	8.01	4.58
1jd0	8.24	7.37
1jje	8.43	4.61
1ke5	6.25	5.50
1kzk	10.40	8.60
1l2s	4.59	5.37
1l7f	9.10	6.61
1lpz	7.60	8.32
1lrh	6.82	5.29
1m2z	7.22	8.68
1mmv	7.24	4.12
1n1m	5.70	6.79
1n2v	4.08	4.13
1n46	10.52	8.48
1nav	7.60	6.27
1of1	4.82	6.39
1of6	6.05	6.70
1opk	9.82	8.22
1oq5	7.68	7.82
1owe	6.20	7.51
1oyt	7.24	6.88
1p2y	5.00	5.65
1p62	4.66	6.46
1pmn	8.15	7.31
1q1g	8.57	8.43
1q41	7.66	6.91
1q4g	6.89	6.34
1r1h	8.92	7.61
1r55	6.80	7.43
1r58	6.96	7.39
1r9o	5.02	5.28
1s19	9.51	8.57
1s3v	7.42	7.44
1sg0	7.47	4.15
1sj0	9.10	8.23
1sq5	4.39	6.23
1sqn	9.40	8.13
1t40	7.96	7.74
1t46	6.38	6.85
1t9b	6.90	6.60
1tow	6.24	6.06
1tt1	7.19	8.36
1u1c	5.37	5.34
1uml	7.52	7.71
1unl	6.70	6.39
1uou	7.70	5.36
1v0p	6.89	6.31
1v48	8.16	7.42
1v4s	6.44	5.53
1vcj	4.59	4.76
1w1p	2.30	4.78
1w2g	4.57	3.56
1xm6	6.38	5.45
1xoq	9.17	8.43
1xoz	8.92	7.89
1y6b	7.42	7.41
1ygc	9.46	7.77
1yqy	7.62	5.96
1ywr	7.49	7.99
1z95	7.12	8.14
2bm2	7.82	7.88
2br1	5.14	6.45
2bsm	5.82	7.63
