PDB	Labels	Predictions
10gs	6.40	5.41
1bcu	3.28	3.44
1e66	9.89	7.59
1f8b	5.40	4.45
1f8c	7.40	3.66
1f8d	3.40	5.52
1gpk	5.37	6.72
1h23	8.35	8.69
1hfs	8.70	8.06
1hnn	6.24	7.14
1lbk	3.18	3.54
1lol	6.39	5.69
1loq	3.70	3.54
1lor	11.06	11.16
1mq6	11.15	7.61
1n1m	5.70	4.09
1n2v	4.08	5.30
1nvq	8.25	8.23
1o3f	7.96	6.78
1o5b	5.77	6.63
1os0	6.03	8.12
1oyt	7.24	7.44
1p1q	4.89	5.51
1ps3	2.28	4.90
1r5y	6.46	5.54
1sqa	9.21	7.62
1u1b	7.80	4.99
1u33	4.60	4.06
1uto	2.27	4.15
1vso	4.72	8.81
1w4o	5.22	3.88
1xd0	7.12	3.49
1yc1	6.17	8.03
1z95	7.12	8.86
2brb	4.86	6.37
2cbj	8.27	8.20
2cet	8.02	6.78
2d1o	7.70	8.38
2fvd	8.52	6.22
2g70	7.77	4.32
2hb1	3.80	3.60
2iwx	6.68	7.09
2j62	11.34	10.28
2j78	6.42	5.83
2jdm	5.40	6.69
2jdu	6.72	6.65
2jdy	4.37	5.47
2obf	8.85	7.54
2ole	7.25	7.07
2p4y	9.00	5.60
2pq9	8.11	8.07
2qbp	8.40	6.57
2qbr	6.33	5.58
2qft	5.26	4.01
2v00	3.66	2.92
2v7a	8.30	7.05
2vl4	6.01	5.78
2vo5	4.89	6.37
2vot	7.14	6.86
2vvn	7.30	7.36
2vw5	8.52	7.24
2w66	4.05	5.88
2wbg	4.45	6.83
2wca	5.60	6.50
2weg	6.50	7.08
2wtv	8.74	7.22
2x00	11.33	10.12
2x0y	4.60	4.53
2x8z	7.96	9.28
2x97	5.66	7.49
2xb8	7.59	6.90
2xbv	8.43	7.93
2xdl	3.10	4.24
2xhm	6.80	6.03
2xnb	6.83	7.01
2xy9	9.19	7.93
2xys	7.42	7.11
2y5h	5.79	7.11
2yfe	6.63	5.77
2yge	5.06	5.32
2yki	9.46	6.59
2ymd	3.16	5.25
2zcq	8.82	6.64
2zcr	6.87	5.95
2zjw	7.70	5.89
2zwz	7.79	7.86
2zx6	10.60	11.70
2zxd	5.22	6.53
3acw	4.76	6.09
3ag9	8.05	7.11
3ao4	2.07	2.16
3b68	8.40	7.98
3bfu	6.27	6.53
3bkk	6.08	6.88
3cft	4.19	7.44
3coy	6.02	5.96
3cyx	8.00	7.80
3d4z	4.89	8.27
3dd0	9.00	8.02
3dxg	2.40	2.96
3e93	8.85	9.29
3ebp	5.91	4.25
3ehy	5.85	8.99
3ejr	8.57	6.79
3f17	8.63	7.05
3f3c	6.02	3.52
3f80	4.22	6.61
3fcq	2.77	6.48
3fk1	2.62	4.48
3fv1	9.30	9.72
3g0w	9.52	6.52
3g2n	4.09	4.70
3g2z	2.36	3.80
3gbb	6.90	7.11
3gcs	7.25	6.55
3ge7	8.70	8.12
3gy4	5.10	4.20
3huc	5.99	7.89
3i3b	2.23	3.31
3imc	2.96	2.98
3ivg	4.30	5.51
3jvs	6.54	6.31
3k5v	6.30	8.62
3kgp	2.57	2.45
3kv2	7.32	5.74
3kwa	4.08	3.91
3l3n	8.18	8.97
3l7b	2.40	4.46
3lka	2.82	7.31
3mfv	2.52	4.86
3mss	4.66	6.54
3muz	3.46	3.23
3myg	10.70	9.00
3n7a	3.70	3.90
3n86	5.64	5.23
3nox	8.66	8.74
3nq3	3.78	6.99
3nw9	9.00	8.03
3oe5	6.88	5.44
3owj	6.07	5.76
3ozt	4.13	6.85
3pe2	9.76	7.54
3pww	7.32	5.92
3pxf	4.43	4.26
3u9q	4.38	4.75
3udh	2.85	3.83
3ueu	5.24	6.32
3uex	6.92	6.33
3uo4	6.52	7.11
3utu	10.92	8.17
3vd4	4.82	3.23
3vh9	6.24	5.34
3zso	5.12	5.34
3zsx	3.28	4.59
4de1	5.96	4.59
4de2	4.12	3.49
4des	5.85	6.99
4dew	7.00	6.26
4djr	11.52	9.92
4djv	6.72	5.91
4g8m	7.89	5.96
4gid	10.77	7.97
4gqq	2.89	2.38
4tmn	10.17	9.17
