PDB	Labels	Predictions
1a8i	5.52	4.63
1a99	5.70	2.51
1ax0	3.13	3.54
1b6l	8.30	7.36
1b6m	8.40	8.30
1duv	11.80	4.41
1dy4	4.36	7.91
1e2k	4.94	7.86
1fcx	7.12	5.06
1g2k	7.96	8.74
1gj8	6.96	7.54
1gjd	5.22	5.10
1gpk	5.37	6.68
1gyy	3.64	3.49
1h22	9.10	8.67
1h23	8.35	8.62
1h46	3.57	6.91
1hnn	6.24	6.96
1iy7	6.19	6.38
1kzk	10.39	10.82
1lrh	6.82	3.45
1nc1	6.12	10.28
1nc3	5.00	8.72
1nli	3.59	4.63
1nw5	5.21	4.73
1ow4	5.68	5.02
1p1n	6.80	6.39
1p1o	5.76	6.41
1ps3	2.28	4.89
1pxp	6.66	7.25
1r5y	6.46	5.64
1s38	5.15	5.10
1s39	7.70	4.95
1sr7	10.10	9.35
1sw1	7.30	5.66
1syh	6.41	4.29
1syi	5.48	4.33
1toj	3.39	5.89
1tok	2.47	4.86
1u1w	5.85	5.27
1ua4	4.22	5.21
1ui0	7.06	3.73
1utm	3.01	3.47
1uwu	5.98	6.18
1uz1	6.89	5.31
1uz4	3.40	4.90
1v1j	4.82	5.26
1w2g	4.57	3.87
1x8d	2.21	4.37
1xge	4.68	5.02
1y1m	1.82	8.24
1y1z	3.08	7.99
1y20	5.32	8.01
1yc1	6.17	8.01
1ydk	5.89	3.26
1z95	7.12	8.90
2aac	2.22	3.39
2afx	5.15	5.61
2ayr	9.29	8.14
2azr	3.64	4.41
2b07	6.43	5.19
2boh	8.52	8.52
2boj	5.77	7.52
2brb	4.86	6.25
2bvd	6.00	2.81
2byr	8.55	7.83
2cji	8.22	7.20
2fai	6.24	6.81
2fdp	7.59	6.16
2ff1	8.21	6.58
2fpz	3.96	4.59
2fqt	6.14	6.51
2fqw	6.68	4.14
2fqx	7.15	4.47
2fqy	6.57	3.77
2fvd	8.52	6.17
2fw6	2.92	3.12
2fxu	8.15	4.35
2h6b	5.39	5.20
2hb1	3.80	3.58
2hdq	1.40	3.28
2hdr	1.72	3.40
2i0a	11.40	12.01
2i0d	12.10	11.01
2il2	7.10	9.04
2iwx	6.68	7.13
2j2u	7.05	7.47
2j34	7.82	6.43
2j4i	9.00	7.97
2j78	6.42	5.88
1bcj	3.70	2.65
1bky	3.84	4.24
1d4i	8.85	9.87
1d4j	8.36	9.29
1eby	9.70	8.87
1ebz	9.40	7.83
1ec0	8.49	10.32
1ec1	8.92	6.88
1ec2	10.00	7.33
1enu	5.08	5.94
1f74	3.05	3.69
1gi9	5.96	6.32
1gww	4.28	4.69
1gx0	4.28	4.70
1o5a	6.42	7.17
1o5r	8.12	7.28
1q4w	6.46	5.54
1qkt	9.04	8.80
1qxl	7.96	6.45
1rdi	2.06	3.02
1rdn	1.84	2.38
1tr7	6.82	7.04
2a3c	4.37	4.94
2fv5	10.52	7.70
2h21	6.54	4.75
2hd6	7.80	7.50
1xl5	7.35	7.70
1y93	2.10	6.38
4ubp	5.59	6.10
1lhw	8.16	6.77
1s9t	6.60	6.96
1tt1	7.19	7.99
1uzv	5.18	7.53
2dm5	2.99	7.18
1xw6	5.62	5.62
2qrk	4.26	6.00
2nn1	5.82	4.06
2pou	7.42	9.64
3cd0	7.57	8.69
3cda	7.58	7.86
