PDB	Labels	Predictions
1gm8	4.80	5.59
1gpk	5.37	8.33
1hnn	6.24	7.57
1hp0	6.70	4.93
1hq2	6.77	5.73
1hvy	6.17	6.88
1hwi	7.55	8.38
1hww	7.70	5.55
1ia1	7.47	7.20
1j3j	8.01	4.70
1jd0	8.24	6.91
1jje	8.43	5.22
1ke5	6.25	5.38
1kzk	10.40	9.41
1l2s	4.59	5.34
1l7f	9.10	5.86
1lpz	7.60	8.54
1lrh	6.82	3.46
1m2z	7.22	7.37
1mmv	7.24	3.75
1n1m	5.70	5.55
1n2v	4.08	3.87
1n46	10.52	8.30
1nav	7.60	5.28
1of1	4.82	6.73
1of6	6.05	7.21
1opk	9.82	6.82
1oq5	7.68	8.32
1owe	6.20	6.63
1oyt	7.24	6.35
1p2y	5.00	3.83
1p62	4.66	4.82
1pmn	8.15	7.76
1q1g	8.57	7.80
1q41	7.66	7.35
1q4g	6.89	6.49
1r1h	8.92	7.82
1r55	6.80	5.56
1r58	6.96	7.88
1r9o	5.02	6.26
1s19	9.51	8.41
1s3v	7.42	6.48
1sg0	7.47	4.64
1sj0	9.10	7.68
1sq5	4.39	4.36
1sqn	9.40	8.10
1t40	7.96	6.15
1t46	6.38	7.19
1t9b	6.90	4.31
1tow	6.24	6.29
1tt1	7.19	7.94
1u1c	5.37	4.82
1uml	7.52	7.25
1unl	6.70	6.65
1uou	7.70	4.44
1v0p	6.89	6.55
1v48	8.16	7.53
1v4s	6.44	5.92
1vcj	4.59	4.18
1w1p	2.30	2.35
1w2g	4.57	5.61
1xm6	6.38	5.08
1xoq	9.17	8.36
1xoz	8.92	7.89
1y6b	7.42	8.23
1ygc	9.46	9.37
1yqy	7.62	6.45
1ywr	7.49	8.20
1z95	7.12	8.44
2bm2	7.82	8.87
2br1	5.14	8.96
2bsm	5.82	6.97
