PDB	Labels	Predictions
4ypw	5.50	4.34
4ypx	4.60	4.16
4ypy	3.80	4.72
4ypz	3.50	4.55
4yq0	4.40	5.04
4yq1	8.30	5.68
4yq2	8.30	5.82
4yq3	6.80	5.72
4yq4	5.70	5.10
4yq5	5.40	5.35
4yq6	6.10	6.48
4yq7	5.20	5.07
4yq8	5.10	4.94
4yq9	6.70	4.76
4yqa	6.30	5.40
4yqb	5.90	4.33
4yqc	6.70	4.86
4yqd	5.10	6.81
4yqg	5.70	4.37
4yqi	4.80	5.55
4yqj	6.20	5.42
4yqk	4.70	4.57
4yql	4.80	6.76
4yqn	5.80	4.70
4yqo	6.30	4.85
4yqp	5.70	4.74
4yqq	6.10	6.42
4yqr	4.00	4.25
4yqs	5.60	4.88
4yqt	6.10	5.35
4yjo	7.90	8.22
4yjp	8.46	7.82
4yjq	7.95	7.91
4yjr	7.69	7.66
4yjs	9.39	7.48
4yjt	8.79	8.78
4yju	7.94	7.99
4yjv	8.55	7.39
4ykr	7.53	4.86
4ykq	7.61	4.79
4ykt	8.28	7.47
4ykw	7.02	7.48
4ykx	5.56	4.80
4ykz	5.06	5.40
4yky	4.30	4.41
4yku	5.12	3.80
