PDB	Labels	Predictions
3m1k	5.39	4.12
6pgb	4.60	4.54
3rz1	8.74	8.60
6fnt	4.68	4.58
4ww8	10.17	10.34
5ap7	6.29	6.44
4alx	7.28	7.53
5tuy	6.35	6.49
4u6r	7.85	7.63
1moq	3.46	3.29
1uyg	4.27	4.46
4qyy	7.30	7.27
5alg	7.52	7.75
5k0f	6.07	5.80
4x8v	6.89	6.80
2ei6	7.39	7.47
2xkd	5.64	5.64
5j9f	7.23	7.45
6nlj	4.82	4.98
3sfh	7.05	7.06
1ett	5.89	5.75
6ugq	7.55	6.99
3hvk	8.52	8.58
2p8n	3.15	3.23
3iej	6.66	6.76
2k0g	6.97	5.23
5teh	7.55	7.61
3gt9	3.96	4.75
6knh	3.55	3.73
3hwx	7.86	7.70
4w9x	7.40	7.40
2wkt	4.31	4.55
4uv8	6.47	6.38
4d8s	6.49	6.44
4p02	6.40	6.36
3udd	7.10	7.13
5a3s	8.68	8.14
5ccl	4.77	5.20
4i7l	3.99	3.70
4ec0	6.07	6.24
6abk	1.95	2.13
6myn	7.85	7.69
6hys	5.59	5.37
1o4d	3.52	3.41
3khv	1.85	1.90
1pf8	7.51	7.11
6mjf	5.16	5.32
5y6k	6.07	6.05
5wip	4.71	5.06
6mmo	3.35	3.61
4g0z	2.21	2.40
2kaw	4.97	5.24
1ai7	4.09	3.99
6skd	5.80	6.05
4fcb	8.54	8.71
1qj1	8.05	7.81
1qhr	6.89	7.04
4u70	5.02	5.05
2p83	7.96	8.15
2p2h	7.17	7.37
4qpd	7.82	7.88
3b3x	3.60	3.56
6fs1	7.01	6.82
4hai	8.10	8.11
6gjl	3.86	4.07
6gcw	8.64	8.73
3f19	7.19	7.16
6q37	6.36	6.61
5j20	9.14	8.88
5ny1	6.44	6.57
4bhi	7.05	5.25
5swh	7.59	7.56
1xbc	7.92	8.11
4l6s	8.52	8.57
3r0y	4.84	4.97
3dkj	5.70	5.39
3s56	9.62	8.63
5i9x	7.52	7.78
3e6v	6.83	6.43
6ey7	4.30	3.97
4w4y	6.46	6.19
6fba	4.70	4.70
5q0p	7.41	7.33
6cvf	6.35	5.69
5xfj	8.22	8.24
4qsx	1.74	2.24
5lvr	3.60	3.60
4ded	7.42	7.38
5y0x	5.11	5.39
3hmm	7.60	7.79
1b74	1.30	1.34
3mj1	7.82	7.92
4tpw	4.69	4.57
2c02	4.04	4.39
6fa5	6.75	6.59
5za2	5.77	6.23
5tol	7.48	7.47
6jz0	7.82	7.70
5j7q	4.58	4.81
5o5a	4.77	4.97
5mxf	3.59	3.62
2brg	5.21	5.36
5wf3	5.85	6.27
4amy	10.82	10.45
3mhl	7.25	7.32
3zxh	8.52	8.61
4ei4	8.74	8.59
4uiu	7.90	7.79
3dnt	4.74	4.56
4o55	5.30	6.61
2viz	6.22	6.73
5alu	7.66	7.26
3oqf	7.04	6.89
1bm7	7.52	7.31
6dvm	8.52	8.59
3sb0	5.26	5.61
4ijq	7.52	7.36
4a4f	2.88	3.16
3oy1	7.80	7.25
5jcj	4.42	4.40
3pd8	6.46	6.11
5kks	8.70	8.18
1ung	6.80	6.73
4hxl	5.66	5.66
2cex	4.70	4.49
3vi5	5.68	5.88
4r92	7.41	7.35
4di2	8.26	8.42
5nxw	7.24	7.00
5hzx	8.55	8.35
4ie5	4.82	4.60
4q7v	3.59	3.72
