PDB	Labels	Predictions
4fud	6.35	5.39
4fue	7.23	8.36
4fu7	6.20	6.79
4fu8	5.23	5.08
4fu9	6.20	7.81
4fub	6.21	7.15
4fuc	7.40	7.67
4fsm	7.62	7.02
4fsw	4.76	6.94
4ft5	7.56	9.74
4fsn	7.70	8.20
4fsz	6.97	6.22
4ft7	8.87	9.14
4ft0	7.11	7.86
4ft9	7.69	8.18
4fta	7.39	8.16
4ftc	7.63	9.10
4fsq	8.80	8.68
4fsr	7.94	8.60
4fst	8.28	8.18
4fw3	7.23	10.40
4fw4	8.08	10.30
4fw5	7.48	8.48
4fw6	7.70	8.18
4fw7	7.13	8.15
4fux	6.00	7.86
4fuy	6.09	9.70
4fv0	5.59	8.35
4fv1	7.08	10.51
4fv2	7.68	10.33
4fv3	7.74	8.12
4ev4	7.40	7.56
4fv5	7.70	8.51
4fv7	7.57	8.45
4fv8	7.82	8.52
4fv9	6.72	8.17
4fx3	8.07	6.42
4ek4	4.48	5.66
4ek5	6.09	6.98
4fkg	4.67	6.82
4fki	4.23	7.11
4ek6	6.04	6.49
4fjk	6.55	6.78
4ek8	7.11	6.88
3sw4	6.02	6.39
3sw7	6.64	7.04
4fko	6.11	7.36
4fkp	6.54	5.99
4fkq	6.28	6.38
4fkr	6.64	7.92
4fks	6.28	6.81
4fkt	5.97	6.17
4fku	7.01	6.42
4fkv	6.60	7.04
4fkw	7.33	7.83
