PDB	Labels	Predictions
1bcu	3.28	6.31
1bzc	4.92	7.07
1c5z	4.01	3.81
1e66	9.89	6.44
1eby	9.70	8.90
1g2k	7.96	6.82
1gpk	5.37	7.04
1gpn	6.48	5.93
1h22	9.10	7.90
1h23	8.35	7.74
1k1i	6.58	6.18
1lpg	7.09	8.07
1mq6	11.15	9.29
1nc1	6.12	6.32
1nc3	5.00	8.99
1nvq	8.25	8.14
1o0h	5.92	4.88
1o3f	7.96	5.94
1o5b	5.77	7.34
1owh	7.40	6.49
1oyt	7.24	6.96
1p1n	6.80	5.40
1p1q	4.89	3.99
1ps3	2.28	2.73
1pxn	7.15	6.41
1qf1	7.32	6.94
1qkt	9.04	9.04
1r5y	6.46	5.71
1s38	5.15	5.76
1sqa	9.21	7.79
1syi	5.44	5.85
1u1b	7.80	3.49
1uto	2.27	2.45
1vso	4.72	7.18
1w4o	5.22	5.10
1y6r	10.11	6.19
1yc1	6.17	7.17
1z6e	9.72	9.29
1z95	7.12	8.67
1z9g	5.64	4.44
2al5	8.40	6.69
2br1	5.14	7.88
2brb	4.86	6.21
2cbv	5.48	3.18
2cet	8.02	8.18
2fvd	8.52	6.74
2fxs	6.06	6.02
2hb1	3.80	4.71
2iwx	6.68	7.19
2j78	6.42	4.36
2j7h	7.19	5.03
2p15	10.30	9.67
2p4y	9.00	8.00
2pog	9.54	9.67
2qbp	8.40	6.17
2qbq	7.44	5.39
2qbr	6.33	6.00
2qe4	7.96	6.97
2qnq	6.11	6.68
2r9w	5.10	5.66
2v00	3.66	3.23
2v7a	8.30	8.54
2vkm	8.74	7.88
2vvn	7.30	7.72
2vw5	8.52	7.00
2w4x	4.85	5.96
2w66	4.05	5.65
2wbg	4.45	6.51
2wca	5.60	7.99
2weg	6.50	6.40
2wer	7.05	4.60
2wn9	8.52	6.21
2wnc	6.32	6.92
2wtv	8.74	8.48
2wvt	6.12	7.07
2x00	11.33	8.89
2xb8	7.59	6.15
2xbv	8.43	9.06
2xdl	3.10	4.26
2xii	7.20	8.44
2xj7	6.66	6.14
2xnb	6.83	8.32
2xys	7.42	7.22
2y5h	5.79	8.17
2yfe	6.63	5.66
2yge	5.06	5.48
