PDB	Labels	Predictions
1gm8	4.80	4.11
1gpk	5.37	6.54
1hnn	6.24	4.94
1hp0	6.70	3.71
1hq2	6.77	4.40
1hvy	6.17	5.19
1hwi	7.55	5.52
1hww	7.70	3.19
1ia1	7.47	4.20
1j3j	8.01	3.88
1jd0	8.24	5.65
1jje	8.43	3.25
1ke5	6.25	5.02
1kzk	10.40	6.59
1l2s	4.59	2.79
1l7f	9.10	5.48
1lpz	7.60	7.01
1lrh	6.82	3.65
1m2z	7.22	6.53
1mmv	7.24	2.85
1n1m	5.70	4.62
1n2v	4.08	2.97
1n46	10.52	7.67
1nav	7.60	5.56
1of1	4.82	3.67
1of6	6.05	4.20
1opk	9.82	6.72
1oq5	7.68	6.89
1owe	6.20	5.24
1oyt	7.24	3.62
1p2y	5.00	3.43
1p62	4.66	4.41
1pmn	8.15	7.25
1q1g	8.57	5.61
1q41	7.66	6.35
1q4g	6.89	3.53
1r1h	8.92	6.64
1r55	6.80	4.87
1r58	6.96	5.98
1r9o	5.02	4.52
1s19	9.51	5.92
1s3v	7.42	6.02
1sg0	7.47	3.28
1sj0	9.10	6.67
1sq5	4.39	3.23
1sqn	9.40	6.91
1t40	7.96	5.65
1t46	6.38	5.73
1t9b	6.90	5.51
1tow	6.24	4.28
1tt1	7.19	5.47
1u1c	5.37	3.52
1uml	7.52	5.80
1unl	6.70	6.11
1uou	7.70	4.28
1v0p	6.89	5.49
1v48	8.16	6.40
1v4s	6.44	5.67
1vcj	4.59	2.69
1w1p	2.30	2.51
1w2g	4.57	2.95
1xm6	6.38	3.68
1xoq	9.17	6.97
1xoz	8.92	6.49
1y6b	7.42	6.65
1ygc	9.46	6.80
1yqy	7.62	3.63
1ywr	7.49	5.57
1z95	7.12	6.95
2bm2	7.82	5.86
2br1	5.14	6.02
2bsm	5.82	6.87
