PDB	Labels	Predictions
2are	3.28	2.84
2oag	8.47	6.94
2jbj	9.70	7.14
2pwd	4.40	3.22
2pwg	4.82	3.31
2oym	5.00	3.89
2hzy	7.39	3.12
2ihj	4.59	3.80
2ojg	5.64	5.89
2hzl	6.57	2.44
2ovv	7.92	5.97
2nta	4.80	5.06
2qu6	8.52	6.86
2pog	9.54	6.59
2o4j	10.10	7.13
3b92	8.00	5.34
2p98	6.19	4.85
2z4b	9.36	7.65
2jj3	9.55	7.25
2h15	5.67	6.53
2pov	7.12	5.97
2pow	7.20	6.28
2nmx	5.57	5.47
1vso	4.72	6.23
2p95	9.37	7.18
2p16	10.10	6.77
2flr	6.10	6.45
2pgz	5.74	5.50
2bys	9.52	5.90
2gkl	5.35	3.07
2nsl	4.68	4.10
2nsj	4.79	4.10
2c92	5.68	5.23
2c94	6.82	5.33
2nnq	8.70	6.53
2psv	7.24	6.81
2cem	7.92	8.16
2cen	8.30	8.24
2q54	9.01	7.35
2b3f	6.03	3.60
2bbf	5.10	4.74
2e2r	8.26	6.35
2gz2	5.22	4.08
2hr6	4.92	3.41
2idz	9.40	3.09
2ihk	4.16	3.80
2jff	3.62	2.31
2oiq	4.94	3.64
2otz	3.63	3.53
2ou0	3.23	3.36
2pjo	0.05	2.26
2pzv	3.87	2.73
2q88	5.80	2.60
2q89	6.30	3.36
2qeh	8.62	3.42
2qvu	6.44	3.16
2r3d	-0.15	2.36
2r5p	8.48	7.98
2rde	7.01	6.17
2v8q	4.61	3.31
3b50	7.55	5.17
3bgq	7.96	7.09
3bgz	6.26	3.87
2v8y	5.71	5.15
2jgb	5.61	5.11
1gja	5.42	4.72
1swk	12.00	8.63
1toi	4.05	2.85
1iup	2.54	2.51
1tog	3.22	2.85
1uto	2.27	2.20
1ukb	3.19	2.25
2cjp	3.10	3.20
1vot	6.60	6.54
2fx6	3.70	2.23
2c1q	13.00	7.58
2e2p	4.74	3.79
2epn	7.22	6.26
2i2c	4.70	5.50
2j4k	4.85	3.32
2jdu	6.72	2.83
2jdy	4.37	2.62
2jke	4.23	3.11
2p3t	11.30	7.62
2p4y	9.00	6.41
2p7g	6.53	6.35
2pqc	5.74	5.34
2q6m	6.29	6.07
2q8z	5.68	4.70
2qbq	7.44	5.19
2qbr	6.33	4.79
2qdt	5.19	3.82
2qhy	7.48	6.46
2qhz	7.28	6.87
2qi1	7.30	5.92
2qi3	10.20	8.12
2qi4	10.44	8.02
2qi5	10.85	6.78
2qi6	10.57	7.48
2qmg	9.15	6.70
2qnq	6.11	5.28
2qrl	4.00	2.94
2qry	8.64	4.49
2r6w	9.36	5.87
2r75	6.15	5.61
2reg	5.57	3.79
2rkd	2.72	2.45
2uwl	8.40	6.60
2uwp	6.81	7.01
2uy4	4.68	5.35
2v2c	3.41	2.26
2v77	5.06	3.88
2v7t	7.48	3.41
2v7u	5.90	3.20
2v7v	6.66	3.17
2vhw	5.09	3.17
2vkm	8.74	7.06
2vmd	3.02	2.81
2vpn	6.72	2.94
2vuk	3.82	3.71
2vw5	8.52	5.49
2w26	9.40	6.34
2zmm	7.60	5.03
2zn7	7.89	5.39
3b3c	3.98	3.79
3b7r	7.70	7.13
3bex	5.57	2.90
3bl0	6.92	6.08
3brn	8.70	3.92
3bu1	8.15	3.15
3bxe	5.48	3.38
3c2f	2.00	3.51
3c2o	3.35	2.97
3c2r	3.11	3.02
3c7i	5.64	5.99
3ccw	7.87	5.37
3ccz	7.29	6.06
3cd7	7.84	5.84
3czv	7.80	6.36
3d2r	5.48	4.26
3d51	4.15	2.62
3d83	8.36	7.15
3ddg	6.00	3.86
3dp4	7.37	3.25
3e92	8.00	6.70
3eko	6.70	3.48
3ekr	5.55	5.21
3ene	6.24	4.52
3eqr	8.70	7.03
3f8c	7.68	4.66
3fat	7.64	3.01
