PDB	Labels	Predictions
3m1k	5.39	2.63
6pgb	4.60	2.86
3rz1	8.74	6.56
6fnt	4.68	4.19
4ww8	10.17	6.57
5ap7	6.29	5.74
4alx	7.28	5.18
5tuy	6.35	5.29
4u6r	7.85	7.19
1moq	3.46	2.91
1uyg	4.27	4.10
4qyy	7.30	6.02
5alg	7.52	5.68
5k0f	6.07	4.89
4x8v	6.89	7.01
2ei6	7.39	7.05
2xkd	5.64	4.26
5j9f	7.23	6.01
6nlj	4.82	3.80
3sfh	7.05	5.47
1ett	5.89	4.06
6ugq	7.55	5.86
3hvk	8.52	6.19
2p8n	3.15	2.24
3iej	6.66	6.61
2k0g	6.97	3.68
5teh	7.55	5.66
3gt9	3.96	3.92
6knh	3.55	2.73
3hwx	7.86	6.19
4w9x	7.40	6.55
2wkt	4.31	3.45
4uv8	6.47	4.37
4d8s	6.49	5.11
4p02	6.40	4.48
3udd	7.10	6.23
5a3s	8.68	6.50
5ccl	4.77	4.96
4i7l	3.99	3.65
4ec0	6.07	5.57
6abk	1.95	2.09
6myn	7.85	6.13
6hys	5.59	3.99
1o4d	3.52	2.32
3khv	1.85	2.33
1pf8	7.51	5.44
6mjf	5.16	3.62
5y6k	6.07	3.90
5wip	4.71	3.43
6mmo	3.35	3.95
4g0z	2.21	2.44
2kaw	4.97	4.05
1ai7	4.09	2.85
6skd	5.80	5.33
4fcb	8.54	5.51
1qj1	8.05	5.00
1qhr	6.89	3.75
4u70	5.02	4.56
2p83	7.96	6.60
2p2h	7.17	5.88
4qpd	7.82	5.83
3b3x	3.60	2.82
6fs1	7.01	6.35
4hai	8.10	5.46
6gjl	3.86	2.94
6gcw	8.64	6.60
3f19	7.19	5.60
6q37	6.36	4.74
5j20	9.14	6.90
5ny1	6.44	5.83
4bhi	7.05	4.78
5swh	7.59	5.22
1xbc	7.92	5.87
4l6s	8.52	5.85
3r0y	4.84	5.43
3dkj	5.70	3.54
3s56	9.62	7.03
5i9x	7.52	6.52
3e6v	6.83	5.09
6ey7	4.30	3.18
4w4y	6.46	6.02
6fba	4.70	3.61
5q0p	7.41	5.94
6cvf	6.35	4.10
5xfj	8.22	6.26
4qsx	1.74	2.09
5lvr	3.60	2.58
4ded	7.42	5.32
5y0x	5.11	5.60
3hmm	7.60	5.86
1b74	1.30	2.08
3mj1	7.82	6.72
4tpw	4.69	3.85
2c02	4.04	3.81
6fa5	6.75	5.07
5za2	5.77	4.63
5tol	7.48	5.97
6jz0	7.82	6.63
5j7q	4.58	4.50
5o5a	4.77	4.08
5mxf	3.59	3.13
2brg	5.21	4.27
5wf3	5.85	5.51
4amy	10.82	8.43
3mhl	7.25	5.86
3zxh	8.52	6.29
4ei4	8.74	7.09
4uiu	7.90	5.64
3dnt	4.74	3.31
4o55	5.30	4.23
2viz	6.22	6.17
5alu	7.66	6.36
3oqf	7.04	5.11
1bm7	7.52	5.68
6dvm	8.52	7.05
3sb0	5.26	4.69
4ijq	7.52	5.66
4a4f	2.88	2.54
3oy1	7.80	6.89
5jcj	4.42	3.99
3pd8	6.46	5.01
5kks	8.70	6.39
1ung	6.80	5.15
4hxl	5.66	4.98
2cex	4.70	4.82
3vi5	5.68	5.98
4r92	7.41	6.24
4di2	8.26	7.34
5nxw	7.24	6.25
5hzx	8.55	6.57
4ie5	4.82	3.69
4q7v	3.59	2.78
2q6c	7.78	6.11
6bhv	5.23	4.64
2ckm	8.82	7.48
4mk0	5.20	4.60
4r5t	6.10	5.39
1y2e	6.80	5.05
6g2r	9.46	6.79
4d83	7.26	6.34
4fli	5.44	4.33
5q0u	6.76	6.18
4ona	8.15	6.26
6dgo	5.47	4.85
3iod	4.10	3.56
5eak	9.30	7.58
2yex	10.00	6.51
2i4u	11.57	8.88
6i63	7.01	6.35
2qcg	4.00	3.30
6fu5	7.50	6.10
4o3f	5.56	4.24
5khi	6.77	5.90
4iif	5.18	3.78
3kqy	4.82	3.61
4k6i	6.20	5.23
4x3u	5.09	3.61
4mma	6.04	3.25
5u69	6.22	4.68
3tzm	7.77	6.32
2cmc	5.76	4.22
2ww2	4.85	3.07
4x0f	7.00	4.38
2xru	7.51	5.93
3abu	5.62	3.63
6gnr	5.44	5.57
4n00	8.02	6.11
4cc6	6.64	5.33
3uvq	7.77	6.57
2v12	9.05	6.81
5am4	6.95	5.90
6rfi	7.43	6.43
5fck	8.22	6.22
5fut	6.45	5.57
5ywg	8.34	6.25
3f3u	4.74	3.32
4bb4	6.72	4.99
2fwy	6.70	5.04
3ipb	6.70	6.12
6fe0	6.48	5.29
5kh3	4.22	3.22
1w1d	6.52	4.70
3n0n	7.30	6.50
1j37	8.96	4.28
5tq4	8.38	5.57
4tmr	7.22	5.26
1bl7	7.72	5.33
3d4q	10.52	7.60
4cix	4.47	3.87
4xx4	7.36	5.89
5aqt	3.51	3.33
5fqv	6.21	5.81
1v2l	4.29	3.47
2oz6	5.26	3.60
4hyh	9.00	7.01
1ca8	9.49	6.40
6m8a	5.26	4.06
5sym	6.55	5.37
2w7x	7.62	6.11
5t19	4.49	3.69
5buj	8.30	6.70
1w1y	2.62	2.54
6n0j	5.37	4.92
4cwf	4.49	3.49
4nh8	8.52	5.89
5n53	2.55	2.34
5q0q	6.11	5.42
1aw1	1.05	1.89
2wi6	6.64	5.67
4e3d	2.30	2.67
4eqc	8.10	6.25
6gcr	8.33	6.16
2x2l	5.28	4.65
3c4h	5.70	4.06
5du6	5.02	4.20
4pid	4.62	3.90
2ou7	3.81	3.70
4djq	10.32	8.95
3ljg	7.73	6.08
6iez	6.52	4.36
2w97	0.96	2.06
5toz	9.46	7.17
3f8w	4.08	2.92
5l8c	7.00	5.30
4qyg	8.39	6.38
2wuf	4.29	2.64
2f81	10.52	7.22
2xyd	6.82	6.47
5yfs	4.86	3.98
5tkd	8.15	7.10
2zm3	6.21	5.08
5tob	8.82	6.74
4l0s	6.84	5.62
3vbq	9.33	7.70
4euv	6.30	4.40
3lbj	4.96	4.02
4i6f	8.30	6.06
4mwc	5.87	5.75
4a4l	7.82	6.68
3e6k	5.15	5.09
2g9q	6.40	4.13
5ct1	1.52	2.19
3mrv	3.74	3.68
4nah	6.31	5.04
5kls	6.71	5.09
4bt3	3.12	2.67
1o46	8.00	5.32
4dbn	8.15	6.84
4k7o	4.30	3.09
5khx	7.85	6.37
4wp7	6.10	5.13
6gjw	4.96	4.34
5dx4	6.86	4.60
4mp2	5.45	4.73
4yih	4.66	3.26
3f36	2.89	2.09
5ei8	8.10	6.39
6nzh	8.80	7.81
3btc	5.75	4.88
5qas	3.72	2.57
5sz9	4.42	4.84
3omm	7.43	5.84
3eax	4.92	3.97
2fr3	8.70	6.12
4py2	6.57	6.04
3sk2	3.61	2.93
6udt	10.00	7.65
5hk2	8.59	6.52
5uqx	6.21	4.47
2qch	3.60	3.39
3dcv	8.52	5.95
3py0	6.89	5.44
4l7d	6.12	5.79
4w9e	5.15	3.63
2y2k	5.16	3.81
6aa4	6.33	5.37
6eq8	8.00	4.87
2ie4	10.00	7.46
1y2f	4.92	4.59
3ehx	7.60	5.76
4lkt	5.90	5.17
2j87	4.85	3.81
5dh4	7.24	5.88
6hqy	6.44	4.99
2ybt	4.70	4.15
4g3e	8.38	7.04
1uu8	5.05	4.45
4bcb	8.52	7.60
6d1m	8.20	6.39
1v2q	4.13	3.73
6hcu	7.82	6.34
5sz4	9.70	5.90
4db7	6.56	4.98
3bl1	5.60	5.30
4nb6	7.22	5.69
3fxw	5.96	4.80
4hwo	8.54	5.88
3zmh	5.28	4.43
5uzj	6.78	5.97
2xfj	7.89	6.96
5jal	2.47	2.42
5moo	1.31	2.12
3q77	8.22	7.27
4nue	6.82	4.68
2wzs	3.85	2.73
5dri	7.70	4.78
5tys	10.72	8.46
1zky	6.25	5.02
5zdg	5.42	4.72
6ela	7.59	5.80
3el1	9.64	7.85
6hkn	7.29	5.94
6ovz	3.85	2.70
2os9	2.24	2.27
5vfn	3.52	2.97
2pe0	7.10	5.09
4na7	9.70	7.63
2i4p	5.70	4.51
3k5f	5.43	4.58
3g2l	3.87	4.10
5he3	6.55	6.12
