PDB	Labels	Predictions
1gm8	4.80	4.02
1gpk	5.37	6.94
1hnn	6.24	7.17
1hp0	6.70	2.63
1hq2	6.77	4.54
1hvy	6.17	6.94
1hwi	7.55	8.03
1hww	7.70	5.03
1ia1	7.47	5.10
1j3j	8.01	4.12
1jd0	8.24	6.72
1jje	8.43	4.99
1ke5	6.25	6.61
1kzk	10.40	9.74
1l2s	4.59	3.47
1l7f	9.10	6.55
1lpz	7.60	8.90
1lrh	6.82	3.40
1m2z	7.22	7.87
1mmv	7.24	5.35
1n1m	5.70	4.97
1n2v	4.08	6.17
1n46	10.52	9.62
1nav	7.60	5.67
1of1	4.82	4.17
1of6	6.05	3.76
1opk	9.82	6.95
1oq5	7.68	8.62
1owe	6.20	6.04
1oyt	7.24	4.84
1p2y	5.00	4.58
1p62	4.66	5.55
1pmn	8.15	8.68
1q1g	8.57	5.53
1q41	7.66	7.74
1q4g	6.89	5.48
1r1h	8.92	6.35
1r55	6.80	6.67
1r58	6.96	6.90
1r9o	5.02	5.36
1s19	9.51	7.14
1s3v	7.42	7.72
1sg0	7.47	4.50
1sj0	9.10	7.71
1sq5	4.39	3.95
1sqn	9.40	8.62
1t40	7.96	5.72
1t46	6.38	7.07
1t9b	6.90	6.92
1tow	6.24	5.23
1tt1	7.19	7.19
1u1c	5.37	5.46
1uml	7.52	7.66
1unl	6.70	6.76
1uou	7.70	4.75
1v0p	6.89	6.75
1v48	8.16	7.01
1v4s	6.44	6.71
1vcj	4.59	6.09
1w1p	2.30	2.06
1w2g	4.57	3.22
1xm6	6.38	6.45
1xoq	9.17	8.45
1xoz	8.92	7.47
1y6b	7.42	9.12
1ygc	9.46	6.71
1yqy	7.62	6.20
1ywr	7.49	7.74
1z95	7.12	8.47
2bm2	7.82	7.25
2br1	5.14	5.74
2bsm	5.82	7.12
