PDB	Labels	Predictions
1bcu	3.28	3.78
1bzc	4.92	7.88
1c5z	4.01	4.02
1e66	9.89	8.65
1eby	9.70	8.91
1g2k	7.96	9.17
1gpk	5.37	8.45
1gpn	6.48	7.10
1h22	9.10	7.13
1h23	8.35	7.13
1k1i	6.58	7.54
1lpg	7.09	8.17
1mq6	11.15	9.07
1nc1	6.12	6.69
1nc3	5.00	7.69
1nvq	8.25	7.93
1o0h	5.92	4.51
1o3f	7.96	6.55
1o5b	5.77	7.15
1owh	7.40	6.22
1oyt	7.24	7.13
1p1n	6.80	6.23
1p1q	4.89	6.56
1ps3	2.28	4.46
1pxn	7.15	6.91
1qf1	7.32	6.94
1qkt	9.04	9.11
1r5y	6.46	4.25
1s38	5.15	4.23
1sqa	9.21	7.67
1syi	5.44	5.80
1u1b	7.80	5.53
1uto	2.27	2.57
1vso	4.72	7.63
1w4o	5.22	4.56
1y6r	10.11	8.94
1yc1	6.17	6.70
1z6e	9.72	8.10
1z95	7.12	8.21
1z9g	5.64	5.80
2al5	8.40	6.88
2br1	5.14	6.55
2brb	4.86	6.45
2cbv	5.48	4.47
2cet	8.02	6.56
2fvd	8.52	7.50
2fxs	6.06	6.48
2hb1	3.80	5.34
2iwx	6.68	7.26
2j78	6.42	5.15
2j7h	7.19	6.85
2p15	10.30	9.98
2p4y	9.00	7.79
2pog	9.54	8.34
2qbp	8.40	6.88
2qbq	7.44	6.42
2qbr	6.33	6.61
2qe4	7.96	7.29
2qnq	6.11	6.87
2r9w	5.10	5.54
2v00	3.66	4.03
2v7a	8.30	7.48
2vkm	8.74	8.63
2vvn	7.30	7.21
2vw5	8.52	7.01
2w4x	4.85	5.20
2w66	4.05	5.33
2wbg	4.45	5.86
2wca	5.60	7.62
2weg	6.50	6.85
2wer	7.05	4.62
2wn9	8.52	6.60
2wnc	6.32	7.26
2wtv	8.74	8.32
2wvt	6.12	6.23
2x00	11.33	9.20
2xb8	7.59	6.98
2xbv	8.43	8.40
2xdl	3.10	4.04
2xii	7.20	5.91
2xj7	6.66	4.36
2xnb	6.83	7.47
2xys	7.42	7.42
2y5h	5.79	7.25
2yfe	6.63	6.95
2yge	5.06	5.36
2yki	9.46	7.89
2ymd	3.16	6.50
2zb1	6.32	7.12
2zcq	8.82	7.23
2zcr	6.87	8.61
2zda	8.40	7.20
2zy1	7.40	7.52
3acw	4.76	6.71
3ag9	8.05	7.11
3ao4	2.07	4.60
3arp	7.15	5.02
3arq	6.40	6.57
3aru	3.22	5.01
3arv	5.64	5.59
3ary	6.00	5.66
3b1m	8.48	6.99
3b27	5.16	5.85
3b5r	8.77	8.37
3b65	9.27	7.95
3b68	8.40	7.55
3bgz	6.26	5.99
3coy	6.02	4.81
3coz	5.57	4.44
3d4z	4.89	5.86
3d6q	3.76	3.83
3dd0	9.00	8.36
3dx1	3.58	4.03
3dx2	6.82	5.12
3dxg	2.40	3.90
3e5a	8.23	7.07
3e92	8.00	7.82
3e93	8.85	7.83
3ebp	5.91	6.67
3ehy	5.85	8.29
3ejr	8.57	8.33
3f3c	6.02	2.72
3fcq	2.77	3.59
3fur	8.00	7.42
3fv1	9.30	10.57
3fv2	8.11	8.31
3g0w	9.52	8.39
3g2n	4.09	5.13
3g2z	2.36	3.03
3g31	2.89	2.54
3gbb	6.90	4.84
3gc5	7.26	6.46
3ge7	8.70	6.74
3gr2	2.52	3.10
3gv9	2.12	3.15
3gy4	5.10	2.70
3ivg	4.30	5.51
3jvr	5.72	6.00
3jvs	6.54	8.06
3jya	6.89	6.98
3k5v	6.30	7.25
3kgp	2.57	3.00
3kr8	8.10	7.53
3kwa	4.08	3.76
3l7b	2.40	4.67
3lka	2.82	8.09
3mss	4.66	6.49
3myg	10.70	8.64
3n76	6.85	5.64
3n7a	3.70	3.85
3n86	5.64	5.43
3nq9	4.03	5.24
3nw9	9.00	7.62
3nx7	8.10	8.34
3o9i	11.82	12.24
3oe4	7.47	7.25
3oe5	6.88	6.81
3ozs	5.33	6.78
3ozt	4.13	6.01
3p5o	7.26	6.75
3prs	7.82	8.35
3pww	7.32	6.67
3pxf	4.43	4.75
3pyy	6.86	8.02
3qgy	7.80	7.10
3qqs	5.82	5.55
3r88	4.82	5.18
3rlr	7.52	7.54
3rr4	4.55	6.94
3rsx	4.41	4.65
3ryj	7.80	7.95
3syr	5.10	5.11
3tsk	7.17	8.64
3twp	3.92	4.45
3u5j	5.61	6.20
3u8k	8.66	5.89
3u8n	10.17	6.28
3u9q	4.38	5.11
3udh	2.85	4.07
3ueu	5.24	5.56
3uev	5.89	5.56
3uew	6.31	5.56
3uex	6.92	5.56
3ui7	9.00	6.61
3uo4	6.52	6.46
3up2	7.40	7.17
3utu	10.92	9.20
3uuo	7.96	8.49
3wtj	6.53	7.62
3wz8	5.82	5.95
3zdg	7.10	6.60
3zso	5.12	4.53
3zsx	3.28	3.86
3zt2	2.84	2.68
4abg	3.57	3.62
4agn	3.97	6.08
4agp	4.69	6.61
4agq	5.01	6.44
4bkt	3.62	4.23
4cig	3.67	6.29
4ciw	4.82	4.85
4cr9	4.10	5.72
4cra	7.22	7.92
4crc	8.72	7.96
4ddh	3.30	3.02
4ddk	2.29	3.01
4de1	5.96	6.23
4de2	4.12	5.71
4de3	5.52	4.61
4djv	6.72	6.88
4dld	5.82	6.01
4dli	5.62	7.82
4e5w	7.66	10.61
4e6q	8.36	7.14
4ea2	6.44	6.50
4eky	3.52	5.20
4eor	6.30	6.47
4f09	6.70	6.22
4f9w	6.94	6.82
4gfm	7.22	6.52
4gid	10.77	8.63
4gkm	5.17	5.63
4gr0	9.55	9.34
4hge	7.92	6.63
4ivb	8.72	9.60
4ivc	10.00	9.96
4ivd	9.52	9.83
4j21	7.41	6.70
4j28	5.70	6.24
4j3l	7.80	7.14
4jfs	5.27	6.29
4jia	9.22	7.17
4jsz	2.30	6.21
4jxs	4.74	4.95
4k18	8.96	9.22
4k77	6.63	7.43
4kz6	3.10	3.94
4kzq	6.10	6.61
4kzu	6.50	6.70
4llx	2.89	3.87
4lzs	4.80	4.92
4m0y	6.46	7.19
4m0z	5.19	6.99
4mgd	4.69	6.62
4mme	6.50	6.14
4ogj	6.79	7.79
4owm	2.96	5.24
4pcs	7.85	5.49
4qac	9.40	7.06
4qd6	8.64	8.53
4rfm	10.05	9.59
4tmn	10.17	6.69
4twp	10.00	8.33
4ty7	9.52	8.65
4u4s	2.92	6.24
4w9c	4.65	5.25
4wiv	6.26	6.72
4x6p	8.30	9.12
5a7b	3.57	6.43
5aba	2.98	6.30
5dwr	11.22	10.16
5tmn	8.04	5.35
