PDB	Labels	Predictions
4fud	6.35	4.58
4fue	7.23	7.77
4fu7	6.20	5.97
4fu8	5.23	4.94
4fu9	6.20	6.31
4fub	6.21	6.54
4fuc	7.40	6.22
4fsm	7.62	7.37
4fsw	4.76	4.97
4ft5	7.56	8.01
4fsn	7.70	7.85
4fsz	6.97	6.63
4ft7	8.87	7.95
4ft0	7.11	7.44
4ft9	7.69	7.22
4fta	7.39	7.58
4ftc	7.63	7.48
4fsq	8.80	7.22
4fsr	7.94	8.76
4fst	8.28	7.76
4fw3	7.23	10.22
4fw4	8.08	10.35
4fw5	7.48	8.37
4fw6	7.70	8.34
4fw7	7.13	8.30
4fux	6.00	7.70
4fuy	6.09	7.76
4fv0	5.59	7.64
4fv1	7.08	7.48
4fv2	7.68	7.40
4fv3	7.74	8.02
4ev4	7.40	8.43
4fv5	7.70	7.99
4fv7	7.57	10.17
4fv8	7.82	7.98
4fv9	6.72	9.08
4fx3	8.07	6.10
4ek4	4.48	6.46
4ek5	6.09	5.95
4fkg	4.67	5.68
4fki	4.23	7.86
4ek6	6.04	7.12
4fjk	6.55	5.85
4ek8	7.11	7.52
3sw4	6.02	6.95
3sw7	6.64	7.39
4fko	6.11	7.17
4fkp	6.54	7.44
4fkq	6.28	6.66
4fkr	6.64	8.14
4fks	6.28	7.27
4fkt	5.97	6.54
4fku	7.01	6.10
4fkv	6.60	6.89
4fkw	7.33	6.82
