PDB	Labels	Predictions
2are	3.28	3.38
2oag	8.47	9.61
2jbj	9.70	9.35
2pwd	4.40	4.69
2pwg	4.82	4.68
2oym	5.00	5.82
2hzy	7.39	5.69
2ihj	4.59	6.54
2ojg	5.64	6.32
2hzl	6.57	4.61
2ovv	7.92	8.36
2nta	4.80	6.91
2qu6	8.52	9.25
2pog	9.54	7.78
2o4j	10.10	9.81
3b92	8.00	7.94
2p98	6.19	6.22
2z4b	9.36	10.37
2jj3	9.55	8.92
2h15	5.67	7.66
2pov	7.12	6.96
2pow	7.20	6.90
2nmx	5.57	6.76
1vso	4.72	7.78
2p95	9.37	8.28
2p16	10.10	8.95
2flr	6.10	6.66
2pgz	5.74	7.09
2bys	9.52	7.73
2gkl	5.35	3.65
2nsl	4.68	3.48
2nsj	4.79	3.48
2c92	5.68	6.91
2c94	6.82	8.79
2nnq	8.70	7.48
2psv	7.24	8.21
2cem	7.92	9.77
2cen	8.30	10.03
2q54	9.01	10.06
2b3f	6.03	5.32
2bbf	5.10	5.60
2e2r	8.26	6.55
2gz2	5.22	4.89
2hr6	4.92	4.65
2idz	9.40	4.38
2ihk	4.16	6.54
2jff	3.62	3.78
2oiq	4.94	6.52
2otz	3.63	3.77
2ou0	3.23	3.59
2pjo	0.05	1.33
2pzv	3.87	2.61
2q88	5.80	3.02
2q89	6.30	3.38
2qeh	8.62	4.65
2qvu	6.44	5.38
2r3d	-0.15	1.57
2r5p	8.48	9.64
2rde	7.01	7.70
2v8q	4.61	4.61
3b50	7.55	6.97
3bgq	7.96	7.31
3bgz	6.26	6.40
2v8y	5.71	6.34
2jgb	5.61	5.66
1gja	5.42	5.37
1swk	12.00	11.13
1toi	4.05	4.51
1iup	2.54	2.46
1tog	3.22	4.51
1uto	2.27	2.25
1ukb	3.19	2.68
2cjp	3.10	4.73
1vot	6.60	8.12
2fx6	3.70	3.35
2c1q	13.00	9.87
2e2p	4.74	4.20
2epn	7.22	7.35
2i2c	4.70	6.79
2j4k	4.85	3.92
2jdu	6.72	4.62
2jdy	4.37	4.18
2jke	4.23	4.12
2p3t	11.30	9.04
2p4y	9.00	8.66
2p7g	6.53	6.55
2pqc	5.74	6.58
2q6m	6.29	7.34
2q8z	5.68	6.30
2qbq	7.44	7.29
2qbr	6.33	6.04
2qdt	5.19	5.14
2qhy	7.48	8.85
2qhz	7.28	8.49
2qi1	7.30	8.60
2qi3	10.20	10.22
2qi4	10.44	10.37
2qi5	10.85	9.72
2qi6	10.57	10.09
2qmg	9.15	9.26
2qnq	6.11	6.84
2qrl	4.00	5.25
2qry	8.64	4.57
2r6w	9.36	9.03
2r75	6.15	5.39
2reg	5.57	4.73
2rkd	2.72	3.69
2uwl	8.40	8.12
2uwp	6.81	8.16
2uy4	4.68	6.75
2v2c	3.41	3.45
2v77	5.06	6.24
2v7t	7.48	5.04
2v7u	5.90	4.98
2v7v	6.66	3.77
2vhw	5.09	4.80
2vkm	8.74	8.39
2vmd	3.02	2.75
2vpn	6.72	5.22
2vuk	3.82	4.18
2vw5	8.52	6.48
2w26	9.40	8.74
2zmm	7.60	4.99
2zn7	7.89	6.99
3b3c	3.98	5.74
3b7r	7.70	7.09
3bex	5.57	2.89
3bl0	6.92	8.16
3brn	8.70	4.32
3bu1	8.15	2.73
3bxe	5.48	4.95
3c2f	2.00	4.54
3c2o	3.35	2.95
3c2r	3.11	3.60
3c7i	5.64	7.06
3ccw	7.87	8.87
3ccz	7.29	9.02
3cd7	7.84	8.47
3czv	7.80	8.44
3d2r	5.48	5.78
3d51	4.15	3.62
3d83	8.36	9.40
3ddg	6.00	6.71
3dp4	7.37	5.38
3e92	8.00	8.60
3eko	6.70	4.64
3ekr	5.55	7.37
3ene	6.24	7.15
3eqr	8.70	9.84
3f8c	7.68	6.38
3fat	7.64	6.21
