PDB	Labels	Predictions
3m1k	5.39	3.87
6pgb	4.60	5.09
3rz1	8.74	8.61
6fnt	4.68	4.63
4ww8	10.17	8.95
5ap7	6.29	7.89
4alx	7.28	7.11
5tuy	6.35	6.85
4u6r	7.85	8.58
1moq	3.46	3.77
1uyg	4.27	4.87
4qyy	7.30	7.10
5alg	7.52	7.95
5k0f	6.07	6.67
4x8v	6.89	7.88
2ei6	7.39	8.12
2xkd	5.64	6.17
5j9f	7.23	7.18
6nlj	4.82	5.12
3sfh	7.05	6.90
1ett	5.89	5.68
6ugq	7.55	7.10
3hvk	8.52	7.28
2p8n	3.15	2.46
3iej	6.66	7.56
2k0g	6.97	5.17
5teh	7.55	7.64
3gt9	3.96	6.19
6knh	3.55	3.29
3hwx	7.86	7.80
4w9x	7.40	7.68
2wkt	4.31	4.86
4uv8	6.47	4.95
4d8s	6.49	7.20
4p02	6.40	6.75
3udd	7.10	7.10
5a3s	8.68	8.59
5ccl	4.77	5.66
4i7l	3.99	3.95
4ec0	6.07	6.54
6abk	1.95	1.95
6myn	7.85	8.22
6hys	5.59	5.62
1o4d	3.52	3.29
3khv	1.85	2.10
1pf8	7.51	7.07
6mjf	5.16	4.44
5y6k	6.07	5.86
5wip	4.71	4.85
6mmo	3.35	4.59
4g0z	2.21	3.07
2kaw	4.97	5.17
1ai7	4.09	4.03
6skd	5.80	6.51
4fcb	8.54	8.07
1qj1	8.05	6.51
1qhr	6.89	6.23
4u70	5.02	6.36
2p83	7.96	8.66
2p2h	7.17	8.20
4qpd	7.82	7.47
3b3x	3.60	3.57
6fs1	7.01	7.15
4hai	8.10	7.80
6gjl	3.86	3.61
6gcw	8.64	9.03
3f19	7.19	6.22
6q37	6.36	6.91
5j20	9.14	8.35
5ny1	6.44	7.97
4bhi	7.05	5.57
5swh	7.59	7.33
1xbc	7.92	8.19
4l6s	8.52	8.03
3r0y	4.84	5.94
3dkj	5.70	6.03
3s56	9.62	8.39
5i9x	7.52	8.44
3e6v	6.83	6.94
6ey7	4.30	4.50
4w4y	6.46	6.71
6fba	4.70	4.84
5q0p	7.41	7.54
6cvf	6.35	4.81
5xfj	8.22	8.35
4qsx	1.74	2.06
5lvr	3.60	4.05
4ded	7.42	7.78
5y0x	5.11	6.89
3hmm	7.60	6.99
1b74	1.30	2.01
3mj1	7.82	7.64
4tpw	4.69	5.96
2c02	4.04	4.47
6fa5	6.75	6.90
5za2	5.77	6.79
5tol	7.48	7.51
6jz0	7.82	7.71
5j7q	4.58	5.11
5o5a	4.77	5.13
5mxf	3.59	3.92
2brg	5.21	5.24
5wf3	5.85	6.88
4amy	10.82	10.11
3mhl	7.25	7.68
3zxh	8.52	8.11
4ei4	8.74	9.17
4uiu	7.90	7.60
3dnt	4.74	5.55
4o55	5.30	7.72
2viz	6.22	8.12
5alu	7.66	8.70
3oqf	7.04	7.08
1bm7	7.52	6.77
6dvm	8.52	8.67
3sb0	5.26	6.02
4ijq	7.52	8.25
4a4f	2.88	3.47
3oy1	7.80	8.91
5jcj	4.42	5.06
3pd8	6.46	6.05
5kks	8.70	8.34
1ung	6.80	7.05
4hxl	5.66	6.59
2cex	4.70	7.07
3vi5	5.68	6.90
4r92	7.41	7.80
4di2	8.26	9.13
5nxw	7.24	7.68
5hzx	8.55	8.04
4ie5	4.82	4.91
4q7v	3.59	3.92
2q6c	7.78	8.61
6bhv	5.23	7.11
2ckm	8.82	8.99
4mk0	5.20	6.83
4r5t	6.10	6.68
1y2e	6.80	5.82
6g2r	9.46	9.13
4d83	7.26	8.47
4fli	5.44	6.23
5q0u	6.76	7.48
4ona	8.15	8.79
6dgo	5.47	6.51
3iod	4.10	3.86
5eak	9.30	8.95
2yex	10.00	8.29
2i4u	11.57	11.03
6i63	7.01	6.55
2qcg	4.00	4.86
6fu5	7.50	7.96
4o3f	5.56	5.84
5khi	6.77	6.90
4iif	5.18	5.61
3kqy	4.82	5.06
4k6i	6.20	6.60
4x3u	5.09	4.94
4mma	6.04	5.23
5u69	6.22	5.78
3tzm	7.77	8.95
2cmc	5.76	6.86
2ww2	4.85	4.88
4x0f	7.00	7.29
2xru	7.51	8.58
3abu	5.62	5.61
6gnr	5.44	6.58
4n00	8.02	8.06
4cc6	6.64	6.77
3uvq	7.77	8.61
2v12	9.05	8.35
5am4	6.95	7.93
6rfi	7.43	7.13
5fck	8.22	8.52
5fut	6.45	6.70
5ywg	8.34	8.17
3f3u	4.74	5.90
4bb4	6.72	6.21
2fwy	6.70	7.27
3ipb	6.70	7.94
6fe0	6.48	6.86
5kh3	4.22	4.41
1w1d	6.52	6.01
3n0n	7.30	7.58
1j37	8.96	5.99
5tq4	8.38	8.31
4tmr	7.22	7.10
1bl7	7.72	7.67
3d4q	10.52	8.75
4cix	4.47	4.91
4xx4	7.36	7.81
5aqt	3.51	3.86
5fqv	6.21	7.30
1v2l	4.29	4.20
2oz6	5.26	5.06
4hyh	9.00	8.99
1ca8	9.49	8.56
6m8a	5.26	5.94
5sym	6.55	6.42
2w7x	7.62	8.24
5t19	4.49	5.32
5buj	8.30	7.75
1w1y	2.62	2.81
6n0j	5.37	6.71
4cwf	4.49	4.58
4nh8	8.52	8.11
5n53	2.55	2.91
5q0q	6.11	6.58
1aw1	1.05	2.08
2wi6	6.64	6.89
4e3d	2.30	3.23
4eqc	8.10	8.03
6gcr	8.33	8.53
2x2l	5.28	5.78
3c4h	5.70	4.33
5du6	5.02	4.63
4pid	4.62	4.93
2ou7	3.81	4.88
4djq	10.32	10.69
3ljg	7.73	7.55
6iez	6.52	7.06
2w97	0.96	2.22
5toz	9.46	8.51
3f8w	4.08	5.21
5l8c	7.00	7.77
4qyg	8.39	8.24
2wuf	4.29	3.93
2f81	10.52	9.50
2xyd	6.82	8.74
5yfs	4.86	4.87
5tkd	8.15	9.02
2zm3	6.21	6.44
5tob	8.82	8.52
4l0s	6.84	7.26
3vbq	9.33	9.23
4euv	6.30	6.29
3lbj	4.96	4.84
4i6f	8.30	7.97
4mwc	5.87	7.62
4a4l	7.82	8.45
3e6k	5.15	6.94
2g9q	6.40	4.54
5ct1	1.52	2.50
3mrv	3.74	4.66
4nah	6.31	6.17
5kls	6.71	5.73
4bt3	3.12	3.50
1o46	8.00	7.88
4dbn	8.15	8.45
4k7o	4.30	4.20
5khx	7.85	8.38
4wp7	6.10	6.31
6gjw	4.96	5.10
5dx4	6.86	6.97
4mp2	5.45	6.82
4yih	4.66	5.79
3f36	2.89	3.09
5ei8	8.10	8.27
6nzh	8.80	9.16
3btc	5.75	6.51
