PDB	Labels	Predictions
1a8i	5.52	4.66
1a99	5.70	4.76
1ax0	3.13	4.13
1b6l	8.30	8.07
1b6m	8.40	8.24
1bcj	3.70	4.86
1bky	3.84	3.52
1d4i	8.85	8.01
1d4j	8.36	8.92
1duv	11.80	5.80
1dy4	4.36	6.90
1e2k	4.94	5.95
1eby	9.70	7.96
1ebz	9.40	7.80
1ec0	8.49	8.21
1ec1	8.92	8.19
1ec2	10.00	8.01
1enu	5.08	4.09
1f74	3.05	5.58
1fcx	7.12	6.94
1g2k	7.96	7.99
1gi9	5.96	5.77
1gj8	6.96	5.69
1gjd	5.22	5.30
1gpk	5.37	6.78
1gww	4.28	5.07
1gx0	4.28	5.14
1gyy	3.64	4.20
1h22	9.10	7.26
1h23	8.35	7.24
1h46	3.57	6.73
1hnn	6.24	5.47
1iy7	6.19	5.40
1kzk	10.39	7.85
1lhw	8.16	6.44
1lrh	6.82	3.90
1nc1	6.12	6.97
1nc3	5.00	7.49
1nli	3.59	3.83
1nw5	5.21	5.88
1o5a	6.42	5.88
1o5r	8.12	7.40
1ow4	5.68	6.10
1p1n	6.80	6.10
1p1o	5.76	5.19
1ps3	2.28	4.74
1pxp	6.66	6.14
1q4w	6.46	4.63
1qkt	9.04	7.31
1qxl	7.96	7.71
1r5y	6.46	4.72
1rdi	2.06	4.09
1rdn	1.84	4.65
1s38	5.15	4.82
1s39	7.70	5.03
1s9t	6.60	5.74
1sr7	10.10	7.76
1sw1	7.30	4.79
1syh	6.41	5.51
1syi	5.48	5.44
1toj	3.39	3.61
1tok	2.47	3.71
1tr7	6.82	6.09
1tt1	7.19	7.35
1u1w	5.85	4.99
1ua4	4.22	5.06
1ui0	7.06	5.00
1utm	3.01	3.30
1uwu	5.98	4.42
1uz1	6.89	5.45
1uz4	3.40	4.64
1uzv	5.18	4.80
1v1j	4.82	5.34
1w2g	4.57	5.08
1x8d	2.21	4.79
1xge	4.68	4.92
1xl5	7.35	8.56
1xw6	5.62	4.99
1y1m	1.82	4.00
1y1z	3.08	4.30
1y20	5.32	4.35
1y93	2.10	4.72
1yc1	6.17	6.20
1ydk	5.89	5.47
1z95	7.12	8.88
2a3c	4.37	5.30
2aac	2.22	4.35
2afx	5.15	4.97
2ayr	9.29	7.94
2azr	3.64	4.47
2b07	6.43	6.08
2boh	8.52	7.75
2boj	5.77	4.59
2brb	4.86	6.90
2bvd	6.00	4.74
2byr	8.55	7.15
2cji	8.22	7.76
2dm5	2.99	5.42
2fai	6.24	7.30
2fdp	7.59	7.46
2ff1	8.21	6.65
2fpz	3.96	3.46
2fqt	6.14	5.75
2fqw	6.68	4.99
2fqx	7.15	5.30
2fqy	6.57	5.00
2fv5	10.52	7.21
2fvd	8.52	7.13
2fw6	2.92	4.22
2fxu	8.15	6.59
2h21	6.54	5.02
2h6b	5.39	4.01
2hb1	3.80	3.74
2hd6	7.80	6.47
2hdq	1.40	2.93
2hdr	1.72	2.91
2i0a	11.40	9.51
2i0d	12.10	9.59
2il2	7.10	8.18
2iwx	6.68	5.58
2j2u	7.05	8.66
2j34	7.82	7.71
2j4i	9.00	7.99
2j78	6.42	5.66
2nn1	5.82	5.88
2pou	7.42	5.90
2qrk	4.26	4.61
3cd0	7.57	7.77
3cda	7.58	7.72
4ubp	5.59	3.92
