PDB	Labels	Predictions
3sw4	6.02	5.52
3sw7	6.64	5.59
4ek4	4.48	4.83
4ek5	6.09	6.22
4ek6	6.04	5.40
4ek8	7.11	5.41
4ev4	7.40	5.99
4fjk	6.55	4.84
4fkg	4.67	5.93
4fki	4.23	6.14
4fko	6.11	5.90
4fkp	6.54	5.40
4fkq	6.28	6.05
4fkr	6.64	5.84
4fks	6.28	6.01
4fkt	5.97	5.55
4fku	7.01	4.35
4fkv	6.60	6.31
4fkw	7.33	6.21
4fsm	7.62	7.04
4fsn	7.70	7.34
4fsq	8.80	6.51
4fsr	7.94	6.90
4fst	8.28	7.33
4fsw	4.76	5.17
4fsz	6.97	5.73
4ft0	7.11	6.85
4ft5	7.56	6.77
4ft7	8.87	7.00
4ft9	7.69	6.82
4fta	7.39	6.90
4ftc	7.63	6.72
4fu7	6.20	4.82
4fu8	5.23	3.71
4fu9	6.20	6.28
4fub	6.21	5.43
4fuc	7.40	6.29
4fud	6.35	3.90
4fue	7.23	7.06
4fux	6.00	7.24
4fuy	6.09	6.87
4fv0	5.59	6.96
4fv1	7.08	7.23
4fv2	7.68	6.81
4fv3	7.74	8.75
4fv5	7.70	8.75
4fv7	7.57	7.79
4fv8	7.82	7.95
4fv9	6.72	8.01
4fw3	7.23	8.36
4fw4	8.08	7.93
4fw5	7.48	7.99
4fw6	7.70	8.57
4fw7	7.13	7.78
4fx3	8.07	6.94
