PDB	Labels	Predictions
184l	4.72	4.45
1a42	9.89	8.09
1a4g	8.40	7.64
1a4h	5.92	5.44
1a4r	6.66	6.27
1a52	9.86	8.04
1a61	8.62	7.46
1a7t	1.64	4.59
1a9u	7.32	7.22
1ad8	6.60	7.16
1add	6.74	5.83
1adl	5.36	5.75
1ado	6.00	4.61
1af2	3.10	3.91
1agw	4.70	5.55
1aht	6.21	5.18
1ai5	3.72	4.61
1ai6	3.97	4.32
1ai7	4.09	4.49
1aj6	5.92	6.34
1al7	7.80	6.68
1alw	6.52	5.15
1amn	13.82	7.71
1ao8	8.22	7.44
1aq1	8.15	6.93
1au0	7.66	8.07
1au2	7.89	8.62
1auj	8.25	6.40
1avd	15.00	9.72
1avn	3.90	4.40
1awf	6.01	6.92
1awh	6.08	6.96
1ayu	9.15	8.47
1ayv	8.00	8.50
1azm	6.10	7.62
1b0f	7.70	7.46
1b2i	5.51	3.87
1b42	4.01	3.96
1b55	7.40	7.12
1b57	8.00	6.55
1b5g	8.00	7.37
1b74	1.30	3.92
1b8y	7.85	7.35
1b9v	3.65	6.42
1bai	7.70	7.57
1bap	6.85	5.26
1bdl	5.85	7.26
1bdr	6.68	7.97
1bgo	8.46	8.30
1bil	9.30	8.41
1bim	8.92	8.22
1bio	5.54	3.53
1biw	6.98	7.50
1bkm	5.74	5.49
1bl4	8.74	6.75
1bm7	7.52	6.90
1bma	4.59	6.70
1bmn	8.44	7.16
1bmq	7.42	7.16
1bo5	3.60	3.94
1bp0	5.40	4.74
1bq3	5.40	5.86
1bqn	6.22	6.93
1bra	1.82	3.54
1bsk	4.12	7.05
1bux	4.85	4.57
1bwn	7.06	6.71
1bxo	10.00	6.92
1bzf	8.30	6.44
1c3b	7.57	6.44
1c3r	6.40	7.72
1c4y	7.92	8.61
1c5o	3.49	3.67
1c5x	6.68	4.86
1c5y	4.20	4.02
1c85	4.64	4.50
1cny	7.85	8.07
1cp6	5.00	4.58
1cqp	5.62	6.79
1cr6	8.51	6.44
1ctr	6.00	6.07
1ctt	4.52	4.29
1d09	7.57	4.99
1d3q	6.54	7.82
1d3v	6.96	5.21
1d5j	9.15	7.61
1d7i	3.60	3.78
1d7j	3.30	3.66
1db5	6.82	7.49
1det	4.30	4.82
1dg9	2.74	3.44
1dmp	9.55	7.98
1dth	8.22	7.60
1dtt	8.30	6.48
1dud	4.82	5.19
1dwc	7.41	7.38
1dwd	8.18	7.85
1dx6	6.19	6.44
1dzj	5.89	5.20
1e02	6.15	4.76
1e34	2.88	4.98
1e37	3.70	4.95
1e4h	8.41	6.94
1e72	3.22	4.70
1e8h	5.68	5.41
1eas	7.74	6.43
1eed	4.79	6.60
1ek1	7.77	6.67
1ek2	8.20	6.46
1ela	6.36	6.06
1epo	7.96	6.42
1epp	7.16	6.70
1ero	8.23	6.69
1erq	7.89	5.76
1ew8	2.26	4.25
1ew9	3.22	3.71
1exw	3.90	5.22
1f0r	7.66	7.44
1f40	6.00	5.66
1f5k	3.74	3.44
1f5l	5.28	4.12
1f92	6.19	6.84
1fao	7.37	5.63
1fax	7.39	7.28
1fbm	6.22	5.81
1fe3	7.33	6.32
1fgi	5.00	6.62
1fkf	9.40	8.13
1fkh	8.15	7.39
1fki	7.00	6.96
1fm9	9.00	6.83
1fo2	4.70	4.49
1fpy	6.00	4.80
1fq4	6.40	7.06
1fq6	7.86	7.19
1fq7	5.43	7.01
1fsy	6.82	7.12
1ftk	4.84	5.51
1fv9	5.00	3.61
1fvv	8.00	6.99
1fzq	7.62	6.25
1g05	8.51	8.04
1g27	8.15	7.18
1g2m	7.40	8.53
1g37	10.00	8.10
1g42	3.01	3.67
1g49	7.80	7.37
1g50	6.28	7.65
1g5f	2.64	3.04
1g7f	5.47	5.80
1g7g	6.60	5.02
1g85	5.48	4.94
1g9t	3.28	4.85
1gar	10.00	7.30
1gca	6.70	4.35
