PDB	Labels	Predictions
1gm8	4.80	5.98
1gpk	5.37	5.72
1hnn	6.24	5.33
1hp0	6.70	5.30
1hq2	6.77	5.00
1hvy	6.17	6.37
1hwi	7.55	7.41
1hww	7.70	5.24
1ia1	7.47	5.66
1j3j	8.01	5.72
1jd0	8.24	6.80
1jje	8.43	6.16
1ke5	6.25	6.01
1kzk	10.40	9.00
1l2s	4.59	5.65
1l7f	9.10	7.49
1lpz	7.60	8.08
1lrh	6.82	4.25
1m2z	7.22	7.79
1mmv	7.24	5.71
1n1m	5.70	5.84
1n2v	4.08	4.49
1n46	10.52	8.00
1nav	7.60	8.16
1of1	4.82	5.30
1of6	6.05	5.01
1opk	9.82	6.92
1oq5	7.68	7.21
1owe	6.20	6.41
1oyt	7.24	6.79
1p2y	5.00	4.74
1p62	4.66	4.68
1pmn	8.15	7.18
1q1g	8.57	7.66
1q41	7.66	6.74
1q4g	6.89	5.98
1r1h	8.92	7.21
1r55	6.80	6.00
1r58	6.96	6.19
1r9o	5.02	5.60
1s19	9.51	7.30
1s3v	7.42	7.30
1sg0	7.47	4.95
1sj0	9.10	8.00
1sq5	4.39	5.22
1sqn	9.40	7.75
1t40	7.96	6.52
1t46	6.38	8.06
1t9b	6.90	6.66
1tow	6.24	5.02
1tt1	7.19	7.39
1u1c	5.37	5.78
1uml	7.52	7.52
1unl	6.70	6.10
1uou	7.70	5.54
1v0p	6.89	6.44
1v48	8.16	8.64
1v4s	6.44	5.14
1vcj	4.59	6.32
1w1p	2.30	4.27
1w2g	4.57	4.74
1xm6	6.38	6.81
1xoq	9.17	7.76
1xoz	8.92	7.74
1y6b	7.42	8.37
1ygc	9.46	7.12
1yqy	7.62	5.51
1ywr	7.49	8.39
1z95	7.12	8.73
2bm2	7.82	6.38
2br1	5.14	6.56
2bsm	5.82	6.24
