PDB	Labels	Predictions
10gs	6.40	5.68
1bcu	3.28	4.64
1e66	9.89	8.09
1f8b	5.40	7.47
1f8c	7.40	7.57
1f8d	3.40	7.45
1gpk	5.37	6.30
1h23	8.35	7.08
1hfs	8.70	8.17
1hnn	6.24	5.66
1lbk	3.18	4.76
1lol	6.39	5.33
1loq	3.70	4.96
1lor	11.06	4.72
1mq6	11.15	8.64
1n1m	5.70	6.12
1n2v	4.08	4.96
1nvq	8.25	7.88
1o3f	7.96	6.56
1o5b	5.77	4.95
1os0	6.03	6.56
1oyt	7.24	8.33
1p1q	4.89	5.57
1ps3	2.28	4.68
1r5y	6.46	4.70
1sqa	9.21	6.66
1u1b	7.80	5.20
1u33	4.60	5.22
1uto	2.27	3.24
1vso	4.72	6.68
1w4o	5.22	4.34
1xd0	7.12	5.35
1yc1	6.17	6.59
1z95	7.12	8.90
2brb	4.86	6.46
2cbj	8.27	6.38
2cet	8.02	6.58
2d1o	7.70	8.19
2fvd	8.52	7.16
2g70	7.77	5.94
2hb1	3.80	3.85
2iwx	6.68	5.72
2j62	11.34	7.02
2j78	6.42	5.56
2jdm	5.40	4.31
2jdu	6.72	4.74
2jdy	4.37	4.28
2obf	8.85	6.59
2ole	7.25	8.27
2p4y	9.00	7.69
2pq9	8.11	6.03
2qbp	8.40	5.69
2qbr	6.33	5.00
2qft	5.26	5.18
2v00	3.66	4.11
2v7a	8.30	7.50
2vl4	6.01	5.39
2vo5	4.89	6.01
2vot	7.14	6.06
2vvn	7.30	7.54
2vw5	8.52	6.62
2w66	4.05	5.24
2wbg	4.45	6.46
2wca	5.60	6.88
2weg	6.50	6.64
2wtv	8.74	8.38
2x00	11.33	7.90
2x0y	4.60	5.91
2x8z	7.96	6.83
2x97	5.66	7.39
2xb8	7.59	5.59
2xbv	8.43	7.34
2xdl	3.10	5.91
2xhm	6.80	7.07
2xnb	6.83	7.24
2xy9	9.19	7.91
2xys	7.42	7.34
2y5h	5.79	7.92
2yfe	6.63	6.78
2yge	5.06	5.70
2yki	9.46	6.91
2ymd	3.16	6.23
2zcq	8.82	6.75
2zcr	6.87	6.62
2zjw	7.70	6.49
2zwz	7.79	7.46
2zx6	10.60	9.14
2zxd	5.22	8.08
3acw	4.76	6.43
3ag9	8.05	7.64
3ao4	2.07	4.43
3b68	8.40	8.16
3bfu	6.27	5.82
3bkk	6.08	7.54
3cft	4.19	4.80
3coy	6.02	5.15
3cyx	8.00	7.41
3d4z	4.89	5.33
3dd0	9.00	8.08
3dxg	2.40	3.91
3e93	8.85	7.50
3ebp	5.91	5.84
3ehy	5.85	7.33
3ejr	8.57	6.91
3f17	8.63	7.75
3f3c	6.02	5.47
3f80	4.22	6.07
3fcq	2.77	5.50
3fk1	2.62	5.18
3fv1	9.30	7.23
3g0w	9.52	8.62
3g2n	4.09	4.17
3g2z	2.36	4.14
3gbb	6.90	7.10
3gcs	7.25	6.77
3ge7	8.70	6.60
3gy4	5.10	3.86
3huc	5.99	6.69
3i3b	2.23	4.46
3imc	2.96	3.28
3ivg	4.30	6.14
3jvs	6.54	5.88
3k5v	6.30	7.27
3kgp	2.57	3.95
3kv2	7.32	5.40
3kwa	4.08	4.77
3l3n	8.18	7.78
3l7b	2.40	4.84
3lka	2.82	6.78
3mfv	2.52	6.01
3mss	4.66	5.56
3muz	3.46	4.50
3myg	10.70	7.50
3n7a	3.70	4.24
3n86	5.64	5.22
3nox	8.66	7.73
3nq3	3.78	5.83
3nw9	9.00	7.29
3oe5	6.88	6.27
3owj	6.07	7.42
3ozt	4.13	6.52
3pe2	9.76	7.70
3pww	7.32	6.35
3pxf	4.43	5.54
3u9q	4.38	4.18
3udh	2.85	4.23
3ueu	5.24	6.07
3uex	6.92	6.15
3uo4	6.52	7.36
3utu	10.92	8.64
3vd4	4.82	4.81
3vh9	6.24	4.40
3zso	5.12	5.41
3zsx	3.28	4.81
4de1	5.96	6.55
4de2	4.12	6.38
4des	5.85	6.00
4dew	7.00	6.23
4djr	11.52	9.45
4djv	6.72	6.17
4g8m	7.89	5.77
4gid	10.77	7.94
4gqq	2.89	4.38
4tmn	10.17	7.44
