PDB	Labels	Predictions
1gm8	4.80	5.63
1gpk	5.37	5.56
1hnn	6.24	7.12
1hp0	6.70	5.70
1hq2	6.77	4.92
1hvy	6.17	7.59
1hwi	7.55	6.35
1hww	7.70	5.47
1ia1	7.47	5.01
1j3j	8.01	4.33
1jd0	8.24	7.45
1jje	8.43	4.80
1ke5	6.25	5.55
1kzk	10.40	11.31
1l2s	4.59	4.92
1l7f	9.10	6.73
1lpz	7.60	8.71
1lrh	6.82	4.82
1m2z	7.22	7.60
1mmv	7.24	5.00
1n1m	5.70	6.93
1n2v	4.08	5.13
1n46	10.52	9.89
1nav	7.60	7.45
1of1	4.82	5.93
1of6	6.05	4.38
1opk	9.82	6.44
1oq5	7.68	7.23
1owe	6.20	6.32
1oyt	7.24	6.89
1p2y	5.00	4.64
1p62	4.66	5.36
1pmn	8.15	6.10
1q1g	8.57	7.74
1q41	7.66	7.88
1q4g	6.89	5.65
1r1h	8.92	8.77
1r55	6.80	6.53
1r58	6.96	7.18
1r9o	5.02	5.26
1s19	9.51	8.25
1s3v	7.42	7.92
1sg0	7.47	5.54
1sj0	9.10	8.11
1sq5	4.39	5.30
1sqn	9.40	8.18
1t40	7.96	6.84
1t46	6.38	6.75
1t9b	6.90	6.53
1tow	6.24	5.49
1tt1	7.19	8.06
1u1c	5.37	5.22
1uml	7.52	6.48
1unl	6.70	6.32
1uou	7.70	3.78
1v0p	6.89	6.87
1v48	8.16	8.76
1v4s	6.44	6.54
1vcj	4.59	3.57
1w1p	2.30	2.62
1w2g	4.57	3.12
1xm6	6.38	6.40
1xoq	9.17	10.06
1xoz	8.92	9.09
1y6b	7.42	8.29
1ygc	9.46	7.17
1yqy	7.62	5.61
1ywr	7.49	7.74
1z95	7.12	8.46
2bm2	7.82	8.10
2br1	5.14	7.12
2bsm	5.82	7.80
