PDB	Labels	Predictions
1bcu	3.28	3.75
1bzc	4.92	7.95
1c5z	4.01	4.14
1e66	9.89	7.10
1eby	9.70	7.32
1g2k	7.96	7.47
1gpk	5.37	6.81
1gpn	6.48	7.00
1h22	9.10	6.94
1h23	8.35	6.94
1k1i	6.58	7.20
1lpg	7.09	8.59
1mq6	11.15	9.43
1nc1	6.12	11.25
1nc3	5.00	6.63
1nvq	8.25	8.07
1o0h	5.92	4.23
1o3f	7.96	5.63
1o5b	5.77	6.93
1owh	7.40	6.67
1oyt	7.24	5.07
1p1n	6.80	5.90
1p1q	4.89	5.75
1ps3	2.28	4.51
1pxn	7.15	6.72
1qf1	7.32	7.43
1qkt	9.04	8.51
1r5y	6.46	4.33
1s38	5.15	4.49
1sqa	9.21	7.79
1syi	5.44	5.76
1u1b	7.80	5.30
1uto	2.27	3.18
1vso	4.72	7.94
1w4o	5.22	5.07
1y6r	10.11	12.34
1yc1	6.17	6.53
1z6e	9.72	8.88
1z95	7.12	9.65
1z9g	5.64	3.85
2al5	8.40	5.81
2br1	5.14	7.39
2brb	4.86	6.01
2cbv	5.48	6.33
2cet	8.02	6.08
2fvd	8.52	7.44
2fxs	6.06	5.42
2hb1	3.80	4.63
2iwx	6.68	5.64
2j78	6.42	6.26
2j7h	7.19	6.53
2p15	10.30	8.63
2p4y	9.00	6.78
2pog	9.54	8.39
2qbp	8.40	6.25
2qbq	7.44	6.42
2qbr	6.33	5.70
2qe4	7.96	7.47
2qnq	6.11	6.46
2r9w	5.10	4.65
2v00	3.66	4.53
2v7a	8.30	7.37
2vkm	8.74	7.30
2vvn	7.30	7.35
2vw5	8.52	5.36
2w4x	4.85	4.98
2w66	4.05	6.16
2wbg	4.45	6.15
2wca	5.60	7.48
2weg	6.50	7.38
2wer	7.05	5.63
2wn9	8.52	6.50
2wnc	6.32	5.91
2wtv	8.74	8.22
2wvt	6.12	7.25
2x00	11.33	8.40
2xb8	7.59	4.73
2xbv	8.43	8.80
2xdl	3.10	3.68
2xii	7.20	5.88
2xj7	6.66	7.02
2xnb	6.83	7.07
2xys	7.42	6.00
2y5h	5.79	8.08
2yfe	6.63	5.78
2yge	5.06	5.34
2yki	9.46	7.44
2ymd	3.16	5.85
2zb1	6.32	8.37
2zcq	8.82	6.51
2zcr	6.87	8.21
2zda	8.40	4.81
2zy1	7.40	8.21
3acw	4.76	5.72
3ag9	8.05	7.06
3ao4	2.07	2.61
3arp	7.15	4.91
3arq	6.40	4.46
3aru	3.22	5.24
3arv	5.64	4.85
3ary	6.00	5.15
3b1m	8.48	6.27
3b27	5.16	5.89
3b5r	8.77	9.42
3b65	9.27	9.72
3b68	8.40	8.11
3bgz	6.26	6.55
3coy	6.02	5.75
3coz	5.57	5.72
3d4z	4.89	3.43
3d6q	3.76	4.67
3dd0	9.00	8.21
3dx1	3.58	3.81
3dx2	6.82	6.04
3dxg	2.40	3.97
3e5a	8.23	8.08
3e92	8.00	8.24
3e93	8.85	7.90
3ebp	5.91	6.57
3ehy	5.85	6.49
3ejr	8.57	7.41
3f3c	6.02	2.85
3fcq	2.77	3.26
3fur	8.00	6.32
3fv1	9.30	7.63
3fv2	8.11	7.18
3g0w	9.52	9.00
3g2n	4.09	4.67
3g2z	2.36	2.93
3g31	2.89	3.30
3gbb	6.90	7.70
3gc5	7.26	6.40
3ge7	8.70	7.43
3gr2	2.52	2.71
3gv9	2.12	2.67
3gy4	5.10	3.01
3ivg	4.30	4.84
3jvr	5.72	7.90
3jvs	6.54	7.62
3jya	6.89	6.83
3k5v	6.30	7.55
3kgp	2.57	3.62
3kr8	8.10	6.93
3kwa	4.08	3.62
3l7b	2.40	4.55
3lka	2.82	6.45
3mss	4.66	6.33
3myg	10.70	8.01
3n76	6.85	5.94
3n7a	3.70	4.24
3n86	5.64	6.45
3nq9	4.03	5.30
3nw9	9.00	7.59
3nx7	8.10	6.99
3o9i	11.82	11.88
3oe4	7.47	5.59
3oe5	6.88	5.38
3ozs	5.33	5.68
3ozt	4.13	4.97
3p5o	7.26	7.62
3prs	7.82	6.80
3pww	7.32	5.58
3pxf	4.43	4.73
3pyy	6.86	7.08
3qgy	7.80	8.65
3qqs	5.82	4.95
3r88	4.82	4.56
3rlr	7.52	7.80
3rr4	4.55	5.58
3rsx	4.41	3.75
3ryj	7.80	8.42
3syr	5.10	4.77
3tsk	7.17	8.10
3twp	3.92	4.60
3u5j	5.61	5.69
3u8k	8.66	6.61
3u8n	10.17	6.67
3u9q	4.38	5.39
3udh	2.85	4.57
3ueu	5.24	5.24
3uev	5.89	5.24
3uew	6.31	5.24
3uex	6.92	5.24
3ui7	9.00	8.27
3uo4	6.52	7.46
3up2	7.40	7.38
3utu	10.92	8.23
3uuo	7.96	8.20
3wtj	6.53	6.97
3wz8	5.82	5.35
3zdg	7.10	7.15
3zso	5.12	5.55
3zsx	3.28	4.36
3zt2	2.84	4.69
4abg	3.57	3.69
4agn	3.97	4.81
4agp	4.69	5.08
4agq	5.01	4.93
4bkt	3.62	4.04
4cig	3.67	6.22
4ciw	4.82	4.25
4cr9	4.10	4.54
4cra	7.22	7.40
4crc	8.72	7.90
4ddh	3.30	3.05
4ddk	2.29	3.12
4de1	5.96	4.65
4de2	4.12	5.94
4de3	5.52	4.13
4djv	6.72	7.65
4dld	5.82	7.84
4dli	5.62	7.18
4e5w	7.66	8.70
4e6q	8.36	7.84
4ea2	6.44	6.23
4eky	3.52	4.88
4eor	6.30	6.35
4f09	6.70	7.74
4f9w	6.94	7.04
4gfm	7.22	6.81
4gid	10.77	7.32
4gkm	5.17	5.02
4gr0	9.55	8.95
4hge	7.92	8.07
4ivb	8.72	9.09
4ivc	10.00	9.08
4ivd	9.52	9.19
4j21	7.41	6.43
4j28	5.70	6.56
4j3l	7.80	7.16
4jfs	5.27	7.14
4jia	9.22	7.84
4jsz	2.30	7.01
4jxs	4.74	3.48
4k18	8.96	7.96
4k77	6.63	8.55
4kz6	3.10	3.73
4kzq	6.10	5.93
4kzu	6.50	6.15
4llx	2.89	3.61
4lzs	4.80	4.07
4m0y	6.46	6.00
4m0z	5.19	6.81
4mgd	4.69	5.66
4mme	6.50	5.93
4ogj	6.79	6.38
4owm	2.96	4.99
4pcs	7.85	5.97
4qac	9.40	6.64
4qd6	8.64	7.55
4rfm	10.05	8.51
4tmn	10.17	5.28
4twp	10.00	7.32
4ty7	9.52	7.72
4u4s	2.92	5.72
4w9c	4.65	4.92
4wiv	6.26	6.54
4x6p	8.30	7.93
5a7b	3.57	4.67
5aba	2.98	4.52
5dwr	11.22	10.71
5tmn	8.04	5.23
