PDB	Labels	Predictions
4fud	6.35	5.55
4fue	7.23	6.60
4fu7	6.20	6.49
4fu8	5.23	5.17
4fu9	6.20	7.05
4fub	6.21	5.72
4fuc	7.40	6.67
4fsm	7.62	5.58
4fsw	4.76	5.14
4ft5	7.56	7.78
4fsn	7.70	7.75
4fsz	6.97	5.29
4ft7	8.87	8.55
4ft0	7.11	7.01
4ft9	7.69	7.45
4fta	7.39	7.78
4ftc	7.63	7.32
4fsq	8.80	7.25
4fsr	7.94	6.90
4fst	8.28	7.20
4fw3	7.23	10.50
4fw4	8.08	10.26
4fw5	7.48	7.57
4fw6	7.70	8.32
4fw7	7.13	7.30
4fux	6.00	7.83
4fuy	6.09	7.59
4fv0	5.59	7.20
4fv1	7.08	7.66
4fv2	7.68	7.98
4fv3	7.74	7.86
4ev4	7.40	6.28
4fv5	7.70	7.59
4fv7	7.57	7.85
4fv8	7.82	8.27
4fv9	6.72	7.62
4fx3	8.07	6.36
4ek4	4.48	5.95
4ek5	6.09	7.28
4fkg	4.67	7.16
4fki	4.23	6.62
4ek6	6.04	6.94
4fjk	6.55	6.05
4ek8	7.11	7.27
3sw4	6.02	7.06
3sw7	6.64	7.36
4fko	6.11	7.08
4fkp	6.54	6.92
4fkq	6.28	6.40
4fkr	6.64	6.75
4fks	6.28	6.97
4fkt	5.97	6.47
4fku	7.01	6.36
4fkv	6.60	6.99
4fkw	7.33	6.78
