PDB	Labels	Predictions
3m1k	5.39	4.56
3rz1	8.74	8.67
5u6d	8.59	8.13
5tuy	6.35	7.13
4u6r	7.85	7.49
6hky	9.34	8.46
3bkl	6.17	7.01
2rcw	8.10	7.69
5alg	7.52	8.20
5k0f	6.07	6.29
4x8v	6.89	7.19
5wev	6.82	8.66
2ei6	7.39	8.27
2xkd	5.64	5.55
5j9f	7.23	7.31
6s9x	6.42	7.67
6nlj	4.82	4.61
1ett	5.89	6.11
6ugq	7.55	7.88
3hvk	8.52	7.70
3wym	9.52	8.48
4leq	6.54	7.07
2p8n	3.15	3.01
3iej	6.66	7.27
5aae	7.46	7.29
5teh	7.55	8.13
5xij	7.30	7.13
3gt9	3.96	5.76
6ouv	5.55	5.76
6knh	3.55	3.82
4w9x	7.40	7.89
2wkt	4.31	4.50
4uv8	6.47	6.34
4p02	6.40	6.35
2ghg	8.82	8.30
5a3s	8.68	8.02
4cwo	5.21	6.21
4i7l	3.99	3.83
6abk	1.95	2.40
6myn	7.85	8.94
5wr7	8.96	8.08
6hys	5.59	5.71
1o4d	3.52	2.92
3aas	4.51	4.53
1pf8	7.51	6.92
6mjf	5.16	5.07
2j7e	7.32	6.38
5x73	6.74	7.06
6mmo	3.35	3.67
6nfg	4.11	4.32
1ai7	4.09	3.67
4fcb	8.54	8.18
1qj1	8.05	7.61
1qhr	6.89	6.81
4u70	5.02	5.33
2p83	7.96	7.95
2p2h	7.17	6.80
4qpd	7.82	7.95
3b3x	3.60	3.87
5eob	9.62	8.14
3fhe	8.60	7.26
4hai	8.10	7.63
6gjl	3.86	3.85
5jv0	5.96	6.43
6gcw	8.64	8.32
4hdc	8.92	8.31
5aia	5.20	5.35
4bhi	7.05	6.64
3n3g	7.24	7.04
5swh	7.59	7.95
4tpm	8.62	8.35
4klv	3.78	4.07
1xbc	7.92	8.52
1hk1	5.64	6.27
3dkj	5.70	5.75
2bxt	8.52	7.66
6pgx	9.21	8.34
3e6v	6.83	6.63
6ey7	4.30	4.28
6g3c	6.91	8.33
4jnm	8.52	7.89
5zfi	5.92	6.03
1o0o	5.10	4.84
5q0p	7.41	6.73
6cvf	6.35	4.47
4qsx	1.74	2.14
6aej	6.15	5.31
5lvr	3.60	3.98
1hk3	6.59	6.27
4ded	7.42	7.51
5y0x	5.11	6.22
3mj1	7.82	7.52
4tpw	4.69	5.05
6fa5	6.75	6.82
5za2	5.77	5.46
5kr1	9.49	9.07
5tol	7.48	8.34
5j7q	4.58	5.48
3v4j	5.04	4.86
5o5a	4.77	6.01
2brg	5.21	5.91
4gg5	9.03	8.00
4amy	10.82	9.16
3mhl	7.25	7.56
4kiq	7.64	7.58
4pin	5.40	4.98
4ei4	8.74	8.50
2nt7	6.52	6.77
5l6p	7.26	7.42
4uiu	7.90	7.27
3dnt	4.74	4.93
2viz	6.22	7.09
3oqf	7.04	6.09
6dvm	8.52	8.37
3ihz	6.80	6.36
3sb0	5.26	5.90
4a4f	2.88	3.06
4hbv	4.64	4.57
4xkb	6.10	6.38
5jcj	4.42	4.69
3pd8	6.46	5.73
5kks	8.70	7.58
1ung	6.80	6.38
2o8h	7.60	8.34
4hxl	5.66	6.06
3vi5	5.68	6.71
4r92	7.41	7.77
3mzc	6.65	7.94
4qtl	6.92	8.16
4di2	8.26	8.50
5hzx	8.55	8.40
4q7v	3.59	3.63
6bhv	5.23	6.03
2ckm	8.82	7.45
4mk0	5.20	6.54
4r5t	6.10	6.15
1y2e	6.80	6.64
3iaf	2.92	3.17
4fli	5.44	5.40
4zei	5.88	5.47
5h1t	3.80	3.84
2gh6	4.95	5.56
4ona	8.15	8.32
5umy	6.97	6.85
5uga	6.79	7.63
5nuu	8.20	7.97
1lhg	7.10	7.97
3iod	4.10	4.55
5eak	9.30	9.21
6q54	6.49	5.75
5w6e	8.04	7.47
2i4u	11.57	9.83
2qcg	4.00	4.70
4o3f	5.56	5.37
5khi	6.77	7.01
4iif	5.18	4.45
3kqy	4.82	4.65
4k6i	6.20	7.07
4z0q	8.17	8.08
4x3u	5.09	4.18
4mma	6.04	4.93
6c8c	6.38	6.54
6c3u	5.40	5.33
3tzm	7.77	7.98
2ww2	4.85	5.08
2xru	7.51	7.73
3abu	5.62	5.77
4n00	8.02	7.96
4cc6	6.64	6.76
5zo8	8.20	7.24
2v12	9.05	8.43
6j06	6.59	6.14
4yne	8.52	8.03
5fck	8.22	7.98
5fut	6.45	6.07
3f3u	4.74	7.21
4bb4	6.72	7.04
2fwy	6.70	6.87
6fe0	6.48	6.97
1w1d	6.52	6.05
2xgo	3.00	3.11
5ak4	4.23	4.30
6pid	4.54	3.98
6f6s	2.89	3.07
5ehv	3.08	4.08
4tmr	7.22	7.39
1bl7	7.72	7.66
4o05	7.43	7.66
2qi7	10.21	10.02
6mmc	3.61	3.77
3d4q	10.52	8.05
4cix	4.47	4.23
4xx4	7.36	7.82
5aqt	3.51	4.25
5fqv	6.21	7.89
6fsy	6.61	6.36
3t6y	5.52	5.72
1v2l	4.29	4.22
2oz6	5.26	5.20
1ca8	9.49	8.30
6m8a	5.26	5.39
5sym	6.55	6.20
5t19	4.49	5.17
4pb2	4.80	4.95
3qd3	8.00	8.53
1w1y	2.62	3.03
5mys	4.30	5.09
4cwf	4.49	4.97
4nh8	8.52	8.34
5q0q	6.11	5.85
1aw1	1.05	1.21
2wi6	6.64	7.17
4e3d	2.30	3.70
4eqc	8.10	7.73
6gcr	8.33	8.20
6cpw	8.25	8.30
5alw	5.15	5.97
3c4h	5.70	6.03
4pid	4.62	4.67
2ou7	3.81	4.39
4djq	10.32	10.60
3ljg	7.73	7.47
6iez	6.52	5.98
2w97	0.96	1.51
3djq	2.98	3.92
1f5l	5.28	6.02
5toz	9.46	7.79
3f8w	4.08	4.99
3fuh	2.70	3.10
4r5v	6.15	6.05
5l8c	7.00	6.73
4qyg	8.39	7.68
5h9r	6.08	6.82
2f81	10.52	8.99
2xyd	6.82	8.32
5yfs	4.86	4.76
5tkd	8.15	8.43
2zm3	6.21	6.81
5tob	8.82	8.26
4l0s	6.84	6.68
3pb9	6.58	5.82
3vbq	9.33	9.28
4euv	6.30	6.08
4i6f	8.30	7.74
6j8r	6.12	5.30
4mwc	5.87	7.29
4a4l	7.82	8.65
3e6k	5.15	6.63
2g9q	6.40	4.58
3mrv	3.74	4.59
4lbu	6.56	6.83
4nah	6.31	7.44
5kls	6.71	6.06
4bt3	3.12	3.17
1g9s	3.61	3.52
1o46	8.00	7.72
4dbn	8.15	8.44
5khx	7.85	8.52
4wp7	6.10	6.15
6o5u	4.38	4.37
6gjw	4.96	5.49
5dx4	6.86	6.03
4mp2	5.45	6.48
4yih	4.66	5.54
3f36	2.89	2.67
5ei8	8.10	7.39
6nzh	8.80	9.01
5qas	3.72	3.79
5sz9	4.42	5.48
4n7j	5.47	5.59
5g5f	5.28	5.40
3omm	7.43	6.71
1qj7	8.10	7.58
6ndl	7.19	6.98
1r5n	5.42	5.50
4py2	6.57	6.56
6udt	10.00	9.74
3eor	1.40	1.84
