PDB	Labels	Predictions
1a8i	5.52	5.07
1a99	5.70	2.02
1ax0	3.13	4.53
1b6l	8.30	7.93
1b6m	8.40	8.37
1duv	11.80	5.52
1dy4	4.36	6.27
1e2k	4.94	5.41
1fcx	7.12	6.93
1g2k	7.96	8.31
1gj8	6.96	5.93
1gjd	5.22	6.33
1gpk	5.37	5.50
1gyy	3.64	4.70
1h22	9.10	4.64
1h23	8.35	4.64
1h46	3.57	4.79
1hnn	6.24	7.13
1iy7	6.19	4.66
1kzk	10.39	9.17
1lrh	6.82	4.56
1nc1	6.12	6.08
1nc3	5.00	5.64
1nli	3.59	7.54
1nw5	5.21	5.10
1ow4	5.68	5.61
1p1n	6.80	5.32
1p1o	5.76	5.68
1ps3	2.28	5.09
1pxp	6.66	6.91
1r5y	6.46	4.05
1s38	5.15	4.15
1s39	7.70	4.12
1sr7	10.10	8.65
1sw1	7.30	4.08
1syh	6.41	5.78
1syi	5.48	5.78
1toj	3.39	4.98
1tok	2.47	4.89
1u1w	5.85	3.43
1ua4	4.22	4.96
1ui0	7.06	3.13
1utm	3.01	3.79
1uwu	5.98	6.08
1uz1	6.89	6.90
1uz4	3.40	6.40
1v1j	4.82	5.12
1w2g	4.57	3.60
1x8d	2.21	5.34
1xge	4.68	4.45
1y1m	1.82	7.91
1y1z	3.08	6.78
1y20	5.32	5.60
1yc1	6.17	6.81
1ydk	5.89	2.40
1z95	7.12	8.69
2aac	2.22	5.28
2afx	5.15	5.06
2ayr	9.29	8.30
2azr	3.64	2.73
2b07	6.43	6.42
2boh	8.52	8.49
2boj	5.77	5.78
2brb	4.86	6.20
2bvd	6.00	6.53
2byr	8.55	7.52
2cji	8.22	8.83
2fai	6.24	7.01
2fdp	7.59	7.60
2ff1	8.21	6.46
2fpz	3.96	5.68
2fqt	6.14	5.38
2fqw	6.68	5.21
2fqx	7.15	5.34
2fqy	6.57	4.51
2fvd	8.52	6.95
2fw6	2.92	2.84
2fxu	8.15	6.73
2h6b	5.39	4.97
2hb1	3.80	2.98
2hdq	1.40	2.49
2hdr	1.72	2.53
2i0a	11.40	9.01
2i0d	12.10	9.19
2il2	7.10	8.07
2iwx	6.68	6.29
2j2u	7.05	8.35
2j34	7.82	8.53
2j4i	9.00	8.74
2j78	6.42	5.75
1bcj	3.70	5.24
1bky	3.84	3.99
1d4i	8.85	5.83
1d4j	8.36	7.89
1eby	9.70	6.38
1ebz	9.40	5.90
1ec0	8.49	7.74
1ec1	8.92	7.79
1ec2	10.00	6.75
1enu	5.08	4.11
1f74	3.05	5.25
1gi9	5.96	5.21
1gww	4.28	3.76
1gx0	4.28	3.76
1o5a	6.42	7.89
1o5r	8.12	8.05
1q4w	6.46	4.05
1qkt	9.04	8.79
1qxl	7.96	8.00
1rdi	2.06	1.72
1rdn	1.84	2.30
1tr7	6.82	6.55
2a3c	4.37	5.55
2fv5	10.52	9.37
2h21	6.54	4.56
2hd6	7.80	6.84
1xl5	7.35	8.40
1y93	2.10	5.74
4ubp	5.59	6.07
1lhw	8.16	8.60
1s9t	6.60	7.68
1tt1	7.19	7.78
1uzv	5.18	5.81
2dm5	2.99	6.48
1xw6	5.62	5.22
2qrk	4.26	6.41
2nn1	5.82	5.62
2pou	7.42	7.47
3cd0	7.57	8.63
3cda	7.58	9.30
