PDB	Labels	Predictions
1gm8	4.80	6.71
1gpk	5.37	7.67
1hnn	6.24	7.89
1hp0	6.70	3.94
1hq2	6.77	5.54
1hvy	6.17	6.06
1hwi	7.55	8.38
1hww	7.70	6.38
1ia1	7.47	5.07
1j3j	8.01	5.11
1jd0	8.24	7.60
1jje	8.43	4.95
1ke5	6.25	6.08
1kzk	10.40	10.08
1l2s	4.59	3.11
1l7f	9.10	8.43
1lpz	7.60	8.55
1lrh	6.82	6.27
1m2z	7.22	8.16
1mmv	7.24	3.74
1n1m	5.70	4.22
1n2v	4.08	6.24
1n46	10.52	8.74
1nav	7.60	5.77
1of1	4.82	6.11
1of6	6.05	4.97
1opk	9.82	7.83
1oq5	7.68	9.04
1owe	6.20	7.11
1oyt	7.24	7.24
1p2y	5.00	5.63
1p62	4.66	6.70
1pmn	8.15	8.60
1q1g	8.57	5.23
1q41	7.66	7.86
1q4g	6.89	6.58
1r1h	8.92	6.60
1r55	6.80	7.66
1r58	6.96	6.76
1r9o	5.02	5.15
1s19	9.51	7.10
1s3v	7.42	7.01
1sg0	7.47	4.91
1sj0	9.10	8.35
1sq5	4.39	5.61
1sqn	9.40	8.77
1t40	7.96	7.16
1t46	6.38	6.95
1t9b	6.90	6.03
1tow	6.24	6.15
1tt1	7.19	8.23
1u1c	5.37	4.27
1uml	7.52	6.92
1unl	6.70	6.91
1uou	7.70	6.20
1v0p	6.89	6.37
1v48	8.16	7.20
1v4s	6.44	6.19
1vcj	4.59	7.67
1w1p	2.30	4.56
1w2g	4.57	2.13
1xm6	6.38	7.09
1xoq	9.17	8.76
1xoz	8.92	9.28
1y6b	7.42	8.38
1ygc	9.46	7.91
1yqy	7.62	4.70
1ywr	7.49	7.50
1z95	7.12	9.19
2bm2	7.82	7.88
2br1	5.14	7.94
2bsm	5.82	8.20
