PDB	Labels	Predictions
4fud	6.35	4.51
4fue	7.23	7.51
4fu7	6.20	5.59
4fu8	5.23	5.17
4fu9	6.20	7.12
4fub	6.21	7.08
4fuc	7.40	7.26
4fsm	7.62	6.76
4fsw	4.76	6.06
4ft5	7.56	8.43
4fsn	7.70	7.76
4fsz	6.97	4.78
4ft7	8.87	7.63
4ft0	7.11	7.72
4ft9	7.69	7.15
4fta	7.39	6.37
4ftc	7.63	6.97
4fsq	8.80	7.80
4fsr	7.94	8.60
4fst	8.28	8.70
4fw3	7.23	10.16
4fw4	8.08	10.17
4fw5	7.48	8.94
4fw6	7.70	9.59
4fw7	7.13	8.73
4fux	6.00	8.17
4fuy	6.09	7.88
4fv0	5.59	8.13
4fv1	7.08	8.46
4fv2	7.68	8.28
4fv3	7.74	8.42
4ev4	7.40	7.14
4fv5	7.70	8.71
4fv7	7.57	9.09
4fv8	7.82	8.14
4fv9	6.72	8.79
4fx3	8.07	5.71
4ek4	4.48	4.09
4ek5	6.09	5.68
4fkg	4.67	4.62
4fki	4.23	7.14
4ek6	6.04	6.60
4fjk	6.55	4.44
4ek8	7.11	7.28
3sw4	6.02	8.02
3sw7	6.64	7.08
4fko	6.11	6.70
4fkp	6.54	6.13
4fkq	6.28	5.87
4fkr	6.64	7.85
4fks	6.28	6.09
4fkt	5.97	6.29
4fku	7.01	5.71
4fkv	6.60	6.52
4fkw	7.33	7.56
