PDB	Labels	Predictions
3m1k	5.39	3.85
3rz1	8.74	8.69
5u6d	8.59	8.51
5tuy	6.35	6.12
4u6r	7.85	7.46
6hky	9.34	9.32
3bkl	6.17	6.13
2rcw	8.10	7.98
5alg	7.52	7.16
5k0f	6.07	5.99
4x8v	6.89	6.67
5wev	6.82	6.72
2ei6	7.39	7.40
2xkd	5.64	5.58
5j9f	7.23	7.01
6s9x	6.42	6.36
6nlj	4.82	4.77
1ett	5.89	5.60
6ugq	7.55	7.43
3hvk	8.52	8.47
3wym	9.52	9.25
4leq	6.54	6.40
2p8n	3.15	3.10
3iej	6.66	6.44
5aae	7.46	7.39
5teh	7.55	7.59
5xij	7.30	7.27
3gt9	3.96	4.00
6ouv	5.55	5.35
6knh	3.55	3.43
4w9x	7.40	7.07
2wkt	4.31	4.32
4uv8	6.47	6.23
4p02	6.40	6.07
2ghg	8.82	8.69
5a3s	8.68	8.26
4cwo	5.21	5.17
4i7l	3.99	3.85
6abk	1.95	1.88
6myn	7.85	7.49
5wr7	8.96	8.96
6hys	5.59	5.40
1o4d	3.52	3.21
3aas	4.51	4.41
1pf8	7.51	6.92
6mjf	5.16	4.92
2j7e	7.32	7.48
5x73	6.74	6.39
6mmo	3.35	3.41
6nfg	4.11	4.27
1ai7	4.09	3.79
4fcb	8.54	8.42
1qj1	8.05	8.21
1qhr	6.89	7.36
4u70	5.02	4.96
2p83	7.96	7.94
2p2h	7.17	7.04
4qpd	7.82	7.53
3b3x	3.60	3.58
5eob	9.62	9.65
3fhe	8.60	8.69
4hai	8.10	8.01
6gjl	3.86	3.73
5jv0	5.96	5.83
6gcw	8.64	8.51
4hdc	8.92	8.85
5aia	5.20	5.23
4bhi	7.05	7.11
3n3g	7.24	7.17
5swh	7.59	7.57
4tpm	8.62	8.55
4klv	3.78	3.71
1xbc	7.92	7.95
1hk1	5.64	5.88
3dkj	5.70	5.43
2bxt	8.52	8.24
6pgx	9.21	8.97
3e6v	6.83	6.63
6ey7	4.30	4.15
6g3c	6.91	6.77
4jnm	8.52	8.21
5zfi	5.92	5.60
1o0o	5.10	5.41
5q0p	7.41	7.47
6cvf	6.35	6.16
4qsx	1.74	1.85
6aej	6.15	5.85
5lvr	3.60	3.53
1hk3	6.59	5.88
4ded	7.42	7.26
5y0x	5.11	5.11
3mj1	7.82	7.81
4tpw	4.69	4.44
6fa5	6.75	6.68
5za2	5.77	5.93
5kr1	9.49	9.34
5tol	7.48	7.22
5j7q	4.58	4.52
3v4j	5.04	5.12
5o5a	4.77	4.70
2brg	5.21	4.94
4gg5	9.03	8.94
4amy	10.82	10.58
3mhl	7.25	6.82
4kiq	7.64	7.35
4pin	5.40	5.47
4ei4	8.74	8.69
2nt7	6.52	6.28
5l6p	7.26	6.93
4uiu	7.90	7.71
3dnt	4.74	4.48
2viz	6.22	6.14
3oqf	7.04	6.72
6dvm	8.52	8.41
3ihz	6.80	6.45
3sb0	5.26	5.13
4a4f	2.88	2.78
4hbv	4.64	4.56
4xkb	6.10	5.95
5jcj	4.42	4.52
3pd8	6.46	6.62
5kks	8.70	8.69
1ung	6.80	6.63
2o8h	7.60	7.38
4hxl	5.66	5.63
3vi5	5.68	5.60
4r92	7.41	7.56
3mzc	6.65	6.66
4qtl	6.92	7.79
4di2	8.26	8.01
5hzx	8.55	8.61
4q7v	3.59	3.51
6bhv	5.23	5.07
2ckm	8.82	9.04
4mk0	5.20	5.12
4r5t	6.10	5.56
1y2e	6.80	6.64
3iaf	2.92	2.74
4fli	5.44	5.15
4zei	5.88	5.82
5h1t	3.80	3.70
2gh6	4.95	4.92
4ona	8.15	7.99
5umy	6.97	6.80
5uga	6.79	6.58
5nuu	8.20	8.32
1lhg	7.10	7.07
3iod	4.10	3.83
5eak	9.30	9.07
6q54	6.49	6.79
5w6e	8.04	7.74
2i4u	11.57	11.49
2qcg	4.00	3.68
4o3f	5.56	5.38
5khi	6.77	7.08
4iif	5.18	5.01
3kqy	4.82	4.69
4k6i	6.20	6.14
4z0q	8.17	8.02
4x3u	5.09	5.26
4mma	6.04	4.79
6c8c	6.38	6.30
6c3u	5.40	5.16
3tzm	7.77	8.03
2ww2	4.85	4.79
2xru	7.51	7.31
3abu	5.62	5.50
4n00	8.02	7.77
4cc6	6.64	6.17
5zo8	8.20	8.07
2v12	9.05	9.14
6j06	6.59	6.37
4yne	8.52	8.42
5fck	8.22	8.36
5fut	6.45	6.65
3f3u	4.74	4.55
4bb4	6.72	6.41
2fwy	6.70	6.73
6fe0	6.48	6.65
1w1d	6.52	6.37
2xgo	3.00	3.05
5ak4	4.23	4.18
6pid	4.54	4.16
6f6s	2.89	2.64
5ehv	3.08	2.87
4tmr	7.22	6.84
1bl7	7.72	8.03
4o05	7.43	7.15
2qi7	10.21	10.23
6mmc	3.61	3.57
3d4q	10.52	10.22
