PDB	Labels	Predictions
1bcu	3.28	4.09
1bzc	4.92	6.90
1c5z	4.01	3.74
1e66	9.89	7.31
1eby	9.70	8.47
1g2k	7.96	8.92
1gpk	5.37	7.92
1gpn	6.48	7.74
1h22	9.10	7.64
1h23	8.35	7.56
1k1i	6.58	6.63
1lpg	7.09	8.75
1mq6	11.15	8.46
1nc1	6.12	6.58
1nc3	5.00	7.73
1nvq	8.25	8.92
1o0h	5.92	5.12
1o3f	7.96	7.06
1o5b	5.77	6.86
1owh	7.40	6.21
1oyt	7.24	6.70
1p1n	6.80	5.46
1p1q	4.89	6.40
1ps3	2.28	4.27
1pxn	7.15	6.62
1qf1	7.32	7.45
1qkt	9.04	8.68
1r5y	6.46	3.92
1s38	5.15	3.92
1sqa	9.21	7.43
1syi	5.44	5.18
1u1b	7.80	4.66
1uto	2.27	2.83
1vso	4.72	6.37
1w4o	5.22	4.31
1y6r	10.11	10.20
1yc1	6.17	5.41
1z6e	9.72	9.10
1z95	7.12	8.87
1z9g	5.64	6.28
2al5	8.40	7.59
2br1	5.14	6.22
2brb	4.86	5.48
2cbv	5.48	4.46
2cet	8.02	6.08
2fvd	8.52	7.79
2fxs	6.06	6.92
2hb1	3.80	4.34
2iwx	6.68	6.36
2j78	6.42	4.82
2j7h	7.19	6.79
2p15	10.30	7.96
2p4y	9.00	7.84
2pog	9.54	8.51
2qbp	8.40	6.07
2qbq	7.44	6.83
2qbr	6.33	5.56
2qe4	7.96	7.44
2qnq	6.11	5.55
2r9w	5.10	5.02
2v00	3.66	3.32
2v7a	8.30	7.27
2vkm	8.74	7.95
2vvn	7.30	6.93
2vw5	8.52	6.80
2w4x	4.85	5.21
2w66	4.05	5.21
2wbg	4.45	6.11
2wca	5.60	7.37
2weg	6.50	6.19
2wer	7.05	4.23
2wn9	8.52	6.88
2wnc	6.32	6.59
2wtv	8.74	7.91
2wvt	6.12	7.69
2x00	11.33	7.77
2xb8	7.59	6.78
2xbv	8.43	8.36
2xdl	3.10	5.71
2xii	7.20	8.93
2xj7	6.66	6.17
2xnb	6.83	6.54
2xys	7.42	7.14
2y5h	5.79	7.73
2yfe	6.63	6.36
2yge	5.06	5.36
2yki	9.46	6.76
2ymd	3.16	5.88
2zb1	6.32	7.49
2zcq	8.82	6.21
2zcr	6.87	7.74
2zda	8.40	6.00
2zy1	7.40	6.98
3acw	4.76	6.37
3ag9	8.05	7.76
3ao4	2.07	3.32
3arp	7.15	4.37
3arq	6.40	4.44
3aru	3.22	5.43
3arv	5.64	4.52
3ary	6.00	4.78
3b1m	8.48	6.26
3b27	5.16	5.16
3b5r	8.77	8.02
3b65	9.27	8.43
3b68	8.40	8.02
3bgz	6.26	7.99
3coy	6.02	5.20
3coz	5.57	5.03
3d4z	4.89	4.43
3d6q	3.76	3.69
3dd0	9.00	8.27
3dx1	3.58	5.18
3dx2	6.82	6.90
3dxg	2.40	3.58
3e5a	8.23	8.11
3e92	8.00	7.68
3e93	8.85	8.38
3ebp	5.91	6.02
3ehy	5.85	7.43
3ejr	8.57	6.87
3f3c	6.02	4.07
3fcq	2.77	4.89
3fur	8.00	6.68
3fv1	9.30	9.69
3fv2	8.11	7.38
3g0w	9.52	7.97
3g2n	4.09	4.50
3g2z	2.36	2.75
3g31	2.89	2.78
3gbb	6.90	6.46
3gc5	7.26	6.42
3ge7	8.70	7.42
3gr2	2.52	2.38
3gv9	2.12	2.53
3gy4	5.10	5.30
3ivg	4.30	5.71
3jvr	5.72	7.80
3jvs	6.54	7.13
3jya	6.89	6.60
3k5v	6.30	7.09
3kgp	2.57	2.76
3kr8	8.10	7.60
3kwa	4.08	2.84
3l7b	2.40	2.61
3lka	2.82	7.58
3mss	4.66	7.01
3myg	10.70	8.74
3n76	6.85	5.29
3n7a	3.70	3.63
3n86	5.64	5.20
3nq9	4.03	5.79
3nw9	9.00	8.97
3nx7	8.10	7.66
3o9i	11.82	11.72
3oe4	7.47	6.33
3oe5	6.88	6.57
3ozs	5.33	7.19
3ozt	4.13	6.70
3p5o	7.26	8.05
3prs	7.82	7.06
3pww	7.32	5.72
3pxf	4.43	4.36
3pyy	6.86	7.47
3qgy	7.80	8.26
3qqs	5.82	5.34
3r88	4.82	4.60
3rlr	7.52	7.68
3rr4	4.55	4.73
3rsx	4.41	4.52
3ryj	7.80	8.19
3syr	5.10	3.69
3tsk	7.17	7.45
3twp	3.92	3.34
3u5j	5.61	6.16
3u8k	8.66	6.55
3u8n	10.17	6.90
3u9q	4.38	5.68
3udh	2.85	3.92
3ueu	5.24	6.02
3uev	5.89	6.14
3uew	6.31	6.25
3uex	6.92	6.34
3ui7	9.00	7.48
3uo4	6.52	7.20
3up2	7.40	6.62
3utu	10.92	9.21
3uuo	7.96	8.05
3wtj	6.53	6.81
3wz8	5.82	4.83
3zdg	7.10	5.98
3zso	5.12	4.41
3zsx	3.28	3.52
3zt2	2.84	2.85
4abg	3.57	2.80
4agn	3.97	4.59
4agp	4.69	5.03
4agq	5.01	4.64
4bkt	3.62	3.98
4cig	3.67	6.77
4ciw	4.82	3.85
4cr9	4.10	4.01
4cra	7.22	8.23
4crc	8.72	6.70
4ddh	3.30	3.00
4ddk	2.29	2.40
4de1	5.96	6.03
4de2	4.12	5.10
4de3	5.52	5.16
4djv	6.72	6.42
4dld	5.82	6.24
4dli	5.62	8.22
4e5w	7.66	9.25
4e6q	8.36	7.87
4ea2	6.44	6.33
4eky	3.52	2.56
4eor	6.30	6.51
4f09	6.70	7.25
4f9w	6.94	6.84
4gfm	7.22	6.34
4gid	10.77	8.16
4gkm	5.17	4.82
4gr0	9.55	8.61
4hge	7.92	5.92
4ivb	8.72	7.88
4ivc	10.00	7.96
4ivd	9.52	8.07
4j21	7.41	7.12
4j28	5.70	7.49
4j3l	7.80	7.06
4jfs	5.27	6.52
4jia	9.22	7.89
4jsz	2.30	5.91
4jxs	4.74	4.31
4k18	8.96	7.40
4k77	6.63	8.33
4kz6	3.10	4.25
4kzq	6.10	5.95
4kzu	6.50	6.59
4llx	2.89	3.69
4lzs	4.80	4.57
4m0y	6.46	6.66
4m0z	5.19	6.47
4mgd	4.69	7.00
4mme	6.50	6.80
4ogj	6.79	7.31
4owm	2.96	3.20
4pcs	7.85	8.08
4qac	9.40	7.02
4qd6	8.64	7.99
4rfm	10.05	7.99
4tmn	10.17	6.18
4twp	10.00	8.65
4ty7	9.52	8.29
4u4s	2.92	4.62
4w9c	4.65	5.40
4wiv	6.26	6.42
4x6p	8.30	9.51
5a7b	3.57	5.30
5aba	2.98	3.70
5dwr	11.22	9.60
5tmn	8.04	5.44
