PDB	Labels	Predictions
1a8i	5.52	4.22
1a99	5.70	8.41
1ax0	3.13	3.05
1b6l	8.30	6.50
1b6m	8.40	8.50
1duv	11.80	5.96
1dy4	4.36	4.39
1e2k	4.94	5.61
1fcx	7.12	8.42
1g2k	7.96	8.05
1gj8	6.96	6.35
1gjd	5.22	6.56
1gpk	5.37	7.10
1gyy	3.64	4.46
1h22	9.10	7.53
1h23	8.35	7.55
1h46	3.57	4.14
1hnn	6.24	8.27
1iy7	6.19	6.74
1kzk	10.39	8.96
1lrh	6.82	3.77
1nc1	6.12	6.78
1nc3	5.00	7.03
1nli	3.59	5.23
1nw5	5.21	4.24
1ow4	5.68	7.29
1p1n	6.80	4.96
1p1o	5.76	6.28
1ps3	2.28	3.99
1pxp	6.66	7.54
1r5y	6.46	4.16
1s38	5.15	4.34
1s39	7.70	3.46
1sr7	10.10	9.16
1sw1	7.30	5.32
1syh	6.41	5.78
1syi	5.48	5.78
1toj	3.39	3.96
1tok	2.47	3.97
1u1w	5.85	3.82
1ua4	4.22	4.97
1ui0	7.06	3.70
1utm	3.01	2.76
1uwu	5.98	5.72
1uz1	6.89	6.58
1uz4	3.40	5.30
1v1j	4.82	5.74
1w2g	4.57	3.91
1x8d	2.21	4.05
1xge	4.68	6.51
1y1m	1.82	4.70
1y1z	3.08	3.40
1y20	5.32	2.77
1yc1	6.17	5.96
1ydk	5.89	2.69
1z95	7.12	8.45
2aac	2.22	5.19
2afx	5.15	3.99
2ayr	9.29	8.22
2azr	3.64	4.78
2b07	6.43	5.98
2boh	8.52	8.97
2boj	5.77	6.17
2brb	4.86	5.89
2bvd	6.00	5.99
2byr	8.55	7.04
2cji	8.22	9.03
2fai	6.24	6.17
2fdp	7.59	7.35
2ff1	8.21	6.50
2fpz	3.96	3.90
2fqt	6.14	5.18
2fqw	6.68	5.24
2fqx	7.15	6.24
2fqy	6.57	5.43
2fvd	8.52	7.20
2fw6	2.92	3.72
2fxu	8.15	6.94
2h6b	5.39	6.07
2hb1	3.80	3.76
2hdq	1.40	2.66
2hdr	1.72	2.48
2i0a	11.40	11.03
2i0d	12.10	11.16
2il2	7.10	8.01
2iwx	6.68	6.58
2j2u	7.05	8.46
2j34	7.82	8.59
2j4i	9.00	8.54
2j78	6.42	5.61
1bcj	3.70	3.29
1bky	3.84	4.35
1d4i	8.85	7.33
1d4j	8.36	8.49
1eby	9.70	8.55
1ebz	9.40	7.44
1ec0	8.49	8.69
1ec1	8.92	7.92
1ec2	10.00	8.23
1enu	5.08	3.90
1f74	3.05	4.72
1gi9	5.96	7.05
1gww	4.28	4.37
1gx0	4.28	4.37
1o5a	6.42	4.99
1o5r	8.12	7.45
1q4w	6.46	4.16
1qkt	9.04	9.84
1qxl	7.96	7.40
1rdi	2.06	1.54
1rdn	1.84	2.79
1tr7	6.82	7.67
2a3c	4.37	3.73
2fv5	10.52	7.94
2h21	6.54	4.87
2hd6	7.80	7.88
1xl5	7.35	8.70
1y93	2.10	3.85
4ubp	5.59	5.50
1lhw	8.16	8.68
1s9t	6.60	6.50
1tt1	7.19	8.44
1uzv	5.18	6.27
2dm5	2.99	6.52
1xw6	5.62	5.29
2qrk	4.26	3.89
2nn1	5.82	5.65
2pou	7.42	6.46
3cd0	7.57	8.30
3cda	7.58	8.44
