PDB	Labels	Predictions
4fud	6.35	3.80
4fue	7.23	7.23
4fu7	6.20	4.60
4fu8	5.23	4.09
4fu9	6.20	5.82
4fub	6.21	5.68
4fuc	7.40	5.62
4fsm	7.62	6.31
4fsw	4.76	5.43
4ft5	7.56	8.01
4fsn	7.70	8.16
4fsz	6.97	5.77
4ft7	8.87	8.06
4ft0	7.11	7.21
4ft9	7.69	6.44
4fta	7.39	6.96
4ftc	7.63	6.46
4fsq	8.80	6.81
4fsr	7.94	6.50
4fst	8.28	6.23
4fw3	7.23	8.61
4fw4	8.08	9.31
4fw5	7.48	7.96
4fw6	7.70	8.38
4fw7	7.13	8.30
4fux	6.00	7.41
4fuy	6.09	8.02
4fv0	5.59	7.90
4fv1	7.08	7.93
4fv2	7.68	7.90
4fv3	7.74	8.69
4ev4	7.40	7.45
4fv5	7.70	8.12
4fv7	7.57	8.23
4fv8	7.82	8.62
4fv9	6.72	7.59
4fx3	8.07	6.74
4ek4	4.48	5.75
4ek5	6.09	6.37
4fkg	4.67	6.03
4fki	4.23	6.83
4ek6	6.04	7.14
4fjk	6.55	5.32
4ek8	7.11	6.91
3sw4	6.02	6.44
3sw7	6.64	7.21
4fko	6.11	6.98
4fkp	6.54	7.31
4fkq	6.28	6.72
4fkr	6.64	7.06
4fks	6.28	6.74
4fkt	5.97	6.53
4fku	7.01	6.74
4fkv	6.60	7.41
4fkw	7.33	7.07
