PDB	Labels	Predictions
1gm8	4.80	5.12
1gpk	5.37	6.82
1hnn	6.24	6.90
1hp0	6.70	7.97
1hq2	6.77	5.30
1hvy	6.17	5.46
1hwi	7.55	6.48
1hww	7.70	4.95
1ia1	7.47	4.25
1j3j	8.01	4.46
1jd0	8.24	7.19
1jje	8.43	4.12
1ke5	6.25	6.36
1kzk	10.40	8.41
1l2s	4.59	2.86
1l7f	9.10	7.03
1lpz	7.60	8.38
1lrh	6.82	5.50
1m2z	7.22	8.60
1mmv	7.24	4.61
1n1m	5.70	6.52
1n2v	4.08	4.47
1n46	10.52	8.55
1nav	7.60	8.29
1of1	4.82	4.60
1of6	6.05	3.65
1opk	9.82	7.32
1oq5	7.68	8.04
1owe	6.20	6.45
1oyt	7.24	6.53
1p2y	5.00	5.34
1p62	4.66	7.87
1pmn	8.15	7.26
1q1g	8.57	6.91
1q41	7.66	6.98
1q4g	6.89	5.62
1r1h	8.92	7.75
1r55	6.80	5.96
1r58	6.96	7.52
1r9o	5.02	5.72
1s19	9.51	8.26
1s3v	7.42	7.71
1sg0	7.47	4.94
1sj0	9.10	8.39
1sq5	4.39	5.40
1sqn	9.40	8.94
1t40	7.96	7.43
1t46	6.38	7.77
1t9b	6.90	5.88
1tow	6.24	6.20
1tt1	7.19	7.88
1u1c	5.37	5.12
1uml	7.52	8.63
1unl	6.70	6.36
1uou	7.70	5.91
1v0p	6.89	6.24
1v48	8.16	10.22
1v4s	6.44	4.83
1vcj	4.59	4.07
1w1p	2.30	2.68
1w2g	4.57	3.40
1xm6	6.38	5.25
1xoq	9.17	8.43
1xoz	8.92	7.80
1y6b	7.42	8.27
1ygc	9.46	7.27
1yqy	7.62	5.73
1ywr	7.49	7.73
1z95	7.12	8.50
2bm2	7.82	7.04
2br1	5.14	6.91
2bsm	5.82	7.23
