PDB	Labels	Predictions
3m1k	5.39	3.80
3rz1	8.74	8.99
5u6d	8.59	7.69
5tuy	6.35	6.28
4u6r	7.85	7.63
6hky	9.34	8.16
3bkl	6.17	6.08
2rcw	8.10	7.04
5alg	7.52	7.55
5k0f	6.07	6.72
4x8v	6.89	6.97
5wev	6.82	7.52
2ei6	7.39	8.34
2xkd	5.64	5.37
5j9f	7.23	6.91
6s9x	6.42	7.59
6nlj	4.82	4.88
1ett	5.89	6.04
6ugq	7.55	7.60
3hvk	8.52	8.12
3wym	9.52	9.02
4leq	6.54	6.92
2p8n	3.15	3.49
3iej	6.66	6.88
5aae	7.46	7.26
5teh	7.55	7.85
5xij	7.30	6.98
3gt9	3.96	5.80
6ouv	5.55	5.91
6knh	3.55	3.51
4w9x	7.40	7.44
2wkt	4.31	4.55
4uv8	6.47	6.47
4p02	6.40	6.37
2ghg	8.82	7.97
5a3s	8.68	8.24
4cwo	5.21	6.16
4i7l	3.99	4.03
6abk	1.95	2.55
6myn	7.85	8.46
5wr7	8.96	7.70
6hys	5.59	5.48
1o4d	3.52	2.93
3aas	4.51	5.23
1pf8	7.51	6.81
6mjf	5.16	5.31
2j7e	7.32	5.99
5x73	6.74	7.29
6mmo	3.35	4.08
6nfg	4.11	4.69
1ai7	4.09	3.68
4fcb	8.54	7.69
1qj1	8.05	7.61
1qhr	6.89	7.47
4u70	5.02	5.14
2p83	7.96	7.96
2p2h	7.17	6.96
4qpd	7.82	7.75
3b3x	3.60	3.92
5eob	9.62	7.81
3fhe	8.60	7.05
4hai	8.10	7.73
6gjl	3.86	4.27
5jv0	5.96	6.23
6gcw	8.64	7.93
4hdc	8.92	8.55
5aia	5.20	4.50
4bhi	7.05	6.03
3n3g	7.24	6.25
5swh	7.59	7.77
4tpm	8.62	7.88
4klv	3.78	4.16
1xbc	7.92	7.92
1hk1	5.64	6.24
3dkj	5.70	5.06
2bxt	8.52	8.22
6pgx	9.21	9.25
3e6v	6.83	7.11
6ey7	4.30	4.25
6g3c	6.91	7.73
4jnm	8.52	7.44
5zfi	5.92	6.63
1o0o	5.10	4.18
5q0p	7.41	7.20
6cvf	6.35	4.71
4qsx	1.74	2.83
6aej	6.15	5.39
5lvr	3.60	4.12
1hk3	6.59	6.24
4ded	7.42	7.22
5y0x	5.11	6.43
3mj1	7.82	8.04
4tpw	4.69	6.26
6fa5	6.75	6.74
5za2	5.77	6.17
5kr1	9.49	9.57
5tol	7.48	7.67
5j7q	4.58	5.66
3v4j	5.04	5.03
5o5a	4.77	6.17
2brg	5.21	5.87
4gg5	9.03	7.87
4amy	10.82	8.40
3mhl	7.25	7.56
4kiq	7.64	7.00
4pin	5.40	5.13
4ei4	8.74	8.28
2nt7	6.52	6.98
5l6p	7.26	7.78
4uiu	7.90	7.06
3dnt	4.74	4.53
2viz	6.22	6.90
3oqf	7.04	6.83
6dvm	8.52	8.27
3ihz	6.80	6.91
3sb0	5.26	6.33
4a4f	2.88	2.97
4hbv	4.64	4.45
4xkb	6.10	6.23
5jcj	4.42	4.66
3pd8	6.46	5.87
5kks	8.70	7.27
1ung	6.80	6.45
2o8h	7.60	8.34
4hxl	5.66	6.38
3vi5	5.68	7.05
4r92	7.41	7.06
3mzc	6.65	7.77
4qtl	6.92	8.23
4di2	8.26	9.13
5hzx	8.55	8.31
4q7v	3.59	3.36
6bhv	5.23	6.93
2ckm	8.82	6.83
4mk0	5.20	6.56
4r5t	6.10	6.12
1y2e	6.80	6.38
3iaf	2.92	3.53
4fli	5.44	5.24
4zei	5.88	5.74
5h1t	3.80	3.68
2gh6	4.95	6.05
4ona	8.15	8.10
5umy	6.97	7.21
5uga	6.79	6.85
5nuu	8.20	8.02
1lhg	7.10	7.99
3iod	4.10	5.01
5eak	9.30	9.21
6q54	6.49	5.83
5w6e	8.04	7.22
2i4u	11.57	10.20
2qcg	4.00	4.78
4o3f	5.56	5.17
5khi	6.77	5.29
4iif	5.18	4.35
3kqy	4.82	5.63
4k6i	6.20	5.85
4z0q	8.17	8.85
4x3u	5.09	4.10
4mma	6.04	5.30
6c8c	6.38	6.35
6c3u	5.40	5.84
3tzm	7.77	8.14
2ww2	4.85	5.08
2xru	7.51	8.18
3abu	5.62	6.61
4n00	8.02	7.90
4cc6	6.64	6.90
5zo8	8.20	6.84
2v12	9.05	8.23
6j06	6.59	5.95
4yne	8.52	7.57
5fck	8.22	8.04
5fut	6.45	6.19
3f3u	4.74	6.88
4bb4	6.72	6.79
2fwy	6.70	6.87
6fe0	6.48	6.52
1w1d	6.52	5.63
2xgo	3.00	3.30
5ak4	4.23	4.01
6pid	4.54	3.73
6f6s	2.89	3.29
5ehv	3.08	3.72
4tmr	7.22	7.28
1bl7	7.72	7.35
4o05	7.43	7.12
2qi7	10.21	9.44
6mmc	3.61	4.16
3d4q	10.52	7.96
4cix	4.47	4.80
4xx4	7.36	6.61
5aqt	3.51	3.68
5fqv	6.21	7.84
6fsy	6.61	6.15
3t6y	5.52	6.07
1v2l	4.29	4.39
2oz6	5.26	5.35
1ca8	9.49	8.84
6m8a	5.26	5.12
5sym	6.55	6.43
5t19	4.49	5.14
4pb2	4.80	4.24
3qd3	8.00	8.02
1w1y	2.62	3.24
5mys	4.30	4.96
4cwf	4.49	5.13
4nh8	8.52	8.01
5q0q	6.11	6.31
1aw1	1.05	1.44
2wi6	6.64	6.94
4e3d	2.30	3.21
4eqc	8.10	7.67
6gcr	8.33	7.87
6cpw	8.25	8.47
5alw	5.15	5.24
3c4h	5.70	5.20
4pid	4.62	4.63
2ou7	3.81	3.68
4djq	10.32	10.74
3ljg	7.73	7.36
6iez	6.52	6.22
2w97	0.96	1.54
3djq	2.98	3.86
1f5l	5.28	5.65
5toz	9.46	7.90
3f8w	4.08	4.27
3fuh	2.70	3.02
4r5v	6.15	6.03
5l8c	7.00	6.65
4qyg	8.39	6.77
5h9r	6.08	6.05
2f81	10.52	8.18
2xyd	6.82	7.67
5yfs	4.86	4.78
5tkd	8.15	8.12
2zm3	6.21	6.65
5tob	8.82	7.82
4l0s	6.84	7.02
3pb9	6.58	5.78
3vbq	9.33	8.96
4euv	6.30	6.12
4i6f	8.30	7.89
6j8r	6.12	5.87
4mwc	5.87	6.98
4a4l	7.82	8.14
3e6k	5.15	7.11
2g9q	6.40	4.88
3mrv	3.74	4.87
4lbu	6.56	7.03
4nah	6.31	7.59
5kls	6.71	6.32
4bt3	3.12	3.04
1g9s	3.61	3.92
1o46	8.00	7.36
4dbn	8.15	8.53
5khx	7.85	7.95
4wp7	6.10	5.94
6o5u	4.38	4.42
6gjw	4.96	5.20
5dx4	6.86	6.48
4mp2	5.45	6.37
4yih	4.66	6.11
3f36	2.89	2.86
5ei8	8.10	7.65
