PDB	Labels	Predictions
10gs	6.40	4.70
1bcu	3.28	3.32
1e66	9.89	7.35
1f8b	5.40	2.09
1f8c	7.40	3.43
1f8d	3.40	2.24
1gpk	5.37	7.10
1h23	8.35	6.87
1hfs	8.70	8.24
1hnn	6.24	7.23
1lbk	3.18	5.50
1lol	6.39	4.83
1loq	3.70	3.39
1lor	11.06	11.06
1mq6	11.15	8.58
1n1m	5.70	4.62
1n2v	4.08	3.99
1nvq	8.25	8.85
1o3f	7.96	6.08
1o5b	5.77	6.54
1os0	6.03	7.76
1oyt	7.24	6.46
1p1q	4.89	5.39
1ps3	2.28	3.34
1r5y	6.46	4.08
1sqa	9.21	7.14
1u1b	7.80	3.76
1u33	4.60	1.81
1uto	2.27	2.20
1vso	4.72	6.66
1w4o	5.22	4.70
1xd0	7.12	1.60
1yc1	6.17	7.49
1z95	7.12	9.14
2brb	4.86	5.53
2cbj	8.27	11.40
2cet	8.02	7.20
2d1o	7.70	7.66
2fvd	8.52	7.11
2g70	7.77	5.79
2hb1	3.80	2.35
2iwx	6.68	5.53
2j62	11.34	9.42
2j78	6.42	5.54
2jdm	5.40	5.62
2jdu	6.72	5.62
2jdy	4.37	5.64
2obf	8.85	7.71
2ole	7.25	8.48
2p4y	9.00	7.72
2pq9	8.11	5.29
2qbp	8.40	6.93
2qbr	6.33	6.30
2qft	5.26	3.92
2v00	3.66	3.48
2v7a	8.30	7.11
2vl4	6.01	5.11
2vo5	4.89	5.83
2vot	7.14	6.35
2vvn	7.30	6.42
2vw5	8.52	7.05
2w66	4.05	5.59
2wbg	4.45	6.56
2wca	5.60	7.94
2weg	6.50	6.28
2wtv	8.74	7.95
2x00	11.33	8.67
2x0y	4.60	3.32
2x8z	7.96	8.58
2x97	5.66	6.35
2xb8	7.59	7.27
2xbv	8.43	8.48
2xdl	3.10	3.56
2xhm	6.80	7.15
2xnb	6.83	7.58
2xy9	9.19	8.01
2xys	7.42	7.17
2y5h	5.79	7.65
2yfe	6.63	6.40
2yge	5.06	5.46
2yki	9.46	6.76
2ymd	3.16	5.46
2zcq	8.82	7.14
2zcr	6.87	8.26
2zjw	7.70	6.48
2zwz	7.79	4.56
2zx6	10.60	11.56
2zxd	5.22	6.58
3acw	4.76	5.73
3ag9	8.05	7.20
3ao4	2.07	2.78
3b68	8.40	8.51
3bfu	6.27	5.06
3bkk	6.08	7.44
3cft	4.19	6.09
3coy	6.02	3.66
3cyx	8.00	7.05
3d4z	4.89	4.57
3dd0	9.00	8.64
3dxg	2.40	4.65
3e93	8.85	8.55
3ebp	5.91	6.54
3ehy	5.85	7.07
3ejr	8.57	7.30
3f17	8.63	7.91
3f3c	6.02	3.30
3f80	4.22	4.30
3fcq	2.77	2.35
3fk1	2.62	4.09
3fv1	9.30	8.84
3g0w	9.52	8.58
3g2n	4.09	4.84
3g2z	2.36	2.84
3gbb	6.90	5.90
3gcs	7.25	8.43
3ge7	8.70	7.45
3gy4	5.10	1.97
3huc	5.99	6.56
3i3b	2.23	3.32
3imc	2.96	2.85
3ivg	4.30	5.63
3jvs	6.54	7.74
3k5v	6.30	7.18
3kgp	2.57	2.39
3kv2	7.32	5.42
3kwa	4.08	3.40
3l3n	8.18	8.41
3l7b	2.40	3.37
3lka	2.82	7.69
3mfv	2.52	4.01
3mss	4.66	6.91
3muz	3.46	3.79
3myg	10.70	8.62
3n7a	3.70	3.86
3n86	5.64	6.45
3nox	8.66	9.22
3nq3	3.78	5.90
3nw9	9.00	7.56
3oe5	6.88	7.56
3owj	6.07	7.87
3ozt	4.13	6.57
3pe2	9.76	8.23
3pww	7.32	5.83
3pxf	4.43	4.28
3u9q	4.38	4.48
3udh	2.85	2.96
3ueu	5.24	5.91
3uex	6.92	5.90
3uo4	6.52	6.90
3utu	10.92	8.65
3vd4	4.82	3.79
3vh9	6.24	5.14
3zso	5.12	4.54
3zsx	3.28	3.72
4de1	5.96	4.98
4de2	4.12	4.37
4des	5.85	5.87
4dew	7.00	5.86
4djr	11.52	10.34
4djv	6.72	7.67
4g8m	7.89	6.66
4gid	10.77	7.91
4gqq	2.89	1.77
4tmn	10.17	7.51
