PDB	Labels	Predictions
2are	3.28	3.68
2oag	8.47	8.99
2jbj	9.70	9.84
2pwd	4.40	3.88
2pwg	4.82	3.77
2oym	5.00	5.51
2hzy	7.39	4.96
2ihj	4.59	5.40
2ojg	5.64	6.95
2hzl	6.57	4.56
2ovv	7.92	7.41
2nta	4.80	5.25
2qu6	8.52	7.87
2pog	9.54	7.45
2o4j	10.10	9.42
3b92	8.00	5.68
2p98	6.19	5.71
2z4b	9.36	8.41
2jj3	9.55	7.93
2h15	5.67	8.42
2pov	7.12	5.76
2pow	7.20	5.46
2nmx	5.57	5.87
1vso	4.72	6.66
2p95	9.37	7.35
2p16	10.10	8.07
2flr	6.10	6.58
2pgz	5.74	5.57
2bys	9.52	6.51
2gkl	5.35	5.12
2nsl	4.68	6.35
2nsj	4.79	6.35
2c92	5.68	4.63
2c94	6.82	4.55
2nnq	8.70	6.99
2psv	7.24	8.81
2cem	7.92	9.57
2cen	8.30	9.48
2q54	9.01	8.63
2b3f	6.03	5.83
2bbf	5.10	5.88
2e2r	8.26	6.62
2gz2	5.22	4.66
2hr6	4.92	4.18
2idz	9.40	5.96
2ihk	4.16	5.40
2jff	3.62	3.62
2oiq	4.94	6.48
2otz	3.63	3.68
2ou0	3.23	3.51
2pjo	0.05	2.46
2pzv	3.87	5.13
2q88	5.80	2.90
2q89	6.30	4.79
2qeh	8.62	6.72
2qvu	6.44	6.81
2r3d	-0.15	2.46
2r5p	8.48	9.80
2rde	7.01	5.53
2v8q	4.61	5.22
3b50	7.55	6.09
3bgq	7.96	7.09
3bgz	6.26	5.94
2v8y	5.71	5.68
2jgb	5.61	6.15
1gja	5.42	5.99
1swk	12.00	10.47
1toi	4.05	6.20
1iup	2.54	7.11
1tog	3.22	6.20
1uto	2.27	2.20
1ukb	3.19	6.16
2cjp	3.10	4.30
1vot	6.60	7.10
2fx6	3.70	3.22
2c1q	13.00	6.78
2e2p	4.74	5.18
2epn	7.22	6.68
2i2c	4.70	3.83
2j4k	4.85	3.97
2jdu	6.72	5.62
2jdy	4.37	5.64
2jke	4.23	3.91
2p3t	11.30	8.68
2p4y	9.00	7.72
2p7g	6.53	6.62
2pqc	5.74	7.99
2q6m	6.29	6.22
2q8z	5.68	7.16
2qbq	7.44	7.82
2qbr	6.33	6.30
2qdt	5.19	4.70
2qhy	7.48	10.19
2qhz	7.28	10.06
2qi1	7.30	9.82
2qi3	10.20	9.63
2qi4	10.44	9.86
2qi5	10.85	9.54
2qi6	10.57	9.99
2qmg	9.15	8.64
2qnq	6.11	6.15
2qrl	4.00	6.18
2qry	8.64	8.32
2r6w	9.36	8.47
2r75	6.15	6.50
2reg	5.57	4.45
2rkd	2.72	3.15
2uwl	8.40	7.45
2uwp	6.81	7.42
2uy4	4.68	5.96
2v2c	3.41	3.20
2v77	5.06	6.11
2v7t	7.48	5.83
2v7u	5.90	5.52
2v7v	6.66	5.70
2vhw	5.09	6.86
2vkm	8.74	8.47
2vmd	3.02	5.02
2vpn	6.72	5.01
2vuk	3.82	4.44
2vw5	8.52	7.05
2w26	9.40	6.94
2zmm	7.60	7.69
2zn7	7.89	8.06
3b3c	3.98	5.86
3b7r	7.70	8.48
3bex	5.57	2.61
3bl0	6.92	8.23
3brn	8.70	5.15
3bu1	8.15	4.21
3bxe	5.48	3.70
3c2f	2.00	4.42
3c2o	3.35	3.69
3c2r	3.11	3.76
3c7i	5.64	6.75
3ccw	7.87	8.06
3ccz	7.29	8.27
3cd7	7.84	8.17
3czv	7.80	7.84
3d2r	5.48	3.86
3d51	4.15	3.30
3d83	8.36	7.71
3ddg	6.00	6.88
3dp4	7.37	6.24
3e92	8.00	8.26
3eko	6.70	4.18
3ekr	5.55	6.70
3ene	6.24	5.66
3eqr	8.70	9.27
3f8c	7.68	6.58
3fat	7.64	4.43
