PDB	Labels	Predictions
4fud	6.35	4.91
4fue	7.23	7.45
4fu7	6.20	7.08
4fu8	5.23	5.93
4fu9	6.20	7.54
4fub	6.21	7.36
4fuc	7.40	7.16
4fsm	7.62	8.03
4fsw	4.76	7.84
4ft5	7.56	8.49
4fsn	7.70	8.25
4fsz	6.97	7.13
4ft7	8.87	8.51
4ft0	7.11	8.15
4ft9	7.69	8.08
4fta	7.39	7.87
4ftc	7.63	8.03
4fsq	8.80	7.37
4fsr	7.94	8.26
4fst	8.28	7.74
4fw3	7.23	8.36
4fw4	8.08	8.84
4fw5	7.48	7.87
4fw6	7.70	8.59
4fw7	7.13	7.71
4fux	6.00	8.73
4fuy	6.09	8.02
4fv0	5.59	8.49
4fv1	7.08	7.86
4fv2	7.68	8.13
4fv3	7.74	8.33
4ev4	7.40	7.35
4fv5	7.70	7.66
4fv7	7.57	7.34
4fv8	7.82	7.69
4fv9	6.72	8.27
4fx3	8.07	7.02
4ek4	4.48	4.64
4ek5	6.09	5.94
4fkg	4.67	5.94
4fki	4.23	6.61
4ek6	6.04	6.45
4fjk	6.55	4.72
4ek8	7.11	7.31
3sw4	6.02	6.61
3sw7	6.64	7.28
4fko	6.11	6.87
4fkp	6.54	6.94
4fkq	6.28	7.09
4fkr	6.64	7.36
4fks	6.28	7.43
4fkt	5.97	6.57
4fku	7.01	7.02
4fkv	6.60	7.21
4fkw	7.33	7.45
