PDB	Labels	Predictions
1a8i	5.52	3.80
1a99	5.70	3.80
1ax0	3.13	4.52
1b6l	8.30	7.64
1b6m	8.40	7.58
1duv	11.80	4.82
1dy4	4.36	6.10
1e2k	4.94	4.94
1fcx	7.12	7.13
1g2k	7.96	7.92
1gj8	6.96	7.30
1gjd	5.22	6.71
1gpk	5.37	7.14
1gyy	3.64	5.26
1h22	9.10	8.00
1h23	8.35	8.00
1h46	3.57	6.44
1hnn	6.24	7.61
1iy7	6.19	6.11
1kzk	10.39	8.18
1lrh	6.82	5.74
1nc1	6.12	6.42
1nc3	5.00	5.21
1nli	3.59	4.96
1nw5	5.21	3.93
1ow4	5.68	5.92
1p1n	6.80	6.28
1p1o	5.76	4.63
1ps3	2.28	4.24
1pxp	6.66	6.55
1r5y	6.46	5.03
1s38	5.15	6.07
1s39	7.70	5.96
1sr7	10.10	8.33
1sw1	7.30	3.80
1syh	6.41	5.22
1syi	5.48	5.22
1toj	3.39	4.40
1tok	2.47	4.48
1u1w	5.85	4.30
1ua4	4.22	3.72
1ui0	7.06	3.72
1utm	3.01	2.79
1uwu	5.98	4.52
1uz1	6.89	5.84
1uz4	3.40	4.62
1v1j	4.82	4.54
1w2g	4.57	3.35
1x8d	2.21	3.39
1xge	4.68	4.64
1y1m	1.82	6.06
1y1z	3.08	6.25
1y20	5.32	6.27
1yc1	6.17	7.67
1ydk	5.89	6.31
1z95	7.12	8.31
2aac	2.22	3.83
2afx	5.15	5.08
2ayr	9.29	8.79
2azr	3.64	4.44
2b07	6.43	7.60
2boh	8.52	7.89
2boj	5.77	4.94
2brb	4.86	6.61
2bvd	6.00	6.06
2byr	8.55	8.47
2cji	8.22	7.62
2fai	6.24	7.39
2fdp	7.59	7.36
2ff1	8.21	7.70
2fpz	3.96	4.19
2fqt	6.14	6.82
2fqw	6.68	3.24
2fqx	7.15	4.24
2fqy	6.57	3.03
2fvd	8.52	7.10
2fw6	2.92	3.58
2fxu	8.15	8.67
2h6b	5.39	4.44
2hb1	3.80	4.57
2hdq	1.40	4.51
2hdr	1.72	4.59
2i0a	11.40	10.68
2i0d	12.10	10.59
2il2	7.10	7.85
2iwx	6.68	6.93
2j2u	7.05	7.98
2j34	7.82	8.04
2j4i	9.00	7.37
2j78	6.42	4.89
1bcj	3.70	4.43
1bky	3.84	4.44
1d4i	8.85	8.92
1d4j	8.36	8.51
1eby	9.70	8.02
1ebz	9.40	8.41
1ec0	8.49	8.37
1ec1	8.92	5.56
1ec2	10.00	5.36
1enu	5.08	5.34
1f74	3.05	6.28
1gi9	5.96	5.92
1gww	4.28	4.44
1gx0	4.28	4.44
1o5a	6.42	8.51
1o5r	8.12	7.57
1q4w	6.46	5.03
1qkt	9.04	8.50
1qxl	7.96	7.89
1rdi	2.06	2.55
1rdn	1.84	3.66
1tr7	6.82	6.78
2a3c	4.37	5.87
2fv5	10.52	7.86
2h21	6.54	2.87
2hd6	7.80	7.40
1xl5	7.35	7.97
1y93	2.10	5.83
4ubp	5.59	4.53
1lhw	8.16	6.57
1s9t	6.60	5.93
1tt1	7.19	7.52
1uzv	5.18	4.99
2dm5	2.99	4.98
1xw6	5.62	4.95
2qrk	4.26	3.93
2nn1	5.82	7.59
2pou	7.42	7.73
3cd0	7.57	7.77
3cda	7.58	8.05
