PDB	Labels	Predictions
1gm8	4.80	7.46
1gpk	5.37	8.10
1hnn	6.24	7.06
1hp0	6.70	3.36
1hq2	6.77	3.78
1hvy	6.17	8.56
1hwi	7.55	8.00
1hww	7.70	4.58
1ia1	7.47	5.36
1j3j	8.01	4.51
1jd0	8.24	5.65
1jje	8.43	4.74
1ke5	6.25	7.05
1kzk	10.40	9.77
1l2s	4.59	5.20
1l7f	9.10	7.65
1lpz	7.60	8.80
1lrh	6.82	4.64
1m2z	7.22	8.18
1mmv	7.24	4.36
1n1m	5.70	6.05
1n2v	4.08	4.56
1n46	10.52	9.11
1nav	7.60	6.93
1of1	4.82	5.22
1of6	6.05	4.37
1opk	9.82	6.84
1oq5	7.68	8.74
1owe	6.20	8.14
1oyt	7.24	6.81
1p2y	5.00	5.21
1p62	4.66	7.22
1pmn	8.15	9.44
1q1g	8.57	8.31
1q41	7.66	8.11
1q4g	6.89	5.66
1r1h	8.92	7.69
1r55	6.80	5.74
1r58	6.96	6.05
1r9o	5.02	6.81
1s19	9.51	7.70
1s3v	7.42	7.71
1sg0	7.47	5.04
1sj0	9.10	8.34
1sq5	4.39	4.26
1sqn	9.40	5.61
1t40	7.96	8.93
1t46	6.38	7.55
1t9b	6.90	7.61
1tow	6.24	5.28
1tt1	7.19	7.71
1u1c	5.37	5.16
1uml	7.52	9.01
1unl	6.70	5.73
1uou	7.70	7.08
1v0p	6.89	8.38
1v48	8.16	4.99
1v4s	6.44	7.13
1vcj	4.59	3.72
1w1p	2.30	4.21
1w2g	4.57	2.39
1xm6	6.38	7.72
1xoq	9.17	9.44
1xoz	8.92	10.39
1y6b	7.42	8.82
1ygc	9.46	8.82
1yqy	7.62	7.02
1ywr	7.49	8.30
1z95	7.12	8.16
2bm2	7.82	6.87
2br1	5.14	8.20
2bsm	5.82	7.96
