PDB	Labels	Predictions
1bcu	3.28	4.78
1bzc	4.92	7.20
1c5z	4.01	4.02
1e66	9.89	9.47
1eby	9.70	6.55
1g2k	7.96	7.78
1gpk	5.37	7.69
1gpn	6.48	7.66
1h22	9.10	7.00
1h23	8.35	7.00
1k1i	6.58	6.02
1lpg	7.09	8.76
1mq6	11.15	8.62
1nc1	6.12	6.93
1nc3	5.00	5.49
1nvq	8.25	8.98
1o0h	5.92	4.47
1o3f	7.96	6.74
1o5b	5.77	6.00
1owh	7.40	6.25
1oyt	7.24	7.28
1p1n	6.80	6.08
1p1q	4.89	4.42
1ps3	2.28	4.15
1pxn	7.15	7.61
1qf1	7.32	7.88
1qkt	9.04	10.18
1r5y	6.46	3.37
1s38	5.15	5.37
1sqa	9.21	8.13
1syi	5.44	4.47
1u1b	7.80	6.90
1uto	2.27	2.31
1vso	4.72	8.49
1w4o	5.22	4.43
1y6r	10.11	8.35
1yc1	6.17	6.57
1z6e	9.72	8.00
1z95	7.12	8.11
1z9g	5.64	4.90
2al5	8.40	5.05
2br1	5.14	7.08
2brb	4.86	7.10
2cbv	5.48	6.89
2cet	8.02	8.47
2fvd	8.52	6.63
2fxs	6.06	5.60
2hb1	3.80	3.52
2iwx	6.68	6.31
2j78	6.42	5.07
2j7h	7.19	7.89
2p15	10.30	9.11
2p4y	9.00	6.86
2pog	9.54	10.72
2qbp	8.40	6.59
2qbq	7.44	6.30
2qbr	6.33	6.29
2qe4	7.96	9.39
2qnq	6.11	6.37
2r9w	5.10	4.55
2v00	3.66	2.96
2v7a	8.30	7.54
2vkm	8.74	7.59
2vvn	7.30	7.10
2vw5	8.52	6.54
2w4x	4.85	4.85
2w66	4.05	5.34
2wbg	4.45	6.15
2wca	5.60	6.41
2weg	6.50	6.48
2wer	7.05	5.68
2wn9	8.52	7.17
2wnc	6.32	6.56
2wtv	8.74	7.84
2wvt	6.12	6.18
2x00	11.33	9.54
2xb8	7.59	6.59
2xbv	8.43	7.47
2xdl	3.10	4.52
2xii	7.20	8.55
2xj7	6.66	5.51
2xnb	6.83	5.86
2xys	7.42	7.84
2y5h	5.79	8.25
