PDB	Labels	Predictions
3m1k	5.39	3.90
6pgb	4.60	4.29
3rz1	8.74	9.23
6fnt	4.68	4.53
4ww8	10.17	10.63
5ap7	6.29	6.79
4alx	7.28	7.53
5tuy	6.35	6.65
4u6r	7.85	7.04
1moq	3.46	3.39
1uyg	4.27	4.64
4qyy	7.30	8.10
5alg	7.52	7.43
5k0f	6.07	6.61
4x8v	6.89	7.38
2ei6	7.39	7.77
2xkd	5.64	5.27
5j9f	7.23	6.84
6nlj	4.82	4.45
3sfh	7.05	7.58
1ett	5.89	5.62
6ugq	7.55	6.95
3hvk	8.52	7.96
2p8n	3.15	2.47
3iej	6.66	6.63
2k0g	6.97	5.31
5teh	7.55	7.60
3gt9	3.96	3.52
6knh	3.55	3.06
3hwx	7.86	8.85
4w9x	7.40	7.05
2wkt	4.31	4.23
4uv8	6.47	5.79
4d8s	6.49	6.89
4p02	6.40	6.32
3udd	7.10	6.46
5a3s	8.68	8.77
5ccl	4.77	5.47
4i7l	3.99	3.82
4ec0	6.07	6.64
6abk	1.95	1.23
6myn	7.85	8.10
6hys	5.59	5.62
1o4d	3.52	3.08
3khv	1.85	1.97
1pf8	7.51	7.13
6mjf	5.16	5.54
5y6k	6.07	5.37
5wip	4.71	4.69
6mmo	3.35	3.12
4g0z	2.21	1.86
2kaw	4.97	4.58
1ai7	4.09	4.22
6skd	5.80	6.14
4fcb	8.54	8.86
1qj1	8.05	7.83
1qhr	6.89	7.13
4u70	5.02	4.86
2p83	7.96	7.39
2p2h	7.17	7.57
4qpd	7.82	7.90
3b3x	3.60	3.44
6fs1	7.01	7.28
4hai	8.10	7.87
6gjl	3.86	3.82
6gcw	8.64	8.44
3f19	7.19	7.73
6q37	6.36	6.41
5j20	9.14	9.13
5ny1	6.44	6.99
4bhi	7.05	7.14
5swh	7.59	7.24
1xbc	7.92	7.84
4l6s	8.52	8.18
3r0y	4.84	4.17
3dkj	5.70	5.74
3s56	9.62	8.43
5i9x	7.52	7.74
3e6v	6.83	7.11
6ey7	4.30	4.54
4w4y	6.46	6.57
6fba	4.70	4.29
5q0p	7.41	7.31
6cvf	6.35	4.65
5xfj	8.22	7.93
4qsx	1.74	1.74
5lvr	3.60	3.42
4ded	7.42	7.42
5y0x	5.11	5.30
3hmm	7.60	7.66
1b74	1.30	1.09
3mj1	7.82	7.28
4tpw	4.69	4.24
2c02	4.04	4.14
6fa5	6.75	7.64
5za2	5.77	6.36
5tol	7.48	7.05
6jz0	7.82	7.88
5j7q	4.58	4.80
5o5a	4.77	5.12
5mxf	3.59	3.21
2brg	5.21	5.59
5wf3	5.85	6.05
4amy	10.82	11.80
3mhl	7.25	7.46
3zxh	8.52	9.34
4ei4	8.74	9.09
4uiu	7.90	7.75
3dnt	4.74	4.35
4o55	5.30	6.81
2viz	6.22	6.07
5alu	7.66	8.04
3oqf	7.04	7.29
1bm7	7.52	6.70
6dvm	8.52	8.98
3sb0	5.26	5.79
4ijq	7.52	7.81
4a4f	2.88	2.39
3oy1	7.80	7.53
5jcj	4.42	3.97
3pd8	6.46	5.98
5kks	8.70	8.15
1ung	6.80	6.37
4hxl	5.66	5.71
2cex	4.70	7.22
3vi5	5.68	5.57
4r92	7.41	7.86
4di2	8.26	7.88
5nxw	7.24	7.53
5hzx	8.55	8.14
4ie5	4.82	4.58
4q7v	3.59	2.98
2q6c	7.78	8.23
6bhv	5.23	6.16
2ckm	8.82	9.40
4mk0	5.20	5.60
4r5t	6.10	6.13
1y2e	6.80	7.13
6g2r	9.46	9.96
4d83	7.26	7.52
4fli	5.44	5.30
5q0u	6.76	7.08
4ona	8.15	8.83
6dgo	5.47	6.66
3iod	4.10	3.40
5eak	9.30	9.82
2yex	10.00	10.57
