PDB	Labels	Predictions
1gm8	4.80	3.99
1gpk	5.37	5.18
1hnn	6.24	7.67
1hp0	6.70	5.03
1hq2	6.77	7.01
1hvy	6.17	7.53
1hwi	7.55	5.88
1hww	7.70	5.31
1ia1	7.47	8.31
1j3j	8.01	6.38
1jd0	8.24	7.55
1jje	8.43	5.16
1ke5	6.25	6.50
1kzk	10.40	9.84
1l2s	4.59	5.71
1l7f	9.10	7.97
1lpz	7.60	7.80
1lrh	6.82	3.61
1m2z	7.22	8.98
1mmv	7.24	3.88
1n1m	5.70	6.87
1n2v	4.08	4.83
1n46	10.52	9.37
1nav	7.60	7.00
1of1	4.82	7.80
1of6	6.05	4.55
1opk	9.82	7.09
1oq5	7.68	8.08
1owe	6.20	6.27
1oyt	7.24	7.82
1p2y	5.00	5.63
1p62	4.66	4.88
1pmn	8.15	7.19
1q1g	8.57	6.90
1q41	7.66	7.05
1q4g	6.89	4.76
1r1h	8.92	8.00
1r55	6.80	5.45
1r58	6.96	7.93
1r9o	5.02	4.69
1s19	9.51	8.14
1s3v	7.42	6.56
1sg0	7.47	5.30
1sj0	9.10	8.37
1sq5	4.39	6.03
1sqn	9.40	7.34
1t40	7.96	6.59
1t46	6.38	6.48
1t9b	6.90	5.71
1tow	6.24	5.91
1tt1	7.19	7.79
1u1c	5.37	6.46
1uml	7.52	7.55
1unl	6.70	6.80
1uou	7.70	5.07
1v0p	6.89	5.93
1v48	8.16	5.89
1v4s	6.44	6.44
1vcj	4.59	6.38
1w1p	2.30	5.90
1w2g	4.57	4.08
1xm6	6.38	5.30
1xoq	9.17	9.10
1xoz	8.92	8.18
1y6b	7.42	7.64
1ygc	9.46	6.96
1yqy	7.62	6.99
1ywr	7.49	8.35
1z95	7.12	9.43
2bm2	7.82	7.85
2br1	5.14	8.01
2bsm	5.82	5.56
