PDB	Labels	Predictions
4ypw	5.50	5.63
4ypx	4.60	4.61
4ypy	3.80	4.83
4ypz	3.50	4.22
4yq0	4.40	5.60
4yq1	8.30	7.87
4yq2	8.30	6.83
4yq3	6.80	7.36
4yq4	5.70	5.60
4yq5	5.40	5.39
4yq6	6.10	5.53
4yq7	5.20	5.43
4yq8	5.10	4.92
4yq9	6.70	5.73
4yqa	6.30	5.63
4yqb	5.90	5.62
4yqc	6.70	6.18
4yqd	5.10	6.91
4yqg	5.70	4.80
4yqi	4.80	5.28
4yqj	6.20	4.82
4yqk	4.70	4.24
4yql	4.80	6.41
4yqn	5.80	6.24
4yqo	6.30	5.97
4yqp	5.70	5.49
4yqq	6.10	6.09
4yqr	4.00	4.99
4yqs	5.60	4.62
4yqt	6.10	4.62
4yjo	7.90	6.36
4yjp	8.46	6.54
4yjq	7.95	8.05
4yjr	7.69	7.72
4yjs	9.39	6.88
4yjt	8.79	8.32
4yju	7.94	7.81
4yjv	8.55	8.30
4ykr	7.53	6.13
4ykq	7.61	5.66
4ykt	8.28	6.06
4ykw	7.02	7.75
4ykx	5.56	5.37
4ykz	5.06	5.29
4yky	4.30	5.22
4yku	5.12	5.27
