PDB	Labels	Predictions
10gs	6.40	5.08
1bcu	3.28	4.97
1e66	9.89	7.64
1f8b	5.40	3.91
1f8c	7.40	7.09
1f8d	3.40	4.21
1gpk	5.37	6.39
1h23	8.35	9.29
1hfs	8.70	9.57
1hnn	6.24	7.23
1lbk	3.18	4.56
1lol	6.39	5.25
1loq	3.70	4.40
1lor	11.06	8.84
1mq6	11.15	7.60
1n1m	5.70	5.21
1n2v	4.08	4.82
1nvq	8.25	8.60
1o3f	7.96	5.70
1o5b	5.77	5.07
1os0	6.03	7.77
1oyt	7.24	6.36
1p1q	4.89	6.07
1ps3	2.28	5.38
1r5y	6.46	4.03
1sqa	9.21	7.83
1u1b	7.80	4.98
1u33	4.60	5.12
1uto	2.27	3.09
1vso	4.72	7.13
1w4o	5.22	4.83
1xd0	7.12	5.62
1yc1	6.17	6.80
1z95	7.12	6.88
2brb	4.86	6.72
2cbj	8.27	6.82
2cet	8.02	8.19
2d1o	7.70	7.84
2fvd	8.52	6.64
2g70	7.77	5.93
2hb1	3.80	4.04
2iwx	6.68	6.67
2j62	11.34	7.39
2j78	6.42	6.09
2jdm	5.40	4.50
2jdu	6.72	4.54
2jdy	4.37	3.89
2obf	8.85	7.53
2ole	7.25	8.70
2p4y	9.00	7.43
2pq9	8.11	5.98
2qbp	8.40	8.21
2qbr	6.33	8.11
2qft	5.26	3.80
2v00	3.66	4.36
2v7a	8.30	7.18
2vl4	6.01	6.65
2vo5	4.89	6.16
2vot	7.14	8.07
2vvn	7.30	6.99
2vw5	8.52	6.40
2w66	4.05	4.64
2wbg	4.45	6.04
2wca	5.60	7.19
2weg	6.50	6.36
2wtv	8.74	7.10
2x00	11.33	9.83
2x0y	4.60	3.62
2x8z	7.96	5.36
2x97	5.66	7.17
2xb8	7.59	8.36
2xbv	8.43	8.46
2xdl	3.10	4.41
2xhm	6.80	7.02
2xnb	6.83	8.72
2xy9	9.19	7.11
2xys	7.42	6.87
2y5h	5.79	7.29
2yfe	6.63	7.06
2yge	5.06	5.63
2yki	9.46	6.46
2ymd	3.16	5.60
2zcq	8.82	8.33
2zcr	6.87	8.27
2zjw	7.70	7.70
2zwz	7.79	5.81
2zx6	10.60	10.81
2zxd	5.22	5.44
3acw	4.76	7.03
3ag9	8.05	6.79
3ao4	2.07	3.64
3b68	8.40	7.49
3bfu	6.27	3.92
3bkk	6.08	7.30
3cft	4.19	4.36
3coy	6.02	7.89
3cyx	8.00	8.25
3d4z	4.89	5.30
3dd0	9.00	8.24
3dxg	2.40	3.78
3e93	8.85	9.09
3ebp	5.91	6.50
3ehy	5.85	6.85
3ejr	8.57	7.95
3f17	8.63	7.24
3f3c	6.02	3.74
3f80	4.22	4.41
3fcq	2.77	3.48
3fk1	2.62	4.09
3fv1	9.30	8.93
3g0w	9.52	7.49
3g2n	4.09	4.34
3g2z	2.36	4.15
3gbb	6.90	7.56
3gcs	7.25	6.61
3ge7	8.70	8.00
3gy4	5.10	3.96
3huc	5.99	6.62
3i3b	2.23	3.60
3imc	2.96	4.63
3ivg	4.30	5.42
3jvs	6.54	5.31
3k5v	6.30	5.90
3kgp	2.57	3.25
3kv2	7.32	4.45
3kwa	4.08	5.53
3l3n	8.18	6.63
3l7b	2.40	3.86
3lka	2.82	7.12
3mfv	2.52	5.79
3mss	4.66	4.13
3muz	3.46	3.40
3myg	10.70	8.99
3n7a	3.70	3.87
3n86	5.64	5.18
3nox	8.66	8.55
3nq3	3.78	4.71
3nw9	9.00	8.53
3oe5	6.88	8.19
3owj	6.07	5.45
3ozt	4.13	8.97
3pe2	9.76	7.57
3pww	7.32	7.33
3pxf	4.43	4.42
3u9q	4.38	5.07
3udh	2.85	3.88
3ueu	5.24	5.37
3uex	6.92	5.70
3uo4	6.52	8.15
3utu	10.92	8.99
3vd4	4.82	3.34
3vh9	6.24	5.04
3zso	5.12	4.42
3zsx	3.28	4.18
4de1	5.96	5.66
4de2	4.12	4.54
4des	5.85	5.97
4dew	7.00	5.46
4djr	11.52	10.26
4djv	6.72	7.55
4g8m	7.89	5.39
4gid	10.77	9.02
4gqq	2.89	3.68
4tmn	10.17	6.40
