PDB	Labels	Predictions
1a8i	5.52	7.40
1a99	5.70	4.34
1ax0	3.13	5.12
1b6l	8.30	8.38
1b6m	8.40	8.97
1duv	11.80	8.43
1dy4	4.36	4.94
1e2k	4.94	5.94
1fcx	7.12	6.38
1g2k	7.96	10.06
1gj8	6.96	5.16
1gjd	5.22	5.99
1gpk	5.37	6.47
1gyy	3.64	6.69
1h22	9.10	9.38
1h23	8.35	9.33
1h46	3.57	4.83
1hnn	6.24	7.24
1iy7	6.19	6.74
1kzk	10.39	8.58
1lrh	6.82	5.73
1nc1	6.12	6.26
1nc3	5.00	7.02
1nli	3.59	3.59
1nw5	5.21	5.21
1ow4	5.68	4.07
1p1n	6.80	6.79
1p1o	5.76	6.23
1ps3	2.28	5.23
1pxp	6.66	7.07
1r5y	6.46	4.48
1s38	5.15	5.23
1s39	7.70	4.77
1sr7	10.10	6.71
1sw1	7.30	4.54
1syh	6.41	4.55
1syi	5.48	4.99
1toj	3.39	4.09
1tok	2.47	2.88
1u1w	5.85	4.96
1ua4	4.22	4.78
1ui0	7.06	4.78
1utm	3.01	3.09
1uwu	5.98	4.15
1uz1	6.89	4.44
1uz4	3.40	3.30
1v1j	4.82	3.87
1w2g	4.57	2.90
1x8d	2.21	5.45
1xge	4.68	4.51
1y1m	1.82	4.41
1y1z	3.08	4.80
1y20	5.32	5.16
1yc1	6.17	6.92
1ydk	5.89	5.87
1z95	7.12	6.87
2aac	2.22	5.54
2afx	5.15	6.38
2ayr	9.29	8.27
2azr	3.64	4.44
2b07	6.43	6.48
2boh	8.52	8.66
2boj	5.77	4.55
2brb	4.86	6.62
2bvd	6.00	6.29
2byr	8.55	7.57
2cji	8.22	7.87
2fai	6.24	5.82
2fdp	7.59	7.21
2ff1	8.21	7.21
2fpz	3.96	4.48
2fqt	6.14	7.39
2fqw	6.68	4.55
2fqx	7.15	5.52
2fqy	6.57	4.13
2fvd	8.52	6.67
2fw6	2.92	2.97
2fxu	8.15	8.18
2h6b	5.39	5.02
2hb1	3.80	3.97
2hdq	1.40	4.17
2hdr	1.72	3.84
2i0a	11.40	10.06
2i0d	12.10	10.02
2il2	7.10	8.39
2iwx	6.68	6.65
2j2u	7.05	7.43
2j34	7.82	8.01
2j4i	9.00	8.47
2j78	6.42	4.43
1bcj	3.70	6.02
1bky	3.84	2.91
1d4i	8.85	9.30
1d4j	8.36	7.97
1eby	9.70	8.08
1ebz	9.40	8.34
1ec0	8.49	8.85
1ec1	8.92	6.60
1ec2	10.00	7.44
1enu	5.08	3.63
1f74	3.05	7.53
1gi9	5.96	5.10
1gww	4.28	5.48
1gx0	4.28	5.31
1o5a	6.42	6.68
1o5r	8.12	7.08
1q4w	6.46	4.55
1qkt	9.04	7.15
1qxl	7.96	7.52
1rdi	2.06	3.61
1rdn	1.84	4.12
1tr7	6.82	6.31
2a3c	4.37	4.30
2fv5	10.52	7.70
2h21	6.54	4.64
2hd6	7.80	7.61
1xl5	7.35	9.58
1y93	2.10	5.04
4ubp	5.59	5.69
1lhw	8.16	6.00
1s9t	6.60	6.47
1tt1	7.19	7.72
1uzv	5.18	4.57
2dm5	2.99	5.55
1xw6	5.62	4.22
2qrk	4.26	4.05
2nn1	5.82	7.09
2pou	7.42	8.45
3cd0	7.57	8.84
3cda	7.58	8.57
