PDB	Labels	Predictions
3m1k	5.39	5.51
6pgb	4.60	4.63
3rz1	8.74	8.39
6fnt	4.68	4.22
4ww8	10.17	9.11
5ap7	6.29	7.04
4alx	7.28	6.61
5tuy	6.35	6.21
4u6r	7.85	8.23
1moq	3.46	3.92
1uyg	4.27	4.48
4qyy	7.30	7.00
5alg	7.52	6.94
5k0f	6.07	6.07
4x8v	6.89	7.72
2ei6	7.39	7.83
2xkd	5.64	5.24
5j9f	7.23	6.35
6nlj	4.82	4.58
3sfh	7.05	6.53
1ett	5.89	6.22
6ugq	7.55	7.19
3hvk	8.52	8.04
2p8n	3.15	3.51
3iej	6.66	6.39
2k0g	6.97	5.60
5teh	7.55	7.66
3gt9	3.96	5.53
6knh	3.55	3.13
3hwx	7.86	8.06
4w9x	7.40	7.29
2wkt	4.31	4.44
4uv8	6.47	6.22
4d8s	6.49	6.96
4p02	6.40	6.08
3udd	7.10	7.42
5a3s	8.68	7.43
5ccl	4.77	4.93
4i7l	3.99	3.80
4ec0	6.07	6.28
6abk	1.95	3.38
6myn	7.85	7.87
6hys	5.59	5.23
1o4d	3.52	3.84
3khv	1.85	2.68
1pf8	7.51	6.81
6mjf	5.16	5.51
5y6k	6.07	5.71
5wip	4.71	4.44
6mmo	3.35	3.79
4g0z	2.21	4.62
2kaw	4.97	5.61
1ai7	4.09	3.69
6skd	5.80	6.87
4fcb	8.54	8.37
1qj1	8.05	8.16
1qhr	6.89	7.08
4u70	5.02	4.59
2p83	7.96	7.84
2p2h	7.17	8.05
4qpd	7.82	5.95
3b3x	3.60	4.55
6fs1	7.01	7.98
4hai	8.10	8.55
6gjl	3.86	3.27
6gcw	8.64	8.07
3f19	7.19	7.59
6q37	6.36	6.42
5j20	9.14	8.19
5ny1	6.44	7.72
4bhi	7.05	6.58
5swh	7.59	8.76
1xbc	7.92	7.24
4l6s	8.52	8.47
3r0y	4.84	6.30
3dkj	5.70	5.01
3s56	9.62	8.14
5i9x	7.52	7.50
6ey7	4.30	4.41
4w4y	6.46	6.73
6fba	4.70	5.13
5q0p	7.41	7.13
6cvf	6.35	6.22
5xfj	8.22	7.46
4qsx	1.74	2.77
5lvr	3.60	3.18
4ded	7.42	8.05
5y0x	5.11	5.38
3hmm	7.60	7.21
1b74	1.30	2.98
3mj1	7.82	7.02
4tpw	4.69	5.05
2c02	4.04	4.13
6fa5	6.75	4.90
5za2	5.77	6.01
5tol	7.48	8.32
6jz0	7.82	7.29
5j7q	4.58	4.58
5o5a	4.77	4.90
5mxf	3.59	3.35
2brg	5.21	5.38
5wf3	5.85	5.51
4amy	10.82	10.31
3mhl	7.25	7.58
3zxh	8.52	7.00
4ei4	8.74	8.89
4uiu	7.90	8.55
3dnt	4.74	5.10
4o55	5.30	5.76
2viz	6.22	7.39
5alu	7.66	8.16
3oqf	7.04	6.75
1bm7	7.52	5.23
6dvm	8.52	8.38
3sb0	5.26	5.85
4ijq	7.52	6.20
4a4f	2.88	3.06
3oy1	7.80	7.84
5jcj	4.42	5.46
3pd8	6.46	5.92
5kks	8.70	8.62
1ung	6.80	6.57
4hxl	5.66	6.03
2cex	4.70	4.49
3vi5	5.68	6.27
4r92	7.41	7.61
4di2	8.26	8.58
5nxw	7.24	7.80
5hzx	8.55	8.57
4ie5	4.82	5.14
4q7v	3.59	3.36
2q6c	7.78	7.99
6bhv	5.23	6.66
2ckm	8.82	8.41
4mk0	5.20	5.07
4r5t	6.10	7.26
1y2e	6.80	6.44
6g2r	9.46	9.23
4d83	7.26	7.61
4fli	5.44	5.23
5q0u	6.76	5.59
4ona	8.15	7.89
6dgo	5.47	5.23
3iod	4.10	4.35
5eak	9.30	8.83
2yex	10.00	8.78
2i4u	11.57	10.45
6i63	7.01	6.80
2qcg	4.00	4.01
6fu5	7.50	7.57
4o3f	5.56	4.76
5khi	6.77	6.15
4iif	5.18	4.57
3kqy	4.82	4.19
4k6i	6.20	6.20
4x3u	5.09	4.78
4mma	6.04	5.80
5u69	6.22	6.63
3tzm	7.77	7.51
2cmc	5.76	5.18
2ww2	4.85	4.53
4x0f	7.00	6.49
2xru	7.51	7.55
3abu	5.62	5.61
6gnr	5.44	4.24
4n00	8.02	6.95
4cc6	6.64	6.70
3uvq	7.77	7.23
2v12	9.05	8.59
5am4	6.95	6.59
6rfi	7.43	7.89
5fck	8.22	8.28
5fut	6.45	6.58
5ywg	8.34	7.81
3f3u	4.74	5.13
4bb4	6.72	6.79
2fwy	6.70	6.37
3ipb	6.70	7.30
6fe0	6.48	6.52
5kh3	4.22	3.35
1w1d	6.52	6.70
3n0n	7.30	8.31
1j37	8.96	6.80
5tq4	8.38	7.23
4tmr	7.22	7.06
1bl7	7.72	6.05
3d4q	10.52	10.15
4cix	4.47	4.65
4xx4	7.36	8.12
5aqt	3.51	3.64
5fqv	6.21	6.49
1v2l	4.29	3.83
2oz6	5.26	4.84
4hyh	9.00	9.17
1ca8	9.49	9.32
6m8a	5.26	4.71
5sym	6.55	6.31
2w7x	7.62	7.86
5t19	4.49	3.80
5buj	8.30	7.94
1w1y	2.62	4.76
6n0j	5.37	4.85
4cwf	4.49	4.66
4nh8	8.52	8.44
5n53	2.55	3.28
5q0q	6.11	5.76
1aw1	1.05	3.47
2wi6	6.64	6.35
4e3d	2.30	3.73
4eqc	8.10	8.19
6gcr	8.33	8.74
2x2l	5.28	4.17
3c4h	5.70	5.38
5du6	5.02	5.89
4pid	4.62	4.69
2ou7	3.81	4.18
4djq	10.32	10.40
3ljg	7.73	7.90
6iez	6.52	6.63
2w97	0.96	3.15
5toz	9.46	8.00
3f8w	4.08	5.12
5l8c	7.00	7.13
4qyg	8.39	7.79
2wuf	4.29	3.67
2f81	10.52	10.05
2xyd	6.82	6.70
5yfs	4.86	4.35
5tkd	8.15	7.25
2zm3	6.21	5.91
5tob	8.82	8.25
4l0s	6.84	7.03
3vbq	9.33	8.09
4euv	6.30	6.91
3lbj	4.96	5.46
4i6f	8.30	8.10
4mwc	5.87	6.27
4a4l	7.82	8.56
3e6k	5.15	5.63
2g9q	6.40	3.87
5ct1	1.52	3.20
3mrv	3.74	4.27
4nah	6.31	6.45
5kls	6.71	6.01
4bt3	3.12	2.89
1o46	8.00	7.48
4dbn	8.15	8.34
4k7o	4.30	4.32
5khx	7.85	7.50
4wp7	6.10	6.91
6gjw	4.96	4.49
5dx4	6.86	6.85
4mp2	5.45	6.36
4yih	4.66	5.97
3f36	2.89	3.09
5ei8	8.10	7.47
6nzh	8.80	8.74
3btc	5.75	5.36
5qas	3.72	3.54
5sz9	4.42	3.95
3omm	7.43	7.72
3eax	4.92	5.36
2fr3	8.70	7.77
4py2	6.57	6.72
3sk2	3.61	4.10
6udt	10.00	9.81
5hk2	8.59	6.67
5uqx	6.21	5.90
2qch	3.60	3.61
3dcv	8.52	7.64
3py0	6.89	6.38
4l7d	6.12	6.83
4w9e	5.15	5.42
2y2k	5.16	4.50
6aa4	6.33	6.13
6eq8	8.00	5.14
2ie4	10.00	10.01
1y2f	4.92	4.61
3ehx	7.60	8.43
4lkt	5.90	6.93
2j87	4.85	4.74
5dh4	7.24	6.67
6hqy	6.44	5.99
2ybt	4.70	6.47
4g3e	8.38	8.38
1uu8	5.05	5.39
4bcb	8.52	8.86
6d1m	8.20	9.23
1v2q	4.13	4.79
6hcu	7.82	8.34
5sz4	9.70	7.67
4db7	6.56	5.63
3bl1	5.60	6.44
4nb6	7.22	7.34
3fxw	5.96	6.80
4hwo	8.54	8.29
3zmh	5.28	4.49
5uzj	6.78	8.39
2xfj	7.89	7.58
5jal	2.47	3.87
5moo	1.31	2.76
3q77	8.22	7.55
4nue	6.82	7.20
2wzs	3.85	4.69
5dri	7.70	7.47
5tys	10.72	10.60
1zky	6.25	5.78
5zdg	5.42	5.86
6ela	7.59	6.65
3el1	9.64	9.56
6hkn	7.29	7.19
6ovz	3.85	3.80
2os9	2.24	2.91
5vfn	3.52	2.91
2pe0	7.10	6.36
4na7	9.70	9.09
2i4p	5.70	5.75
3k5f	5.43	5.86
3g2l	3.87	4.60
5he3	6.55	6.75
5ehp	4.92	5.46
3n2v	7.51	7.99
2pym	6.82	7.34
5mwp	7.50	8.16
5clm	7.36	7.93
2vk6	5.30	4.96
5am1	8.52	8.63
4xct	8.17	8.32
1usn	7.74	7.86
5uuu	7.74	7.68
4avu	7.85	6.02
4pkr	4.82	4.93
6bfe	5.85	6.74
1ylv	2.70	3.43
4hww	6.65	6.57
5llp	9.24	9.16
4awq	6.32	6.78
4eh2	3.16	3.97
5inh	6.00	5.62
6h4s	7.42	6.20
5llc	9.52	8.75
2v10	9.40	9.45
6dh7	9.88	9.84
3frg	8.40	7.05
2aia	5.41	5.59
4joo	4.43	5.11
4yas	3.41	2.85
1z4o	4.52	4.88
1err	8.11	8.50
5nwh	7.54	7.70
6npv	6.80	6.57
4ayv	9.17	9.46
2onc	7.89	8.37
4qsw	1.68	2.92
6o9x	6.05	5.38
2jh0	8.70	8.57
3f39	1.78	3.08
6c0r	7.51	8.03
1w12	7.85	7.42
5wa7	6.40	6.50
4jq7	6.41	6.16
6g4n	5.64	5.31
2o64	6.47	6.55
6e6j	8.10	8.29
4xv9	6.72	7.04
6ckr	7.30	6.06
5gn6	6.92	7.06
6jdl	4.89	5.06
