PDB	Labels	Predictions
4fud	6.35	4.85
4fue	7.23	8.06
4fu7	6.20	6.61
4fu8	5.23	7.02
4fu9	6.20	7.52
4fub	6.21	7.94
4fuc	7.40	6.58
4fsm	7.62	7.59
4fsw	4.76	6.97
4ft5	7.56	7.62
4fsn	7.70	7.58
4fsz	6.97	7.66
4ft7	8.87	7.35
4ft0	7.11	7.64
4ft9	7.69	8.39
4fta	7.39	7.24
4ftc	7.63	7.93
4fsq	8.80	7.84
4fsr	7.94	8.19
4fst	8.28	7.10
4fw3	7.23	8.28
4fw4	8.08	9.27
4fw5	7.48	8.63
4fw6	7.70	8.80
4fw7	7.13	8.09
4fux	6.00	7.51
4fuy	6.09	7.33
4fv0	5.59	6.73
4fv1	7.08	6.98
4fv2	7.68	7.09
4fv3	7.74	6.67
4ev4	7.40	7.12
4fv5	7.70	7.46
4fv7	7.57	6.92
4fv8	7.82	7.40
4fv9	6.72	8.14
4fx3	8.07	7.47
4ek4	4.48	4.24
4ek5	6.09	6.38
4fkg	4.67	6.14
4fki	4.23	7.29
4ek6	6.04	6.83
4fjk	6.55	6.03
4ek8	7.11	6.31
3sw4	6.02	6.49
3sw7	6.64	6.66
4fko	6.11	5.47
4fkp	6.54	7.06
4fkq	6.28	7.70
4fkr	6.64	6.15
4fks	6.28	6.87
4fkt	5.97	5.56
4fku	7.01	7.47
4fkv	6.60	6.92
4fkw	7.33	7.05
