PDB	Labels	Predictions
1bcu	3.28	5.43
1bzc	4.92	7.14
1c5z	4.01	3.35
1e66	9.89	7.15
1eby	9.70	8.03
1g2k	7.96	6.89
1gpk	5.37	5.99
1gpn	6.48	5.81
1h22	9.10	9.10
1h23	8.35	9.12
1k1i	6.58	5.25
1lpg	7.09	8.55
1mq6	11.15	6.91
1nc1	6.12	4.25
1nc3	5.00	4.76
1nvq	8.25	7.41
1o0h	5.92	3.74
1o3f	7.96	6.76
1o5b	5.77	5.08
1owh	7.40	6.80
1oyt	7.24	7.46
1p1n	6.80	5.45
1p1q	4.89	4.15
1ps3	2.28	4.30
1pxn	7.15	6.87
1qf1	7.32	6.56
1qkt	9.04	7.87
1r5y	6.46	3.73
1s38	5.15	4.36
1sqa	9.21	6.69
1syi	5.44	5.77
1u1b	7.80	4.41
1uto	2.27	2.74
1vso	4.72	5.80
1w4o	5.22	4.66
1y6r	10.11	8.73
1yc1	6.17	5.97
1z6e	9.72	8.49
1z95	7.12	8.03
1z9g	5.64	7.78
2al5	8.40	4.42
2br1	5.14	7.11
2brb	4.86	7.09
2cbv	5.48	4.95
2cet	8.02	6.84
2fvd	8.52	6.53
2fxs	6.06	5.30
2hb1	3.80	4.78
2iwx	6.68	6.30
2j78	6.42	5.61
2j7h	7.19	5.94
2p15	10.30	7.88
2p4y	9.00	8.37
2pog	9.54	8.32
2qbp	8.40	6.32
2qbq	7.44	6.06
2qbr	6.33	5.59
2qe4	7.96	7.53
2qnq	6.11	5.78
2r9w	5.10	4.88
2v00	3.66	2.48
2v7a	8.30	7.05
2vkm	8.74	7.75
2vvn	7.30	6.62
2vw5	8.52	6.22
2w4x	4.85	4.10
2w66	4.05	4.59
2wbg	4.45	5.67
2wca	5.60	6.33
2weg	6.50	5.60
2wer	7.05	7.60
2wn9	8.52	5.14
2wnc	6.32	6.56
2wtv	8.74	7.88
2wvt	6.12	5.89
2x00	11.33	7.58
2xb8	7.59	6.81
2xbv	8.43	8.15
2xdl	3.10	4.73
2xii	7.20	6.43
2xj7	6.66	4.92
2xnb	6.83	7.48
2xys	7.42	7.39
2y5h	5.79	8.79
2yfe	6.63	7.40
2yge	5.06	5.13
2yki	9.46	6.32
2ymd	3.16	3.66
2zb1	6.32	8.20
2zcq	8.82	6.08
2zcr	6.87	5.42
2zda	8.40	4.88
2zy1	7.40	5.35
3acw	4.76	7.23
3ag9	8.05	6.34
3ao4	2.07	3.34
3arp	7.15	4.37
3arq	6.40	5.14
3aru	3.22	4.92
3arv	5.64	4.41
3ary	6.00	3.77
3b1m	8.48	5.90
3b27	5.16	3.89
3b5r	8.77	8.09
3b65	9.27	6.77
3b68	8.40	8.40
3bgz	6.26	6.80
3coy	6.02	6.05
3coz	5.57	5.48
3d4z	4.89	7.44
3d6q	3.76	4.37
3dd0	9.00	7.85
3dx1	3.58	3.35
3dx2	6.82	7.25
3dxg	2.40	3.01
3e5a	8.23	7.39
3e92	8.00	9.03
3e93	8.85	7.80
3ebp	5.91	5.77
3ehy	5.85	7.19
3ejr	8.57	6.29
3f3c	6.02	4.88
3fcq	2.77	3.35
3fur	8.00	6.64
3fv1	9.30	9.11
3fv2	8.11	7.97
3g0w	9.52	8.84
3g2n	4.09	4.77
3g2z	2.36	3.99
3g31	2.89	2.47
3gbb	6.90	6.79
3gc5	7.26	6.96
3ge7	8.70	7.06
3gr2	2.52	2.11
3gv9	2.12	3.15
3gy4	5.10	3.27
3ivg	4.30	5.77
3jvr	5.72	6.50
3jvs	6.54	6.53
3jya	6.89	8.23
3k5v	6.30	6.33
3kgp	2.57	3.36
3kr8	8.10	7.37
3kwa	4.08	5.85
3l7b	2.40	2.82
3lka	2.82	8.48
3mss	4.66	5.62
3myg	10.70	7.46
3n76	6.85	4.00
3n7a	3.70	3.76
3n86	5.64	5.80
3nq9	4.03	5.85
3nw9	9.00	7.31
3nx7	8.10	8.13
3o9i	11.82	11.10
3oe4	7.47	4.63
3oe5	6.88	4.67
3ozs	5.33	5.03
3ozt	4.13	4.73
3p5o	7.26	6.90
3prs	7.82	5.24
3pww	7.32	4.25
3pxf	4.43	4.75
3pyy	6.86	7.69
3qgy	7.80	6.17
3qqs	5.82	5.00
3r88	4.82	4.21
3rlr	7.52	8.31
3rr4	4.55	7.16
3rsx	4.41	5.87
3ryj	7.80	8.17
3syr	5.10	4.05
3tsk	7.17	7.83
3twp	3.92	3.91
3u5j	5.61	6.21
3u8k	8.66	5.67
3u8n	10.17	7.92
3u9q	4.38	5.44
3udh	2.85	3.88
3ueu	5.24	6.20
