PDB	Labels	Predictions
1a8i	5.52	4.69
1a99	5.70	2.03
1ax0	3.13	5.25
1b6l	8.30	7.97
1b6m	8.40	9.46
1duv	11.80	4.67
1dy4	4.36	6.40
1e2k	4.94	4.98
1fcx	7.12	7.88
1g2k	7.96	6.89
1gj8	6.96	6.56
1gjd	5.22	6.33
1gpk	5.37	5.99
1gyy	3.64	4.57
1h22	9.10	9.10
1h23	8.35	9.12
1h46	3.57	7.45
1hnn	6.24	7.86
1iy7	6.19	5.93
1kzk	10.39	10.40
1lrh	6.82	5.73
1nc1	6.12	4.25
1nc3	5.00	4.76
1nli	3.59	4.54
1nw5	5.21	4.89
1ow4	5.68	4.83
1p1n	6.80	5.45
1p1o	5.76	4.36
1ps3	2.28	4.30
1pxp	6.66	6.48
1r5y	6.46	3.73
1s38	5.15	4.36
1s39	7.70	6.44
1sr7	10.10	9.22
1sw1	7.30	3.27
1syh	6.41	5.77
1syi	5.48	5.77
1toj	3.39	4.53
1tok	2.47	4.59
1u1w	5.85	4.55
1ua4	4.22	5.51
1ui0	7.06	4.88
1utm	3.01	2.86
1uwu	5.98	5.70
1uz1	6.89	5.22
1uz4	3.40	4.48
1v1j	4.82	4.44
1w2g	4.57	4.31
1x8d	2.21	4.42
1xge	4.68	4.74
1y1m	1.82	7.10
1y1z	3.08	7.01
1y20	5.32	6.84
1yc1	6.17	5.97
1ydk	5.89	5.16
1z95	7.12	8.03
2aac	2.22	4.14
2afx	5.15	6.23
2ayr	9.29	6.65
2azr	3.64	4.15
2b07	6.43	5.16
2boh	8.52	8.37
2boj	5.77	5.41
2brb	4.86	7.09
2bvd	6.00	4.43
2byr	8.55	8.13
2cji	8.22	7.56
2fai	6.24	6.34
2fdp	7.59	6.92
2ff1	8.21	4.75
2fpz	3.96	7.18
2fqt	6.14	6.17
2fqw	6.68	4.26
2fqx	7.15	4.47
2fqy	6.57	4.14
2fvd	8.52	6.53
2fw6	2.92	3.76
2fxu	8.15	5.54
2h6b	5.39	3.47
2hb1	3.80	4.78
2hdq	1.40	3.43
2hdr	1.72	2.81
2i0a	11.40	11.31
2i0d	12.10	11.60
2il2	7.10	8.10
2iwx	6.68	6.30
2j2u	7.05	6.49
2j34	7.82	8.40
2j4i	9.00	7.68
2j78	6.42	5.61
1bcj	3.70	4.74
1bky	3.84	3.97
1d4i	8.85	7.97
1d4j	8.36	6.43
1eby	9.70	8.03
1ebz	9.40	6.60
1ec0	8.49	8.20
1ec1	8.92	8.01
1ec2	10.00	5.26
1enu	5.08	4.00
1f74	3.05	4.76
1gi9	5.96	5.08
1gww	4.28	4.27
1gx0	4.28	4.27
1o5a	6.42	6.48
1o5r	8.12	6.77
1q4w	6.46	3.73
1qkt	9.04	7.87
1qxl	7.96	7.00
1rdi	2.06	1.58
1rdn	1.84	3.23
1tr7	6.82	6.65
2a3c	4.37	4.62
2fv5	10.52	6.78
2h21	6.54	4.16
2hd6	7.80	6.43
1xl5	7.35	7.55
1y93	2.10	6.84
4ubp	5.59	4.39
1lhw	8.16	8.47
1s9t	6.60	5.69
1tt1	7.19	7.84
1uzv	5.18	5.84
2dm5	2.99	5.66
1xw6	5.62	5.78
2qrk	4.26	5.24
2nn1	5.82	5.31
2pou	7.42	5.74
3cd0	7.57	8.17
3cda	7.58	7.78
