PDB	Labels	Predictions
3m1k	5.39	3.86
3rz1	8.74	8.58
5u6d	8.59	8.68
5tuy	6.35	6.46
4u6r	7.85	7.80
6hky	9.34	9.35
3bkl	6.17	6.20
2rcw	8.10	8.12
5alg	7.52	7.46
5k0f	6.07	6.14
4x8v	6.89	6.94
5wev	6.82	6.99
2ei6	7.39	7.51
2xkd	5.64	5.50
5j9f	7.23	7.23
6s9x	6.42	6.48
6nlj	4.82	4.95
1ett	5.89	6.03
6ugq	7.55	7.48
3hvk	8.52	8.47
3wym	9.52	9.49
4leq	6.54	6.61
2p8n	3.15	3.16
3iej	6.66	6.60
5aae	7.46	7.43
5teh	7.55	7.49
5xij	7.30	7.44
3gt9	3.96	4.04
6ouv	5.55	5.53
6knh	3.55	3.56
4w9x	7.40	7.51
2wkt	4.31	4.26
4uv8	6.47	6.57
4p02	6.40	6.49
2ghg	8.82	8.96
5a3s	8.68	8.48
4cwo	5.21	5.20
4i7l	3.99	4.00
6abk	1.95	1.94
6myn	7.85	7.78
5wr7	8.96	8.72
6hys	5.59	5.58
1o4d	3.52	3.44
3aas	4.51	4.60
1pf8	7.51	7.25
6mjf	5.16	5.14
2j7e	7.32	7.26
5x73	6.74	6.53
6mmo	3.35	3.31
6nfg	4.11	4.06
1ai7	4.09	4.16
4fcb	8.54	8.60
1qj1	8.05	7.99
1qhr	6.89	6.94
4u70	5.02	4.95
2p83	7.96	8.05
2p2h	7.17	7.24
4qpd	7.82	7.68
3b3x	3.60	3.56
5eob	9.62	9.63
3fhe	8.60	8.48
4hai	8.10	7.90
6gjl	3.86	3.80
5jv0	5.96	5.96
6gcw	8.64	8.69
4hdc	8.92	8.64
5aia	5.20	5.21
4bhi	7.05	6.97
3n3g	7.24	7.30
5swh	7.59	7.49
4tpm	8.62	8.74
4klv	3.78	3.66
1xbc	7.92	7.98
1hk1	5.64	5.99
3dkj	5.70	5.78
2bxt	8.52	8.34
6pgx	9.21	8.94
3e6v	6.83	6.76
6ey7	4.30	4.34
6g3c	6.91	7.03
4jnm	8.52	8.45
5zfi	5.92	6.11
1o0o	5.10	4.98
5q0p	7.41	7.42
6cvf	6.35	6.40
4qsx	1.74	1.71
6aej	6.15	6.22
5lvr	3.60	3.57
