PDB	Labels	Predictions
1gm8	4.80	5.88
1gpk	5.37	8.47
1hnn	6.24	6.42
1hp0	6.70	6.01
1hq2	6.77	4.98
1hvy	6.17	6.76
1hwi	7.55	7.98
1hww	7.70	4.91
1ia1	7.47	5.77
1j3j	8.01	6.12
1jd0	8.24	5.67
1jje	8.43	4.26
1ke5	6.25	6.24
1kzk	10.40	9.12
1l2s	4.59	5.16
1l7f	9.10	7.66
1lpz	7.60	8.00
1lrh	6.82	4.62
1m2z	7.22	7.52
1mmv	7.24	4.04
1n1m	5.70	7.29
1n2v	4.08	4.09
1n46	10.52	9.52
1nav	7.60	6.01
1of1	4.82	4.80
1of6	6.05	3.53
1opk	9.82	7.94
1oq5	7.68	8.51
1owe	6.20	6.82
1oyt	7.24	6.46
1p2y	5.00	6.33
1p62	4.66	7.00
1pmn	8.15	8.68
1q1g	8.57	7.48
1q41	7.66	6.92
1q4g	6.89	5.22
1r1h	8.92	7.89
1r55	6.80	8.17
1r58	6.96	7.04
1r9o	5.02	6.84
1s19	9.51	7.83
1s3v	7.42	7.58
1sg0	7.47	5.18
1sj0	9.10	8.49
1sq5	4.39	4.61
1sqn	9.40	8.81
1t40	7.96	7.30
1t46	6.38	6.51
1t9b	6.90	5.58
1tow	6.24	5.24
1tt1	7.19	7.61
1u1c	5.37	4.70
1uml	7.52	7.88
1unl	6.70	6.63
1uou	7.70	5.47
1v0p	6.89	6.61
1v48	8.16	6.39
1v4s	6.44	5.96
1vcj	4.59	3.93
1w1p	2.30	6.54
1w2g	4.57	2.87
1xm6	6.38	3.81
1xoq	9.17	8.13
1xoz	8.92	8.98
1y6b	7.42	8.00
1ygc	9.46	7.83
1yqy	7.62	5.05
1ywr	7.49	7.84
1z95	7.12	8.65
2bm2	7.82	7.44
2br1	5.14	7.28
2bsm	5.82	7.40
