PDB	Labels	Predictions
2are	3.28	3.73
2oag	8.47	8.37
2jbj	9.70	9.56
2pwd	4.40	4.69
2pwg	4.82	6.10
2oym	5.00	6.35
2hzy	7.39	4.88
2ihj	4.59	3.90
2ojg	5.64	7.27
2hzl	6.57	3.09
2ovv	7.92	7.95
2nta	4.80	5.26
2qu6	8.52	8.71
2pog	9.54	7.99
2o4j	10.10	8.70
3b92	8.00	6.68
2p98	6.19	6.72
2z4b	9.36	8.36
2jj3	9.55	9.03
2h15	5.67	8.11
2pov	7.12	8.10
2pow	7.20	8.08
2nmx	5.57	5.13
1vso	4.72	7.06
2p95	9.37	9.03
2p16	10.10	8.88
2flr	6.10	7.28
2pgz	5.74	7.01
2bys	9.52	8.28
2gkl	5.35	4.69
2nsl	4.68	4.83
2nsj	4.79	4.83
2c92	5.68	6.23
2c94	6.82	6.31
2nnq	8.70	6.64
2psv	7.24	7.74
2cem	7.92	8.32
2cen	8.30	8.37
2q54	9.01	9.56
2b3f	6.03	5.52
2bbf	5.10	4.64
2e2r	8.26	7.04
2gz2	5.22	4.98
2hr6	4.92	4.69
2idz	9.40	4.79
2ihk	4.16	3.90
2jff	3.62	3.69
2oiq	4.94	5.18
2otz	3.63	4.59
2ou0	3.23	4.03
2pjo	0.05	2.51
2pzv	3.87	3.76
2q88	5.80	3.20
2q89	6.30	3.62
2qeh	8.62	6.56
2qvu	6.44	5.56
2r3d	-0.15	2.49
2r5p	8.48	9.85
2rde	7.01	7.11
2v8q	4.61	5.40
3b50	7.55	5.67
3bgq	7.96	7.45
3bgz	6.26	5.27
2v8y	5.71	7.04
2jgb	5.61	5.26
1gja	5.42	6.39
1swk	12.00	12.10
1toi	4.05	5.92
1iup	2.54	3.05
1tog	3.22	5.92
1uto	2.27	2.72
1ukb	3.19	2.62
2cjp	3.10	3.45
1vot	6.60	7.68
2fx6	3.70	2.54
2c1q	13.00	7.45
2e2p	4.74	4.83
2epn	7.22	6.82
2i2c	4.70	5.39
2j4k	4.85	3.67
2jdu	6.72	6.72
2jdy	4.37	5.68
2jke	4.23	3.87
2p3t	11.30	8.23
2p4y	9.00	8.05
2p7g	6.53	7.04
2pqc	5.74	6.38
2q6m	6.29	5.53
2q8z	5.68	5.53
2qbq	7.44	6.86
2qbr	6.33	6.78
2qdt	5.19	5.52
2qhy	7.48	8.84
2qhz	7.28	8.57
2qi1	7.30	6.48
2qi3	10.20	9.65
2qi4	10.44	9.74
2qi5	10.85	8.26
2qi6	10.57	9.49
2qmg	9.15	8.84
2qnq	6.11	5.74
2qrl	4.00	4.11
2qry	8.64	3.25
2r6w	9.36	6.88
2r75	6.15	6.53
2reg	5.57	4.54
2rkd	2.72	3.57
2uwl	8.40	7.06
2uwp	6.81	7.83
2uy4	4.68	6.17
2v2c	3.41	3.77
2v77	5.06	6.40
2v7t	7.48	5.34
2v7u	5.90	4.75
2v7v	6.66	4.81
2vhw	5.09	4.97
2vkm	8.74	7.23
2vmd	3.02	3.32
2vpn	6.72	3.41
2vuk	3.82	4.30
2vw5	8.52	7.18
2w26	9.40	8.04
2zmm	7.60	5.56
2zn7	7.89	7.09
3b3c	3.98	5.34
3b7r	7.70	5.58
3bex	5.57	2.22
3bl0	6.92	6.32
3brn	8.70	3.59
3bu1	8.15	3.98
3bxe	5.48	4.54
3c2f	2.00	5.75
3c2o	3.35	3.28
3c2r	3.11	3.71
3c7i	5.64	7.49
3ccw	7.87	7.39
3ccz	7.29	7.88
3cd7	7.84	7.79
3czv	7.80	8.53
3d2r	5.48	5.63
3d51	4.15	5.72
3d83	8.36	8.45
3ddg	6.00	6.55
3dp4	7.37	4.28
3e92	8.00	6.56
3eko	6.70	6.37
3ekr	5.55	6.41
3ene	6.24	6.81
3eqr	8.70	8.29
3f8c	7.68	6.73
3fat	7.64	4.79
